S. No. (Col.1),City (Col.2),SC/ST(Prevention of Atrocities) Act r/w IPC - Murder (Section 302 IPC) - I (Col.3),SC/ST(Prevention of Atrocities) Act r/w IPC - Murder (Section 302 IPC) - V (Col.4),SC/ST(Prevention of Atrocities) Act r/w IPC - Attempt To Commit Murder (Section 307 IPC) - I (Col.5),SC/ST(Prevention of Atrocities) Act r/w IPC - Attempt To Commit Murder (Section 307 IPC) - V (Col.6),"SC/ST(Prevention of Atrocities) Act r/w IPC - Grievous Hurt (Section 325,326,326A & 326B IPC) - I (Col.7)","SC/ST(Prevention of Atrocities) Act r/w IPC - Grievous Hurt (Section 325,326,326A & 326B IPC) - V (Col.8)",SC/ST(Prevention of Atrocities) Act r/w IPC - Assault on SC Women to Outrage her Modesty - Assault on SC Women to Outrage her Modesty (Total) - I (Col.9),SC/ST(Prevention of Atrocities) Act r/w IPC - Assault on SC Women to Outrage her Modesty - Assault on SC Women to Outrage her Modesty (Total) - V (Col.10),SC/ST(Prevention of Atrocities) Act r/w IPC - Assault on SC Women to Outrage her Modesty - Assault on Women (Section 354) - I (Col.9A),SC/ST(Prevention of Atrocities) Act r/w IPC - Assault on SC Women to Outrage her Modesty - Assault on Women (Section 354) - V (Col.10A),SC/ST(Prevention of Atrocities) Act r/w IPC - Assault on SC Women to Outrage her Modesty - Sexual Harassment (Section 354A IPC) - I (Col.9B),SC/ST(Prevention of Atrocities) Act r/w IPC - Assault on SC Women to Outrage her Modesty - Sexual Harassment (Section 354A IPC) - V (Col.10B),SC/ST(Prevention of Atrocities) Act r/w IPC - Assault on SC Women to Outrage her Modesty - Assault or Use of Criminal Force to Women with Intent to Disrobe (Section 354B IPC) - I (Col.9C),SC/ST(Prevention of Atrocities) Act r/w IPC - Assault on SC Women to Outrage her Modesty - Assault or Use of Criminal Force to Women with Intent to Disrobe (Section 354B IPC) - V (Col.10C),SC/ST(Prevention of Atrocities) Act r/w IPC - Assault on SC Women to Outrage her Modesty - Stalking (Section 354D IPC) - I (Col.9D),SC/ST(Prevention of Atrocities) Act r/w IPC - Assault on SC Women to Outrage her Modesty - V (Col.10D),SC/ST(Prevention of Atrocities) Act r/w IPC - Insult to Modesty of SC Women (Sec 509 IPC) - I (Col.11),SC/ST(Prevention of Atrocities) Act r/w IPC - Insult to Modesty of SC Women (Sec 509 IPC) - V (Col.12),SC/ST(Prevention of Atrocities) Act r/w IPC - Kidnapping & Abduction - Kidnapping & Abduction (Total) - I (Col.13),SC/ST(Prevention of Atrocities) Act r/w IPC - Kidnapping & Abduction - Kidnapping & Abduction (Total) - V (Col.14),SC/ST(Prevention of Atrocities) Act r/w IPC - Kidnapping & Abduction - Kidnapping & Abduction (Section 363 IPC) - I (Col.13A),SC/ST(Prevention of Atrocities) Act r/w IPC - Kidnapping & Abduction - Kidnapping & Abduction (Section 363 IPC) - V (Col.14A),SC/ST(Prevention of Atrocities) Act r/w IPC - Kidnapping & Abduction - Kidnapping & Abduction for Ransom (Section 364A IPC) - I (Col.13B),SC/ST(Prevention of Atrocities) Act r/w IPC - Kidnapping & Abduction - Kidnapping & Abduction for Ransom (Section 364A IPC) - V (Col.14B),SC/ST(Prevention of Atrocities) Act r/w IPC - Kidnapping & Abduction - Kidnapping & Abduction of SC Women to Compel Her For Marriage (Sec 366 IPC) - I (Col.13C),SC/ST(Prevention of Atrocities) Act r/w IPC - Kidnapping & Abduction - Kidnapping & Abduction of SC Women to Compel Her For Marriage (Sec 366 IPC) - V (Col.14C),SC/ST(Prevention of Atrocities) Act r/w IPC - Rape (Section 376 IPC) - I (Col.15),SC/ST(Prevention of Atrocities) Act r/w IPC - Rape (Section 376 IPC) - V (Col.16),SC/ST(Prevention of Atrocities) Act r/w IPC - Attempt to Commit Rape (Section 376/511 IPC) - I (Col.17),SC/ST(Prevention of Atrocities) Act r/w IPC - Attempt to Commit Rape (Section 376/511 IPC) - V (Col.18),SC/ST(Prevention of Atrocities) Act r/w IPC - Rioting (Sections 147 to 151 IPC) - I (Col.19),SC/ST(Prevention of Atrocities) Act r/w IPC - Rioting (Sections 147 to 151 IPC) - V (Col.20),SC/ST(POA) Act r/w IPC - Other IPC Crimes * - I (Col.21),SC/ST(POA) Act r/w IPC - Other IPC Crimes * - V (Col.22),SC/ST(POA) Act r/w IPC - Total SC/ST (POA) Act r/w IPC - I (Col.23),SC/ST(POA) Act r/w IPC - Total SC/ST (POA) Act r/w IPC - V (Col.24),SC/ST (Prevention of Atrocities) Act only (without IPC) - I (Col.25),SC/ST (Prevention of Atrocities) Act only (without IPC) - V (Col.26),Total of SC/ST (Prevention of Atrocities) Act (With & Without IPC) - I (Col.27),Total of SC/ST (Prevention of Atrocities) Act (With & Without IPC) - V (Col.28),Protection of Civil Rights Act against SCs - I (Col.29),Protection of Civil Rights Act against SCs - V (Col.30),Total Crime/ Atrocities Against Scheduled Caste - I (Col.31),Total Crime/ Atrocities Against Scheduled Caste - V (Col.32)
1,Ahmedabad (Gujarat),7,7,6,6,3,3,5,5,3,3,2,2,0,0,0,0,0,0,6,6,0,0,0,0,6,6,14,14,0,0,6,6,22,22,69,69,27,27,96,96,0,0,96,96
2,Bengaluru (Karnataka),5,5,1,1,0,0,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,4,4,17,17,190,190,207,207,0,0,207,207
3,Chennai (Tamil Nadu),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,3,3,7,7,3,3,10,10
4,Coimbatore (Tamil Nadu),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,0,0,3,3,0,0,3,3
5,Delhi,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,3,3,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,8,8,37,39,45,47,1,1,46,48
6,Ghaziabad (Uttar Pradesh),6,6,2,2,3,3,11,11,0,0,10,10,1,1,0,0,0,0,3,3,0,0,0,0,3,3,9,9,1,1,2,2,27,27,64,64,0,0,64,64,0,0,64,64
7,Hyderabad (Telangana),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,34,35,47,48,92,111,139,159,0,0,139,159
8,Indore (Madhya Pradesh),0,0,1,1,0,0,11,11,6,6,2,2,0,0,3,3,0,0,1,1,1,1,0,0,0,0,7,7,0,0,3,3,11,11,34,34,2,2,36,36,0,0,36,36
9,Jaipur (Rajasthan),1,1,0,0,2,2,4,4,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,0,0,0,174,182,216,224,3,3,219,227,0,0,219,227
10,Kanpur (Uttar Pradesh),6,6,0,0,0,0,6,6,0,0,6,6,0,0,0,0,0,0,7,7,0,0,0,0,7,7,7,7,0,0,9,9,72,72,107,107,0,0,107,107,0,0,107,107
11,Kochi (Kerala),0,0,0,0,1,1,5,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,20,23,33,36,2,2,35,38,0,0,35,38
12,Kolkata (West Bengal),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,2,2,9,9,0,0,9,9
13,Kozhikode (Kerala),0,0,1,1,1,1,4,4,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,12,12,23,23,6,6,29,29,0,0,29,29
14,Lucknow (Uttar Pradesh),8,8,0,0,9,9,21,21,0,0,21,21,0,0,0,0,0,0,5,5,0,0,0,0,5,5,31,31,0,0,48,48,117,117,239,239,23,23,262,262,0,0,262,262
15,Mumbai (Maharashtra),0,0,0,0,0,0,2,2,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,4,4,0,0,3,3,15,15,25,25,5,5,30,30,0,0,30,30
16,Nagpur (Maharashtra),0,0,0,0,0,0,8,8,5,5,2,2,1,1,0,0,0,0,1,1,0,0,0,0,1,1,9,9,0,0,0,0,7,7,25,25,4,4,29,29,0,0,29,29
17,Patna (Bihar),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,239,239,241,241,0,0,241,241,0,0,241,241
18,Pune (Maharashtra),0,0,1,5,2,3,4,4,0,0,4,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,10,10,0,0,5,9,11,12,34,44,7,7,41,51,0,0,41,51
19,Surat (Gujarat),3,3,2,2,0,0,4,4,0,0,4,4,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,2,2,13,13,6,6,19,19,0,0,19,19
Total Cities,Total Cities,40,40,15,19,21,22,88,88,17,17,60,60,7,7,4,4,4,4,25,25,2,2,1,1,22,22,159,159,1,1,77,81,779,792,1209,1231,409,430,1618,1661,4,4,1622,1665
