S. No.,Category,State/UT,"Forest Act, 1927","Wildlife Protection Act, 1972","Environmental (Protection) Act, 1986","Air (Prevention & Control of Pollution) Act, 1981","Water (Prevention & Control of Pollution) Act, 1974",Total Environment related Offences
1,State,Andhra Pradesh,43,3,0,0,0,46
2,State,Arunachal Pradesh,0,1,0,0,0,1
3,State,Assam,67,82,0,0,0,149
4,State,Bihar,34,7,0,0,0,41
5,State,Chhattisgarh,0,15,0,0,0,15
6,State,Goa,0,0,1,0,0,1
7,State,Gujarat,0,13,0,0,3,16
8,State,Haryana,35,9,0,0,0,44
9,State,Himachal Pradesh,157,19,0,0,2,178
10,State,Jammu & Kashmir,0,4,0,0,0,4
11,State,Jharkhand,137,0,0,2,0,139
12,State,Karnataka,109,69,0,0,0,178
13,State,Kerala,15,8,5,0,0,28
14,State,Madhya Pradesh,21,5,0,0,6,32
15,State,Maharashtra,19,33,97,21,0,170
16,State,Manipur,0,2,0,0,0,2
17,State,Meghalaya,0,0,0,0,0,0
18,State,Mizoram,0,1,0,0,0,1
19,State,Nagaland,0,3,0,0,0,3
20,State,Odisha,0,1,0,0,0,1
21,State,Punjab,2,2,0,0,0,4
22,State,Rajasthan,1191,190,0,0,0,1381
23,State,Sikkim,0,0,0,0,0,0
24,State,Tamil Nadu,1,0,0,0,0,1
25,State,Telangana,2,17,3,0,0,22
26,State,Tripura,0,0,0,0,0,0
27,State,Uttar Pradesh,1815,302,11,2,0,2130
28,State,Uttarakhand,29,19,1,0,0,49
29,State,West Bengal,25,47,2,0,0,74
Total (States),State,Total (States),3702,852,120,25,11,4710
30,UT,A & N Islands,0,0,0,0,0,0
31,UT,Chandigarh,0,3,0,0,0,3
32,UT,D&N Haveli,0,0,0,0,0,0
33,UT,Daman & Diu,0,0,0,0,0,0
34,UT,Delhi,13,4,1,0,0,18
35,UT,Lakshadweep,0,0,0,0,0,0
36,UT,Puducherry,0,0,1,0,0,1
Total (UTs),UT,Total (UTs),13,7,2,0,0,22
Total (All-India),Total (All-India),Total (All-India),3715,859,122,25,11,4732
