S. No.,Category - Offences against State,Crime Head,Persons Arrested - Male,Persons Arrested - Female,Persons Arrested - Total,Persons Chargesheeted - Male,Persons Chargesheeted - Female,Persons Chargesheeted - Total,Persons Convicted - Male,Persons Convicted - Female,Persons Convicted - Total,Persons Acquitted - Male,Persons Acquitted - Female,Persons Acquitted - Total,Persons Discharged - Male,Persons Discharged - Female,Persons Discharged - Total
1,IPC - Cases,Offences Against State,185,5,190,63,2,65,6,0,6,19,0,19,7,1,8
1.i),IPC - Cases,Sedition,46,2,48,26,0,26,1,0,1,1,0,1,1,0,1
1.ii),IPC - Cases,Other Offences Against State,139,3,142,37,2,39,5,0,5,18,0,18,6,1,7
2,IPC - Cases,Imputation & Assertions Prejudicial to National Integration,28,0,28,19,0,19,0,0,0,2,0,2,7,0,7
Total,IPC - Cases,Total,213,5,218,82,2,84,6,0,6,21,0,21,14,1,15
3,SLL - Cases,"Prevention of Damage to Public Property Act, 1984",12963,139,13102,9227,128,9355,728,2,730,1795,19,1814,5,0,5
4,SLL - Cases,"Unlawful Activities (Prevention) Act, 1967",975,24,999,366,3,369,24,0,24,19,0,19,8,0,8
5,SLL - Cases,"Official Secrets Act, 1923",41,0,41,32,0,32,9,0,9,5,0,5,0,0,0
Total,SLL - Cases,Total,13979,163,14142,9625,131,9756,761,2,763,1819,19,1838,13,0,13
Total Offences against State,Total Offences against State,Total Offences against State,14192,168,14360,9707,133,9840,767,2,769,1840,19,1859,27,1,28
