Category,Particulars,No. of Incidents,Seizure/Recovered (Quantity in Kg./Litre/ Number),Persons Arrested - Male,Persons Arrested - Female,Persons Arrested - Total
1. Seizures of Fire Arms,1. Gun DBBL/SBBL/SBML (including shot Gun) (12 bore),3,10,NA,NA,NA
1. Seizures of Fire Arms,2.(a) Pistol 9mm,5,7,NA,NA,NA
1. Seizures of Fire Arms,2.(b) Pistol 7365 mm,1,1,NA,NA,NA
1. Seizures of Fire Arms,3. Rifle 0.303 inch,2,2,NA,NA,NA
1. Seizures of Fire Arms,4. Katta/Pipe Gun,1,2,NA,NA,NA
1. Seizures of Fire Arms,Total Fire- arms,12,22,NA,NA,NA
2. Seizure of Ammunition,1. 9mm,4,4,NA,NA,NA
2. Seizure of Ammunition,2. Gun DBBL/SBBL/SBML (including shot Gun) (12 bore),2,7 Cartridge (12 bore),NA,NA,NA
2. Seizure of Ammunition,3. Rifle - 0.303 inch,1,2 (303),NA,NA,NA
2. Seizure of Ammunition,4. Local Ammunition,1,10,NA,NA,NA
2. Seizure of Ammunition,5. Others Ammunitions,1,10 (live cartridge),NA,NA,NA
2. Seizure of Ammunition,Total Ammunitions,9,33,NA,NA,NA
3. Narcotics drugs,1. Ganja (In Kg),1,107 Kg.,4,NA,4
4. Currency,1.(i) Indian Fake Currency - Rs. 1000,18,18000,NA,NA,NA
4. Currency,1.(ii) Indian Fake Currency - Rs. 500,31,15500,NA,NA,NA
4. Currency,2. Foreign Currency (in Rs) - Others,5,"US $ - 38,652 Singapore $ - 120 China Yuan-281 Malaysian Ringgit-406 UAE Dirham-3775 Hong Kong $-193 Bahrain Dinar-6 Thai Bhatt-9695 South African Rand-100 New Zealand $-158 Macau Patches-10 Turkish Lira-400",1,NA,1
5. Seizure of parts of wildlife,1.(i) Seizure of parts of wildlife (in Number),4,04 Leopard Skins,1,NA,NA
5. Seizure of parts of wildlife,1.(ii) Seizure of parts of wildlife (in Number),,20 Shawls Tibetan Antelope,NA,NA,NA
5. Seizure of parts of wildlife,1.(iii) Seizure of parts of wildlife (in Number),,"2 Tiger skins, two Skulls of tiger having weight about 12 Kgs, bones/body parts of tiger having weight about 34 Kgs.",2,NA,NA
5. Seizure of parts of wildlife,1.(iv) Seizure of parts of wildlife (in Number),,"Pangolin Scales, 85 Kgs approx.",4,NA,NA
5. Seizure of parts of wildlife,Liquor (In Litre),1,37 bottles,NA,NA,NA
5. Seizure of parts of wildlife,Total,5,NA,7,NA,NA
