S. No. (Col.1),State/UT (Col.2),Cases Pending Trial from the Previous Year (Col.3),Cases Sent for Trial during the Year (Col.4),Total Cases for Trial during the Year (Col.5) = (Col.3+4),Number of Cases Withdrawn by the Govt. (Col.6),Number of Cases Disposed by Plea Bargaining (Col.7),Cases Compounded (Col.8),Cases in which Trials were Completed (Col.9) = (Col. 10+11),Cases Convicted (Col.10),Cases Acquitted or Discharged (Col.11),Cases Disposed off by Courts (Col.12) = (Col.6+Col.7 +Col.8+Col.9),Cases Pending Trial at the End of the Year (Col.13) = (Col.5 - Col.12),Conviction Rate (Col.14) = (Col.10/ Col.9) * 100,Pendency Percentage (Col.15) = (Col.13/ Col.5) * 100
1,Andhra Pradesh,11551,19109,30660,20,0,296,17645,14510,3135,17961,12699,82.2,41.4
2,Arunachal Pradesh,1084,159,1243,0,0,14,15,9,6,29,1214,60,97.7
3,Assam,10132,1821,11953,0,0,0,613,142,471,613,11340,23.2,94.9
4,Bihar,87117,24833,111950,0,4,12,4778,1433,3345,4794,107156,30,95.7
5,Chhattisgarh,32156,29357,61513,0,0,3,27208,23217,3991,27211,34302,85.3,55.8
6,Goa,5441,1031,6472,0,0,1,798,41,757,799,5673,5.1,87.7
7,Gujarat,1442371,287084,1729455,41,6,113,170136,92348,77788,170296,1559159,54.3,90.2
8,Haryana,48306,28868,77174,0,0,0,24239,17391,6848,24239,52935,71.7,68.6
9,Himachal Pradesh,20141,3360,23501,0,0,395,2181,1179,1002,2576,20925,54.1,89
10,Jammu & Kashmir,13983,1670,15653,0,0,12,1221,478,743,1233,14420,39.1,92.1
11,Jharkhand,13381,5403,18784,3,0,0,2897,1082,1815,2900,15884,37.3,84.6
12,Karnataka,53154,27773,80927,0,0,32,16732,10456,6276,16764,64163,62.5,79.3
13,Kerala,737109,427632,1164741,1,30,6289,335678,330558,5120,341998,822743,98.5,70.6
14,Madhya Pradesh,71641,100383,172024,14,6,17,98881,90672,8209,98918,73106,91.7,42.5
15,Maharashtra,1205578,157455,1363033,194,65,6722,82874,36388,46486,89855,1273178,43.9,93.4
16,Manipur,2248,551,2799,0,0,4,181,142,39,185,2614,78.5,93.4
17,Meghalaya,1190,224,1414,0,0,44,134,90,44,178,1236,67.2,87.4
18,Mizoram,391,330,721,0,0,0,194,167,27,194,527,86.1,73.1
19,Nagaland,569,527,1096,0,0,0,358,299,59,358,738,83.5,67.3
20,Odisha,101005,22979,123984,50,0,86,10298,1984,8314,10434,113550,19.3,91.6
21,Punjab,42424,18447,60871,0,0,55,17628,12872,4756,17683,43188,73,71
22,Rajasthan,127023,67740,194763,50,7,60,56456,54375,2081,56573,138190,96.3,71
23,Sikkim,124,251,375,0,0,0,137,72,65,137,238,52.6,63.5
24,Tamil Nadu,97869,259058,356927,0,0,249,248825,224921,23904,249074,107853,90.4,30.2
25,Telangana,20865,8121,28986,0,0,363,6721,1793,4928,7084,21902,26.7,75.6
26,Tripura,471,106,577,0,0,3,175,48,127,178,399,27.4,69.2
27,Uttar Pradesh,1227574,174617,1402191,0,0,60,139876,129696,10180,139936,1262255,92.7,90
28,Uttarakhand,19799,4773,24572,0,0,8,8300,7091,1209,8308,16264,85.4,66.2
29,West Bengal,101559,20044,121603,0,0,0,4991,1943,3048,4991,116612,38.9,95.9
Total (States),Total (States),5496256,1693706,7189962,373,118,14838,1280170,1055397,224773,1295499,5894463,82.4,82
30,A & N Islands,20333,1522,21855,0,0,0,1395,1375,20,1395,20460,98.6,93.6
31,Chandigarh,848,1398,2246,0,0,0,1323,1234,89,1323,923,93.3,41.1
32,D&N Haveli,158,19,177,0,0,0,3,0,3,3,174,0,98.3
33,Daman & Diu,26,21,47,0,0,0,23,0,23,23,24,0,51.1
34,Delhi,29337,6615,35952,0,0,49,3887,2282,1605,3936,32016,58.7,89.1
35,Lakshadweep,30,14,44,0,0,0,21,16,5,21,23,76.2,52.3
36,Puducherry,397,762,1159,0,0,0,448,420,28,448,711,93.8,61.3
Total (UTs),Total (UTs),51129,10351,61480,0,0,49,7100,5327,1773,7149,54331,75,88.4
Total (All-India),Total (All-India),5547385,1704057,7251442,373,118,14887,1287270,1060724,226546,1302648,5948794,82.4,82
