S. No. (Col.1),Category (Col.2),State/UT (Col.3),Year - 2014 (Col.4),Year - 2015 (Col.5),Year - 2016 (Col.6),Percentage State Share To All–India Total (2016) (Col.7),Rank Based on Incidence/ Percentage share (2016) (Col.8),Population of STs # (in Lakhs) (Col.9),Rate of Total Cognizable Crimes (Col.10),Rank Based on Crime Rate (2016) (Col.11)
1,State,Andhra Pradesh,390,362,405,6.2,4,26.3,15.4,3
2,State,Arunachal Pradesh,0,1,1,0,24,9.5,0.1,24
3,State,Assam,1,0,1,0,25,38.8,0,25
4,State,Bihar,77,5,25,0.4,13,13.4,1.9,15
5,State,Chhattisgarh,475,373,402,6.1,6,78.2,5.1,10
6,State,Goa,6,8,11,0.2,15,1.5,7.4,8
7,State,Gujarat,223,248,281,4.3,9,89.2,3.2,13
8,State,Haryana,0,0,0,0,NA,0,0,NA
9,State,Himachal Pradesh,3,6,2,0,20,3.9,0.5,20
10,State,Jammu & Kashmir,0,0,0,0,NA,14.9,0,NA
11,State,Jharkhand,402,266,280,4.3,10,86.5,3.2,12
12,State,Karnataka,397,386,374,5.7,8,42.5,8.8,7
13,State,Kerala,120,165,182,2.8,11,4.8,37.5,1
14,State,Madhya Pradesh,1577,1358,1823,27.8,1,153.2,11.9,5
15,State,Maharashtra,443,482,403,6.1,5,105.1,3.8,11
16,State,Manipur,1,0,1,0,26,9,0.1,23
17,State,Meghalaya,1,0,0,0,NA,25.6,0,NA
18,State,Mizoram,1,0,0,0,NA,10.4,0,NA
19,State,Nagaland,0,0,0,0,NA,17.1,0,NA
20,State,Odisha,533,691,681,10.4,3,95.9,7.1,9
21,State,Punjab,0,0,2,0,21,0,0,NA
22,State,Rajasthan,1681,1409,1195,18.2,2,92.4,12.9,4
23,State,Sikkim,1,0,0,0,NA,2.1,0,NA
24,State,Tamil Nadu,18,25,19,0.3,14,7.9,2.4,14
25,State,Telangana,333,386,375,5.7,7,32.9,11.4,6
26,State,Tripura,0,3,3,0,18,11.7,0.3,22
27,State,Uttar Pradesh,24,6,4,0.1,17,11.3,0.4,21
28,State,Uttarakhand,1,6,3,0,19,2.9,1,19
29,State,West Bengal,107,84,83,1.3,12,53,1.6,17
Total (States),State,Total (States),6815,6270,6556,99.8,NA,1040,6.3,NA
30,UT,A & N Islands,6,3,6,0.1,16,0.3,21,2
31,UT,Chandigarh,0,0,0,0,NA,0,0,NA
32,UT,D&N Haveli,3,3,2,0,22,1.8,1.1,18
33,UT,Daman & Diu,0,0,0,0,NA,0.2,0,NA
34,UT,Delhi UT,2,0,2,0,23,0,0,NA
35,UT,Lakshadweep,0,0,1,0,27,0.6,1.6,16
36,UT,Puducherry,1,0,1,0,28,0,0,NA
Total (UTs),UT,Total (UTs),12,6,12,0.2,NA,2.8,4.2,NA
Total (All-India),Total (All-India),Total (All-India),6827,6276,6568,100,NA,1042.8,6.3,NA
