S. No.,Category,Crime Head,Persons Arrested - Male,Persons Arrested - Female,Persons Arrested - Total,Persons Chargesheeted - Male,Persons Chargesheeted - Female,Persons Chargesheeted - Total,Persons Convicted - Male,Persons Convicted - Female,Persons Convicted - Total,Persons Acquitted - Male,Persons Acquitted - Female,Persons Acquitted - Total,Persons Discharged - Male,Persons Discharged - Female,Persons Discharged - Total
1,Economic Offences,Criminal Breach of Trust,3187,108,3295,2332,104,2436,147,2,149,481,4,485,14,0,14
2,Economic Offences,Cheating,16616,762,17378,12745,627,13372,1160,14,1174,2348,72,2420,310,0,310
3,Economic Offences,Forgery,1702,208,1910,1388,93,1481,199,20,219,358,18,376,4,1,5
4,Economic Offences,Counterfeiting,193,4,197,240,6,246,35,1,36,52,1,53,3,0,3
Total Economic Offences,Total Economic Offences,Total Economic Offences,21698,1082,22780,16705,830,17535,1541,37,1578,3239,95,3334,331,1,332
