S. No. (Col.1),Category (Col.2),State/UT (Col.3),Cases Pending Investigation from Previous Year (Col.4),Cases Reported during the Year (Col.5),Total Cases for Investigation (Col.6) = (Col.4+5),Cases withdrawn by Govt. (Col.7),Cases Transferred to other PS/ Magistrate (Col.8),Cases not Investigated U/S 157(1) (b) of Cr.PC (Col.9),Final Report - True but Insufficient Evidence (Col.10),Final Report - False (Col.11),Final Report - Mistake of Fact (Col.12),Final Report - Non-Cognizable (Col.13),Final Report - Total (Col.14) = (Col.10 + Col.11+ Col.12 + Col.13),Cases in which Chargesheets were Submitted (Col.15),Total Cases Disposed off by Police (Col.16) = (Col. 8+Col.9+Col.14+Col.15),Cases Pending Investigation at the End of the Year (Col.17) = (Col. 6 - (Col.7 + Col.16)),Chargesheeting Rate (Col.18) = (Col.15/ Col.16) * 100,Pendency Percentage (Col.19) = (Col.17/ Col.6) * 100
1,State,Andhra Pradesh,9349,16362,25711,0,66,0,153,1323,226,8,1710,14774,16550,9161,89.3,35.6
2,State,Arunachal Pradesh,153,367,520,0,0,0,74,8,28,1,111,239,350,170,68.3,32.7
3,State,Assam,20964,20869,41833,0,54,0,7878,1,30,0,7909,11004,18967,22866,58,54.7
4,State,Bihar,11156,13400,24556,0,1,0,789,430,1661,117,2997,13951,16949,7607,82.3,31
5,State,Chhattisgarh,1089,5947,7036,0,1,0,148,532,118,0,798,5114,5913,1123,86.5,16
6,State,Goa,335,371,706,0,3,0,53,2,35,0,90,236,329,377,71.7,53.4
7,State,Gujarat,1515,8532,10047,27,5,1,326,33,295,5,659,7676,8341,1679,92,16.7
8,State,Haryana,1912,9839,11751,0,4,0,523,3776,0,68,4367,5603,9974,1777,56.2,15.1
9,State,Himachal Pradesh,347,1222,1569,0,0,0,20,207,44,0,271,947,1218,351,77.8,22.4
10,State,Jammu & Kashmir,1140,2850,3990,0,0,0,63,720,0,0,783,1823,2606,1384,70,34.7
11,State,Jharkhand,4452,5453,9905,0,0,0,755,148,154,91,1148,4136,5284,4621,78.3,46.7
12,State,Karnataka,5656,14131,19787,0,202,4,178,1461,449,0,2088,9936,12230,7557,81.2,38.2
13,State,Kerala,4321,10034,14355,1,38,1,233,286,61,12,592,9408,10039,4315,93.7,30.1
14,State,Madhya Pradesh,4364,26604,30968,2,15,2,381,1420,513,302,2616,23606,26239,4727,90,15.3
15,State,Maharashtra,17795,31388,49183,0,76,5,836,502,3730,166,5234,26231,31546,17637,83.2,35.9
16,State,Manipur,1385,253,1638,0,0,0,86,0,0,0,86,165,251,1387,65.7,84.7
17,State,Meghalaya,785,372,1157,0,0,0,137,8,17,1,163,262,425,732,61.6,63.3
18,State,Mizoram,40,120,160,0,0,0,2,0,1,0,3,116,119,41,97.5,25.6
19,State,Nagaland,40,105,145,0,0,0,41,0,0,0,41,61,102,43,59.8,29.7
20,State,Odisha,7832,17837,25669,0,7,0,216,463,1172,11,1862,15610,17479,8190,89.3,31.9
21,State,Punjab,4293,5105,9398,0,0,0,278,896,220,0,1394,2995,4389,5009,68.2,53.3
22,State,Rajasthan,2522,27422,29944,0,19,0,222,9549,3460,45,13276,14493,27788,2156,52.2,7.2
23,State,Sikkim,37,153,190,0,0,0,12,0,0,0,12,113,125,65,90.4,34.2
24,State,Tamil Nadu,3712,4463,8175,0,26,0,748,0,258,5,1011,3166,4203,3972,75.3,48.6
25,State,Telangana,6585,15374,21959,0,50,0,569,642,438,14,1663,12185,13898,8061,87.7,36.7
26,State,Tripura,330,1013,1343,0,0,0,63,17,116,7,203,862,1065,278,80.9,20.7
27,State,Uttar Pradesh,10024,49262,59286,0,1,0,12642,1731,0,0,14373,32032,46406,12880,69,21.7
28,State,Uttarakhand,533,1588,2121,0,1,1,451,84,0,6,541,990,1533,588,64.6,27.7
29,State,West Bengal,15954,32513,48467,0,61,0,1206,0,0,123,1329,33539,34929,13538,96,27.9
Total (States),State,Total (States),138620,322949,461569,30,630,14,29083,24239,13026,982,67330,251273,319247,142292,78.7,30.8
30,UT,A & N Islands,41,108,149,0,0,0,5,1,12,1,19,77,96,53,80.2,35.6
31,UT,Chandigarh,323,414,737,0,0,0,19,0,113,0,132,280,412,325,68,44.1
32,UT,D&N Haveli,27,28,55,1,0,0,1,2,0,0,3,30,33,21,90.9,38.2
33,UT,Daman & Diu,20,41,61,0,0,0,2,0,5,0,7,28,35,26,80,42.6
34,UT,Delhi,19459,15310,34769,4,14,0,2379,378,2043,0,4800,8542,13356,21409,64,61.6
35,UT,Lakshadweep,13,9,22,0,0,0,0,0,0,0,0,8,8,14,100,63.6
36,UT,Puducherry,25,95,120,0,0,0,10,0,1,2,13,66,79,41,83.5,34.2
Total (UTs),UT,Total (UTs),19908,16005,35913,5,14,0,2416,381,2174,3,4974,9031,14019,21889,64.4,61
Total (All India),Total (All India),Total (All India),158528,338954,497482,35,644,14,31499,24620,15200,985,72304,260304,333266,164181,78.1,33
