S. No. (Col.1),Category - Offences Against State (Col.2),Crime Head (Col.3),Cases Pending Trial from the Previous Year (Col.4),Cases Sent for Trial during The Year (Col.5),Total Cases for Trial during the Year (Col.6) = (Col.4+5),Number of Cases Withdrawn by the Govt. (Col.7),Number of Cases Disposed by Plea Bargaining (Col.8),Cases Compounded (Col.9),Cases In which Trials were Completed (Col.10) = (Col. 11+12),Cases Convicted (Col.11),Cases Acquitted or Discharged (Col.12),Cases Disposed off by Courts (Col.13) = (Col.7 +col.8+ Col.9+col.10),Cases Pending Trial at the End of the Year (Col.14) = (Col.6 - Col.13),Conviction Rate (Col.15) = (Col.11/ Col.10) * 100,Pendency Percentage (Col.16) = (Col.14/ Col.6) * 100
1,IPC - Cases,Offences Against State,347,47,394,0,0,0,20,5,15,20,374,25,94.9
1.i),IPC - Cases,Sedition,18,16,34,0,0,0,3,1,2,3,31,33.3,91.2
1.ii),IPC - Cases,Other Offences Against State,329,31,360,0,0,0,17,4,13,17,343,23.5,95.3
2,IPC - Cases,Imputation & Assertions Prejudicial To National Integration,27,19,46,0,0,0,9,0,9,9,37,0,80.4
Total,IPC - Cases,Total,374,66,440,0,0,0,29,5,24,29,411,25,175.4
3,SLL - Cases,"Prevention Of Damage To Public Property Act, 1984",7540,4214,11754,1,1,4,1325,457,868,1331,10423,34.5,88.7
4,SLL - Cases,"Unlawful Activities (prevention) Act, 1967",1256,232,1488,0,0,0,33,11,22,33,1455,33.3,97.8
5,SLL - Cases,"Official Secrets Act, 1923",32,24,56,0,0,0,13,9,4,13,43,69.2,76.8
Total,SLL - Cases,Total,8828,4470,13298,1,1,4,1371,477,894,1377,11921,34.8,89.6
Total Offences against State,Total Offences against State,Total Offences against State,9202,4536,13738,1,1,4,1400,482,918,1406,12332,34.4,89.8
