Category,Particulars,Number of Incidents,Seizure/Recovered (Quantity in Kg./Litre/ Number),Persons Arrested - Male,Persons Arrested - Female,Persons Arrested - Total,Cases Registered in Local Police Station/NCB/Other Agencies
1. Fire Arms & Ammunition,i) Carbine (9mm),NA,13,NA,NA,NA,NA
1. Fire Arms & Ammunition,ii) Gun DBBL/SBBL/SBML (including shot gun) (12 Bore),NA,21,NA,NA,NA,NA
1. Fire Arms & Ammunition,iii) Pistol All Types,NA,278,NA,NA,NA,NA
1. Fire Arms & Ammunition,iv) Revolver All Types,NA,19,NA,NA,NA,NA
1. Fire Arms & Ammunition,v) Rifle All Types,NA,159,NA,NA,NA,NA
1. Fire Arms & Ammunition,Total - (i) to (v),NA,490,NA,NA,NA,NA
1. Fire Arms & Ammunition,vi) Ammunition,NA,8484,NA,NA,NA,NA
1. Fire Arms & Ammunition,Explosive - vii) Detonators (in Number),NA,1190,NA,NA,NA,NA
1. Fire Arms & Ammunition,Explosive - viii) Gelatin Sticks,NA,35,NA,NA,NA,NA
1. Fire Arms & Ammunition,Explosive - ix) Grenades (in Number),NA,23,NA,NA,NA,NA
1. Fire Arms & Ammunition,Explosive - x) PEK,NA,13.75,NA,NA,NA,NA
1. Fire Arms & Ammunition,Explosive - xi) IED (in Number),NA,12,NA,NA,NA,NA
2. (a) Narcotics drugs,Narcotics drugs,8,3.405 Kgs,10,NA,10,Seizure alongwith apprehendees handed over to local Police
2. (a) Narcotics drugs,Narcotics drugs - (i) Heroin (In Kg),4,0.552,4,NA,4,Seizure alongwith apprehendees handed over to local Police
2. (a) Narcotics drugs,Narcotics drugs - (i) Heroin (In Kg) - (aa) Indian Heroin (Brown Sugar),10,2.143,12,NA,12,Seizure alongwith apprehendees handed over to local Police
2. (a) Narcotics drugs,Narcotics drugs - (ii) Ganja (In Kg),8,1496.525,9,NA,9,Seizure alongwith apprehendees handed over to local Police
2. (a) Narcotics drugs,Total,30,1502.625,35,NA,35,NA
2. (b) Medical Drugs,(i) Tablets (In Number),10,296766,13,NA,13,Seizure alongwith apprehendees handed over to state Police
2. (b) Medical Drugs,Total,10,296766,13,NA,13,Seizure alongwith apprehendees handed over to state Police
2. (c) Liquor (Indian Made Foreign Liquor) (in Bottles),Liquor (Indian Made Foreign Liquor) (in Bottles),21,22189,29,NA,29,NA
3. Fake Currencies,Indian Fake Currency (in Rs.),1,100000,1,NA,1,Seizure alongwith apprehendees handed over to state Police
3. Fake Currencies,Foreign Currency (in Rs.),NA,NA,NA,NA,NA,Seizure alongwith apprehendees handed over to state Police
3. Fake Currencies,Foreign Currency (in Rs.) - (a) Singapore Dollar,1,10,1,NA,1,Seizure alongwith apprehendees handed over to state Police
3. Fake Currencies,Foreign Currency (in Rs.) - (b) Myanmar Currency (Kayat),2,1300000,2,NA,2,Seizure alongwith apprehendees handed over to state Police
4. Wild Life,(a) Tokay Geckos (Nos),6,7,7,NA,7,Seizure alongwith apprehendees handed over to state Police
4. Wild Life,(b) Pangolin Shells (Kgs),1,42,1,NA,1,NA
