Category (Col.1),State/UT (Col.2),Child Victims - Below 6 Years - Male (Col.3),Child Victims - Below 6 Years - Female (Col.4),Child Victims - Below 6 Years - Total (Col.5),Child Victims - 6 Years to 12 Years - Male (Col.6),Child Victims - 6 Years to 12 Years - Female (Col.7),Child Victims - 6 Years to 12 Years - Total (Col.8),Child Victims - 12 Years to 16 Years - Male (Col.9),Child Victims - 12 Years to 16 Years - Female (Col.10),Child Victims - 12 Years to 16 Years - Total (Col.11),Child Victims - 16 Years to 18 Years - Male (Col.12),Child Victims - 16 Years to 18 Years - Female (Col.13),Child Victims - 16 Years to 18 Years - Total (Col.14),Child Victims - Total Child Victims - Male (Col.15),Child Victims - Total Child Victims - Female (Col.16),Child Victims - Total Child Victims - Total (Col.17),Adult Victims - 18 Years to 30 Years - Male (Col.18),Adult Victims - 18 Years to 30 Years - Female (Col.19),Adult Victims - 18 Years to 30 Years - Total (Col.20),Adult Victims - 30 Years to 45 Years - Male (Col.21),Adult Victims - 30 Years to 45 Years - Female (Col.22),Adult Victims - 30 Years to 45 Years - Total (Col.23),Adult Victims - 45 Years to 60 Years - Male (Col.24),Adult Victims - 45 Years to 60 Years - Female (Col.25),Adult Victims - 45 Years to 60 Years - Total (Col.26),Adult Victims - 60 Years & Above - Male (Col.27),Adult Victims - 60 Years & Above - Female (Col.28),Adult Victims - 60 Years & Above - Total (Col.29),Adult Victims - Total Adult Victims - Male (Col.30),Adult Victims - Total Adult Victims - Female (Col.31),Adult Victims - Total Adult Victims - Total (Col.32),Total Victims (Child + Adult) - Male (Col.33),Total Victims (Child + Adult) - Female (Col.34),Total Victims (Child + Adult) - Total (Col.35)
State,Andhra Pradesh,23,44,67,17,22,39,19,114,133,22,216,238,81,396,477,109,172,281,86,53,139,9,15,24,1,3,4,205,243,448,286,639,925
State,Arunachal Pradesh,0,1,1,4,10,14,6,20,26,0,17,17,10,48,58,17,39,56,4,4,8,1,0,1,0,0,0,22,43,65,32,91,123
State,Assam,7,1,8,47,24,71,212,298,510,268,594,862,534,917,1451,124,3120,3244,112,1305,1417,16,0,16,0,0,0,252,4425,4677,786,5342,6128
State,Bihar,6,1,7,15,35,50,184,238,422,306,2472,2778,511,2746,3257,1100,2754,3854,118,95,213,4,0,4,1,0,1,1223,2849,4072,1734,5595,7329
State,Chhattisgarh,99,153,252,113,43,156,230,528,758,137,751,888,579,1475,2054,25,46,71,18,5,23,2,0,2,0,1,1,45,52,97,624,1527,2151
State,Goa,10,8,18,11,3,14,18,22,40,6,24,30,45,57,102,3,19,22,4,5,9,0,0,0,0,0,0,7,24,31,52,81,133
State,Gujarat,23,28,51,58,72,130,189,684,873,101,1155,1256,371,1939,2310,121,260,381,84,39,123,24,2,26,2,1,3,231,302,533,602,2241,2843
State,Haryana,10,30,40,60,52,112,78,361,439,117,592,709,265,1035,1300,510,1159,1669,292,428,720,177,103,280,31,19,50,1010,1709,2719,1275,2744,4019
State,Himachal Pradesh,2,2,4,19,9,28,42,82,124,25,71,96,88,164,252,6,44,50,6,3,9,0,0,0,1,0,1,13,47,60,101,211,312
State,Jammu & Kashmir,0,1,1,2,3,5,16,38,54,3,105,108,21,147,168,6,499,505,10,115,125,0,13,13,0,0,0,16,627,643,37,774,811
State,Jharkhand,1,44,45,20,2,22,24,111,135,46,40,86,91,197,288,418,516,934,71,54,125,1,2,3,0,0,0,490,572,1062,581,769,1350
State,Karnataka,21,30,51,103,63,166,344,561,905,214,931,1145,682,1585,2267,145,332,477,115,97,212,28,9,37,5,0,5,293,438,731,975,2023,2998
State,Kerala,3,6,9,1,6,7,4,40,44,10,93,103,18,145,163,28,25,53,23,1,24,9,1,10,1,1,2,61,28,89,79,173,252
State,Madhya Pradesh,71,59,130,277,262,539,764,1447,2211,911,2323,3234,2023,4091,6114,129,684,813,59,186,245,28,31,59,4,2,6,220,903,1123,2243,4994,7237
