S. No. (Col.1),Category (Col.2),Crime Head (Col.3),Cases Pending Investigation from Previous Year (Col.4),Cases Reported during the Year (Col.5),Total Cases for Investigation (Col.6) = (Col. 4+5),Number of cases withdrawn by the Govt (Col.7),Cases transferred to other Police Station or Magistrate (Col.8),Cases not Investigated U/S 157(1) (b) of Cr.PC (Col.9),Final Report - True but Insufficient Evidence (Col.10),Final Report - False (Col.11),Final Report - Mistake of Fact (Col.12),Final Report - Non-Cognizable (Col.13),Final Report - Total (Col.14) = (Col.10+ Col.11 +Col.12+ Col.13),Cases in which Chargesheets were Submitted (Col.15),Total Cases Disposed off by Police (Col.16) = (Col.8+ Col.9+ Col.14+ Col.15),Cases Pending Investigation at the End of the Year (Col.17) = (Col. 6 - (Col.7+ Col.16)),Chargesheeting Rate (Col.18) = (Col.15/ Col.16) * 100,Pendency Percentage (Col.19) = (Col.17/ (Col.6)) * 100
1,A) Offences Under IT Act,Tampering computer source documents,83,78,161,0,0,0,48,0,1,0,49,32,81,80,39.5,49.7
2,A) Offences Under IT Act,Computer Related Offences (Section 66 and Section 66B to 66E),6673,6818,13491,0,35,0,2707,170,304,201,3382,2018,5435,8056,37.1,59.7
2.1,A) Offences Under IT Act,Computer Related Offences-Under Section 66,4061,3321,7382,0,21,0,1636,105,93,47,1881,1453,3355,4027,43.3,54.6
2.2,A) Offences Under IT Act,Computer Related Offences-Under Section 66B,115,196,311,0,0,0,50,7,1,0,58,52,110,201,47.3,64.6
2.3,A) Offences Under IT Act,Computer Related Offences-Under Section 66C,1197,1545,2742,0,4,0,494,29,38,43,604,267,875,1867,30.5,68.1
2.4,A) Offences Under IT Act,Computer Related Offences-Under Section 66D,1188,1597,2785,0,9,0,493,16,171,110,790,205,1004,1781,20.4,63.9
2.5,A) Offences Under IT Act,Computer Related Offences-Under Section 66E,112,159,271,0,1,0,34,13,1,1,49,41,91,180,45.1,66.4
3,A) Offences Under IT Act,Cyber Terrorism (Section 66F),11,12,23,0,1,0,1,0,0,0,1,6,8,15,75,65.2
4,A) Offences Under IT Act,Publication/Transmission of Obscene/Sexually Explicit Content (Sec 67 And Sec 67A to 67C),694,957,1651,0,1,0,222,27,22,12,283,409,693,958,59,58
4.1,A) Offences Under IT Act,Under Section 67 And Section 67A,673,930,1603,0,1,0,220,27,21,12,280,400,681,922,58.7,57.5
4.2,A) Offences Under IT Act,Under Section 67B,6,17,23,0,0,0,1,0,1,0,2,6,8,15,75,65.2
4.3,A) Offences Under IT Act,Under Section 67C,15,10,25,0,0,0,1,0,0,0,1,3,4,21,75,84
5,A) Offences Under IT Act,Breach of Confidentiality/Privacy & Disclosure of Information in Breach of Lawful Contract,22,35,57,0,0,0,11,2,0,3,16,16,32,25,50,43.9
6,A) Offences Under IT Act,Others,687,713,1400,0,1,0,376,25,84,18,503,229,733,667,31.2,47.6
Total (A),A) Offences Under IT Act,Total (A),8170,8613,16783,0,38,0,3365,224,411,234,4234,2710,6982,9801,38.8,58.4
1,B) Offences Under IPC,Data Theft,101,86,187,0,0,0,37,0,1,1,39,22,61,126,36.1,67.4
2,B) Offences Under IPC,Criminal Breach of Trust/Fraud,46,56,102,0,1,0,13,0,0,0,13,12,26,76,46.2,74.5
2.1,B) Offences Under IPC,Credit /Debit Card,12,26,38,0,0,0,7,0,0,0,7,4,11,27,36.4,71.1
2.2,B) Offences Under IPC,Others,34,30,64,0,1,0,6,0,0,0,6,8,15,49,53.3,76.6
3,B) Offences Under IPC,Cheating,2373,2329,4702,0,4,0,854,19,51,2,926,355,1285,3417,27.6,72.7
4,B) Offences Under IPC,Forgery,102,81,183,0,3,0,17,0,0,1,18,16,37,146,43.2,79.8
5,B) Offences Under IPC,Counterfeiting,9,10,19,0,0,0,0,0,0,0,0,12,12,7,100,36.8
6,B) Offences Under IPC,Fabrication/Destruction of Electronic Records for Evidence,4,6,10,0,0,0,1,0,0,0,1,4,5,5,80,50
7,B) Offences Under IPC,Others,970,950,1920,1,2,0,132,29,32,1,194,438,634,1285,69.1,66.9
Total (B),B) Offences Under IPC,Total (B),3605,3518,7123,1,10,0,1054,48,84,5,1191,859,2060,5062,41.7,71.1
1,C) Offences under SLL,"Copyright Act, 1957",81,181,262,0,NA,0,5,3,17,1,26,136,162,100,84,38.2
2,C) Offences under SLL,"Trade Marks Act, 1999",0,2,2,0,0,0,0,1,0,0,1,0,1,1,0,50
3,C) Offences under SLL,Other SLL Offences,14,3,17,0,0,0,0,0,1,0,1,7,8,9,87.5,52.9
Total (C),C) Offences under SLL,Total (C),95,186,281,0,0,0,5,4,18,1,28,143,171,110,83.6,39.1
Grand Total (Total A+B+C),Grand Total (Total A+B+C),Grand Total (Total A+B+C),11870,12317,24187,1,48,0,4424,276,513,240,5453,3712,9213,14973,40.3,61.9
