S. No,Category,State/UT,Number of FICN Notes Seized,Total Value (In Rs.)*,Total FIRs Registered,Total Accused
1,State,Andhra Pradesh,14541,9280000,49,114
2,State,Arunachal Pradesh,121,65000,3,6
3,State,Assam,1715,800050,32,35
4,State,Bihar,5752,3736800,29,49
5,State,Chhattisgarh,0,0,0,0
6,State,Goa,21,17000,3,4
7,State,Gujarat,39725,23724050,68,83
8,State,Haryana,2305,195900,17,28
9,State,Himachal Pradesh,31,28500,6,4
10,State,Jammu & Kashmir,349,130100,8,10
11,State,Jharkhand,724,706000,6,9
12,State,Karnataka,14228,8009136,99,76
13,State,Kerala,2776,2057200,45,40
14,State,Madhya Pradesh,3703,1626890,20,27
15,State,Maharashtra,7456,4799700,96,95
16,State,Manipur,59,40500,6,9
17,State,Meghalaya,57,38000,8,5
18,State,Mizoram,405,372900,6,7
19,State,Nagaland,97,97000,1,1
20,State,Odisha,490,274700,9,0
21,State,Punjab,5873,4239750,17,16
22,State,Rajasthan,1693,1035100,35,34
23,State,Sikkim,0,0,0,0
24,State,Tamil Nadu,6102,3342540,90,17
25,State,Telangana,12667,7600905,52,74
26,State,Tripura,86,29200,3,7
27,State,Uttar Pradesh,9382,5013700,125,112
28,State,Uttarakhand,2328,666400,43,22
29,State,West Bengal,32869,23295800,203,183
Total (States),State,Total (States),165555,101222821,1079,1067
30,UT,A & N Islands,0,0,0,0
31,UT,Chandigarh,1499,1499000,1,5
32,UT,D & N Haveli,0,0,0,0
33,UT,Daman & Diu,0,0,0,0
34,UT,Delhi,114751,56521460,87,35
35,UT,Lakshadweep,0,0,0,0
36,UT,Puducherry,34,6900,5,0
Total (UTs),UT,Total (UTs),116284,58027360,93,40
Total (All-India),Total (All-India),Total (All-India),281839,159250181,1172,1107
