S. No. (Col.1),Category (Col.2),Crime Head (Col.3),Cases Pending Investigation from Previous Year (Col.4),Cases Reported During the Year (Col.5),Total Cases for Investigation (Col.6) = (Col. 4+5),Cases Withdrawn by Govt. (Col.7),Cases Transferred to other PS or Magistrate (Col.8),Cases Not Investigated U/S 157(1) (b) of Cr.PC (Col.9),Final Report - True but Insufficient Evidence (Col.10),Final Report - False (Col.11),Final Report - Mistake of Fact (Col.12),Final Report - Non-Cognizable (Col.13),Final Report - Total (Col.14) = (Col.10+ Col.11+ Col.12+ Col.13),Cases in Which Chargesheets were Submitted (Col.15),Total Cases Disposed off by Police (Col.16) = (Col. 8+9+14+ 15),Cases Pending Investigation at the End of the Year (Col.17) = (Col. 6 - (Col.7+ Col.16)),ChargeSheeting Rate (Col.18) = (Col.15/ Col.16) * 100,Pendency Percentage (Col.19) = (Col.17/ (Col.6)) * 100
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.1. Murder,13,40,53,0,0,0,2,0,1,1,4,33,37,16,89.2,30.2
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.2. Attempt to Commit Murder,4,15,19,0,1,0,0,1,0,0,1,11,13,6,84.6,31.6
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.3. Grievous Hurt,24,21,45,0,0,0,2,1,0,0,3,15,18,27,83.3,60
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.3.1. Hurt,24,21,45,0,0,0,2,1,0,0,3,15,18,27,83.3,60
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.3.2. Acid Attack & Attempt to Acid Attack,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.4. Assault on Women with Intent to Outrage her Modesty,29,88,117,0,0,0,6,0,1,0,7,78,85,32,91.8,27.4
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.4.1. Sexual Harassment,16,60,76,0,0,0,5,0,1,0,6,54,60,16,90,21.1
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.4.2. Assault on Women with Intent to Disrobe,0,7,7,0,0,0,0,0,0,0,0,6,6,1,100,14.3
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.4.3. Voyeurism,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.4.4. Stalking,0,4,4,0,0,0,0,0,0,0,0,3,3,1,100,25
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.4.5. Other Sexual Harassment,12,17,29,0,0,0,0,0,0,0,0,15,15,14,100,48.3
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.5. Insult to the Modesty of Women,3,4,7,0,0,0,0,0,0,0,0,1,1,6,100,85.7
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.6. Kidnapping & Abduction,7,25,32,0,0,0,1,1,0,0,2,15,17,15,88.2,46.9
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.6.1. Kidnaping & Abduction,1,2,3,0,0,0,0,0,0,0,0,2,2,1,100,33.3
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.6.2. Kidnaping & Abduction in order to Murder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.6.3. Kidnapping for Ransom,0,1,1,0,0,0,0,0,0,0,0,1,1,0,100,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.6.4. Kidnapping & Abduction of Women to Compel her for Marriage,5,22,27,0,0,0,1,1,0,0,2,12,14,13,85.7,48.1
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.6.5. Other Kidnapping,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,100
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.7. Rape,50,159,209,0,1,0,4,20,0,0,24,124,149,60,83.2,28.7
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.8. Attempt to Commit Rape,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0
