S. No. (Col.1),City (Col.2),Cases Pending Investigation from Previous Year (Col.3),Cases Reported during the Year (Col.4),Total Cases for Investigation (Col.5) = (Col. 3+4),Cases Withdrawn by Govt. (Col.6),Cases Transferred to other PS or Magistrate (Col.7),Cases not Investigated U/S 157(1) (b) of Cr.PC (Col.8),Final Report - True but Insufficient Evidence (Col.9),Final Report - False (Col.10),Final Report - Mistake of Fact (Col.11),Final Report - Non-Cognizable (Col.12),Final Report - Total (Col.13) = (Col.9+ Col.10+ Col.11+ Col.12),Cases in which Chargesheets were Submitted (Col.14),Total Cases Disposed off by Police (Col.15) = (Col. 7+8+13+ 14),Cases Pending Investigation at the End of the Year (Col.16) = (Col. 5 - (Col.6+ Col.15)),Chargesheeting Rate (Col.17) = (Col.14/ Col.15) * 100,Pendency Percentage (Col.18) = (Col.16/ (Col.5)) * 100
1,Ahmedabad (Gujarat),8,96,104,3,0,0,0,2,0,0,2,79,81,20,97.5,19.2
2,Bengaluru (Karnataka),120,207,327,0,9,0,0,61,8,0,69,80,158,169,50.6,51.7
3,Chennai (Tamil Nadu),29,10,39,0,0,0,1,0,0,0,1,11,12,27,91.7,69.2
4,Coimbatore (Tamil Nadu),6,3,9,0,0,0,1,0,5,0,6,2,8,1,25,11.1
5,Delhi,31,46,77,0,0,0,3,0,0,0,3,26,29,48,89.7,62.3
6,Ghaziabad (Uttar Pradesh),7,64,71,0,0,0,9,2,0,0,11,43,54,17,79.6,23.9
7,Hyderabad (Telangana),239,139,378,0,2,0,20,15,17,0,52,117,171,207,68.4,54.8
8,Indore (Madhya Pradesh),1,36,37,0,0,0,0,0,0,0,0,30,30,7,100,18.9
9,Jaipur (Rajasthan),92,219,311,0,1,0,1,99,57,0,157,93,251,60,37.1,19.3
10,Kanpur (Uttar Pradesh),21,107,128,0,0,0,26,4,0,0,30,63,93,35,67.7,27.3
11,Kochi (Kerala),8,35,43,0,0,0,6,0,0,0,6,12,18,25,66.7,58.1
12,Kolkata (West Bengal),7,9,16,0,0,0,2,0,0,0,2,4,6,10,66.7,62.5
13,Kozhikode (Kerala),10,29,39,0,1,0,4,3,0,0,7,16,24,15,66.7,38.5
14,Lucknow (Uttar Pradesh),48,262,310,0,0,0,29,4,0,0,33,175,208,102,84.1,32.9
15,Mumbai (Maharashtra),112,30,142,0,1,0,0,1,0,1,2,7,10,132,70,93
16,Nagpur (Maharashtra),25,29,54,0,0,0,0,0,0,0,0,32,32,22,100,40.7
17,Patna (Bihar),112,241,353,0,0,0,6,0,0,0,6,103,109,244,94.5,69.1
18,Pune (Maharashtra),32,41,73,0,0,0,1,9,2,0,12,38,50,23,76,31.5
19,Surat (Gujarat),0,19,19,0,0,0,0,0,1,1,2,17,19,0,89.5,0
Total Cities,Total Cities,908,1622,2530,3,14,0,109,200,90,2,401,948,1363,1164,69.6,46
