S. No. (Col.1),Category (Col.2),State/UT (Col.3),Cases Pending Investigation from Previous Year (Col.4),Cases Reported during the Year (Col.5),Total Cases for Investigation (Col.6) = (Col. 4+5),Cases Withdrawn by Govt (Col.7),Cases Transferred to other PS or Magistrate (Col.8),Cases not Investigated U/S 157(1)(b) of Cr.PC (Col.9),Final Report - True but Insufficient Evidence (Col.10),Final Report - False (Col.11),Final Report - Mistake of Fact (Col.12),Final Report - Non-Cognizable (Col.13),Final Report - Total (Col.14) = (Col.10 + Col.11+ Col.12+Col.13),Cases in which Chargesheets were Submitted (Col.15),Total Cases Disposed off by Police (Col.16) = (Col. 8+9+14+15),Cases Pending Investigation at the End of the Year (Col.17) = (Col. 6 - Col.7 - Col. 16),Chargesheeting Rate (Col.18) = (Col.15/ Col.16) * 100,Pendency Percentage (Col.19) = (Col.17/ (Col.6)) * 100
1,State,Andhra Pradesh,5806,22615,28421,0,688,3,468,365,26,4,863,19109,20663,7758,92.5,27.3
2,State,Arunachal Pradesh,117,166,283,0,0,0,15,1,1,3,20,159,179,104,88.8,36.7
3,State,Assam,9028,4764,13792,1,2,0,1449,0,0,0,1449,1821,3272,10519,55.7,76.3
4,State,Bihar,10326,25533,35859,0,0,0,736,145,69,33,983,24833,25816,10043,96.2,28
5,State,Chhattisgarh,1077,29163,30240,0,0,0,110,14,14,0,138,29357,29495,745,99.5,2.5
6,State,Goa,411,1014,1425,0,1,0,47,2,11,1,61,1031,1093,332,94.3,23.3
7,State,Gujarat,31380,288300,319680,7,3,1,551,11,16,8,586,287084,287674,31999,99.8,10
8,State,Haryana,13921,54584,68505,0,0,0,18759,334,13,81,19187,28868,48055,20450,60.1,29.9
9,State,Himachal Pradesh,613,3863,4476,0,0,0,97,81,34,0,212,3360,3572,904,94.1,20.2
10,State,Jammu & Kashmir,1875,2123,3998,0,2,0,105,57,1,0,163,1670,1835,2163,91,54.1
11,State,Jharkhand,5710,7107,12817,0,0,0,841,120,65,90,1116,5403,6519,6298,82.9,49.1
12,State,Karnataka,11748,31077,42825,0,220,7,947,600,126,0,1673,27773,29673,13152,93.6,30.7
13,State,Kerala,13460,447773,461233,0,39,0,3633,931,68,24,4656,427632,432327,28906,98.9,6.3
14,State,Madhya Pradesh,762,100736,101498,0,1,1,123,22,86,249,480,100383,100865,633,99.5,0.6
15,State,Maharashtra,71739,169152,240891,2,28,7,1516,69,148,91,1824,157455,159314,81575,98.8,33.9
16,State,Manipur,6662,928,7590,0,0,0,239,0,0,0,239,551,790,6800,69.7,89.6
17,State,Meghalaya,843,216,1059,0,1,0,193,0,3,0,196,224,421,638,53.2,60.2
18,State,Mizoram,67,375,442,0,2,0,3,0,0,0,3,330,335,107,98.5,24.2
19,State,Nagaland,164,532,696,0,0,0,42,0,0,0,42,527,569,127,92.6,18.2
20,State,Odisha,8343,22105,30448,0,2,0,126,70,57,0,253,22979,23234,7214,98.9,23.7
21,State,Punjab,23823,17732,41555,0,0,0,313,767,55,2,1137,18447,19584,21971,94.2,52.9
22,State,Rajasthan,1822,70749,72571,1,1,0,2377,443,815,57,3692,67740,71433,1137,94.8,1.6
23,State,Sikkim,64,211,275,0,0,0,11,0,0,0,11,251,262,13,95.8,4.7
24,State,Tamil Nadu,35534,287473,323007,0,19,0,9674,0,1214,0,10888,259058,269965,53042,96,16.4
25,State,Telangana,5541,11282,16823,0,1962,0,838,420,262,15,1535,8121,11618,5205,69.9,30.9
26,State,Tripura,98,148,246,0,0,0,25,0,7,0,32,106,138,108,76.8,43.9
27,State,Uttar Pradesh,17443,211854,229297,0,0,0,36013,242,0,0,36255,174617,210872,18425,82.8,8
28,State,Uttarakhand,798,5207,6005,0,0,0,518,4,0,2,524,4773,5297,708,90.1,11.8
29,State,West Bengal,11413,27831,39244,0,4635,0,1225,3,316,78,1622,20044,26301,12943,76.2,33
Total (States),State,Total (States),290588,1844613,2135201,11,7606,19,80994,4701,3407,738,89840,1693706,1791171,344019,94.6,16.1
30,UT,A & N Islands,80,1689,1769,0,0,0,6,0,0,0,6,1522,1528,241,99.6,13.6
31,UT,Chandigarh,562,1260,1822,0,0,0,28,0,13,0,41,1398,1439,383,97.2,21
32,UT,D&N Haveli,33,12,45,0,0,0,1,0,0,0,1,19,20,25,95,55.6
33,UT,Daman & Diu,14,16,30,0,0,0,0,0,0,0,0,21,21,9,100,30
34,UT,Delhi,9169,7401,16570,2,1,0,769,16,68,0,853,6615,7469,9099,88.6,54.9
35,UT,Lakshadweep,14,14,28,1,0,0,0,0,0,0,0,14,14,13,100,46.4
36,UT,Puducherry,112,799,911,0,1,0,57,1,0,1,59,762,822,89,92.7,9.8
Total (UTs),UT,Total (UTs),9984,11191,21175,3,2,0,861,17,81,1,960,10351,11313,9859,91.5,46.6
Total (All India),Total (All India),Total (All India),300572,1855804,2156376,14,7608,19,81855,4718,3488,739,90800,1704057,1802484,353878,94.5,16.4
