S. No.,Category,State/UT,Indian - Male,Indian - Female,Indian - Total,Sri Lanka - Male,Sri Lanka - Female,Sri Lanka - Total,Nepal - Male,Nepal - Female,Nepal - Total,Bangladesh - Male,Bangladesh - Female,Bangladesh - Total,Other** - Male,Other** - Female,Other** - Total,Total - Male,Total - Female,Total - Total
1,State,Andhra Pradesh,0,882,882,0,0,0,0,0,0,0,1,1,0,0,0,0,883,883
2,State,Arunachal Pradesh,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
3,State,Assam,29,63,92,0,0,0,0,0,0,0,0,0,0,0,0,29,63,92
4,State,Bihar,191,44,235,0,0,0,0,1,1,0,0,0,0,0,0,191,45,236
5,State,Chhattisgarh,135,130,265,0,0,0,0,0,0,0,0,0,0,0,0,135,130,265
6,State,Goa,0,85,85,0,0,0,0,1,1,0,0,0,0,0,0,0,86,86
7,State,Gujarat,163,403,566,0,0,0,0,0,0,0,0,0,0,11,11,163,414,577
8,State,Haryana,28,78,106,0,0,0,0,0,0,0,1,1,0,1,1,28,80,108
9,State,Himachal Pradesh,2,154,156,0,0,0,0,0,0,0,0,0,0,0,0,2,154,156
10,State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,State,Jharkhand,9,36,45,0,0,0,0,0,0,0,0,0,0,0,0,9,36,45
12,State,Karnataka,217,780,997,0,0,0,9,0,9,0,2,2,0,4,4,226,786,1012
13,State,Kerala,202,355,557,38,0,38,3,0,3,0,3,3,0,13,13,243,371,614
14,State,Madhya Pradesh,1595,3222,4817,0,0,0,0,0,0,0,0,0,0,0,0,1595,3222,4817
15,State,Maharashtra,78,1040,1118,0,0,0,0,4,4,0,18,18,0,1,1,78,1063,1141
16,State,Manipur,5,16,21,0,0,0,0,0,0,0,0,0,0,0,0,5,16,21
17,State,Meghalaya,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8
18,State,Mizoram,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
19,State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,State,Odisha,265,231,496,0,0,0,0,0,0,0,0,0,0,0,0,265,231,496
21,State,Punjab,33,1,34,0,0,0,0,0,0,0,0,0,0,0,0,33,1,34
22,State,Rajasthan,5276,483,5759,0,0,0,7,0,7,0,0,0,1,0,1,5284,483,5767
23,State,Sikkim,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
24,State,Tamil Nadu,585,1773,2358,0,0,0,0,0,0,0,0,0,0,13,13,585,1786,2371
25,State,Telangana,0,355,355,0,0,0,0,0,0,0,0,0,0,0,0,0,355,355
26,State,Tripura,0,0,0,0,0,0,0,0,0,3,1,4,2,4,6,5,5,10
27,State,Uttar Pradesh,815,105,920,0,0,0,3,1,4,0,0,0,0,0,0,818,106,924
28,State,Uttarakhand,2,20,22,0,0,0,0,0,0,0,0,0,0,0,0,2,20,22
29,State,West Bengal,468,2295,2763,0,0,0,0,4,4,0,5,5,2,19,21,470,2323,2793
Total (States),State,Total (States),10098,12563,22661,38,0,38,22,11,33,3,31,34,5,66,71,10166,12671,22837
30,UT,A & N Islands,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
31,UT,Chandigarh,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
32,UT,D&N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,UT,Daman & Diu,0,8,8,0,0,0,0,0,0,0,2,2,0,0,0,0,10,10
34,UT,Delhi,171,86,257,0,0,0,0,5,5,0,0,0,0,2,2,171,93,264
35,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,UT,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (UTs),UT,Total (UTs),171,100,271,0,0,0,0,5,5,0,2,2,0,2,2,171,109,280
Total (All India),Total (All India),Total (All India),10269,12663,22932,38,0,38,22,16,38,3,33,36,5,68,73,10337,12780,23117
