S. No.,Category,State/UT,Total Number of Criminal Cases Registered during the year,Police Personnel Arrested,Cases Chargesheeted,Police Personnel Chargesheeted,Police Personnel whose Cases were withdrawn/ Disposed Off,Police Personnel whose Trials were Completed,Police Personnel Convicted,Police Personnel Acquitted
1,State,Andhra Pradesh,100,36,28,29,5,8,0,8
2,State,Arunachal Pradesh,24,10,13,13,0,6,5,1
3,State,Assam,37,18,8,8,1,0,0,0
4,State,Bihar,43,0,40,40,0,0,0,0
5,State,Chhattisgarh,65,26,32,38,1,1,0,1
6,State,Goa,20,11,8,8,0,1,0,1
7,State,Gujarat,130,131,91,105,2,3,0,3
8,State,Haryana,34,41,18,26,11,0,0,0
9,State,Himachal Pradesh,11,7,5,5,0,0,0,0
10,State,Jammu & Kashmir,29,22,15,17,1,0,0,0
11,State,Jharkhand,3,2,2,2,0,0,0,0
12,State,Karnataka,63,23,16,16,8,1,0,1
13,State,Kerala,171,50,49,42,16,0,0,0
14,State,Madhya Pradesh,66,44,61,65,4,1,1,0
15,State,Maharashtra,487,388,196,209,37,24,20,4
16,State,Manipur,0,19,0,0,0,0,0,0
17,State,Meghalaya,265,2,110,0,0,0,0,0
18,State,Mizoram,0,0,0,0,0,0,0,0
19,State,Nagaland,12,11,4,5,0,0,0,0
20,State,Odisha,64,35,28,25,0,0,0,0
21,State,Punjab,88,70,16,22,7,10,1,9
22,State,Rajasthan,158,30,33,31,1,1,0,1
23,State,Sikkim,0,0,0,0,0,0,0,0
24,State,Tamil Nadu,114,57,41,42,4,2,1,1
25,State,Telangana,57,33,29,29,1,0,0,0
26,State,Tripura,10,7,6,6,0,0,0,0
27,State,Uttar Pradesh,315,187,108,182,0,2,0,2
28,State,Uttarakhand,7,7,4,7,0,0,0,0
29,State,West Bengal,9,3,18,18,1,1,0,1
Total (States),State,Total (States),2382,1270,979,990,100,61,28,33
30,UT,A & N Islands,0,0,0,0,0,0,0,0
31,UT,Chandigarh,13,14,14,16,0,12,3,9
32,UT,D&N Haveli,0,0,0,0,0,0,0,0
33,UT,Daman & Diu,1,5,0,0,0,0,0,0
34,UT,Delhi,136,42,2,2,0,0,0,0
35,UT,Lakshadweep,0,0,0,0,0,0,0,0
36,UT,Puducherry,96,0,96,96,0,0,0,0
Total (UTs),UT,Total (UTs),246,61,112,114,0,12,3,9
Total (All India),Total (All India),Total (All India),2628,1331,1091,1104,100,73,31,42
