S. No.,City,Criminal Breach of Trust - (Sec 406 to 409 IPC),Cheating - (Sec 420 IPC),"Forgery - (Sec 465, 468 & 471 IPC)","Counterfeiting - (Sec 231-235,237-240 & 242-243, 255 and 489-A to 489-E IPC)",Total Economic Crimes
1,Ahmedabad (Gujarat),254,202,11,12,479
2,Bengaluru (Karnataka),105,3309,52,39,3505
3,Chennai (Tamil Nadu),13,262,106,45,426
4,Coimbatore (Tamil Nadu),4,109,4,1,118
5,Delhi,519,4957,387,79,5942
6,Ghaziabad (Uttar Pradesh),122,308,0,9,439
7,Hyderabad (Telangana),113,2081,22,23,2239
8,Indore (Madhya Pradesh),35,160,121,3,319
9,Jaipur (Rajasthan),143,4596,1,2,4742
10,Kanpur (Uttar Pradesh),135,392,0,24,551
11,Kochi (Kerala),15,553,9,0,577
12,Kolkata (West Bengal),249,1823,65,18,2155
13,Kozhikode (Kerala),9,121,11,1,142
14,Lucknow (Uttar Pradesh),429,1151,0,4,1584
15,Mumbai (Maharashtra),722,2637,808,24,4191
16,Nagpur (Maharashtra),72,380,15,1,468
17,Patna (Bihar),15,1274,0,3,1292
18,Pune (Maharashtra),132,952,20,5,1109
19,Surat (Gujarat),33,391,25,7,456
Total Cities,Total Cities,3119,25658,1657,300,30734
