S. No. (Col.1),Category (Col.2),Crime Head (Col.3),Persons Arrested - Male (Col.4),Persons Arrested - Female (Col.5),Persons Arrested - Total (Col.6),Persons Chargesheeted - Male (Col.7),Persons Chargesheeted - Female (Col.8),Persons Chargesheeted - Total (Col.9),Persons Convicted - Male (Col.10),Persons Convicted - Female (Col.11),Persons Convicted - Total (Col.12),Persons Acquitted - Male (Col.13),Persons Acquitted - Female (Col.14),Persons Acquitted - Total (Col.15),Persons Discharged - Male (Col.16),Persons Discharged - Female (Col.17),Persons Discharged - Total (Col.18)
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.1. Murder,317,20,337,311,17,328,44,0,44,140,0,140,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.2. Attempt to Commit Murder,259,2,261,269,2,271,12,0,12,63,2,65,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.3. Grievous Hurt,303,4,307,289,4,293,60,0,60,207,1,208,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.3.1. Hurt,303,4,307,289,4,293,60,0,60,207,1,208,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.3.2. Acid Attack & Attempt to Acid Attack,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.4. Assault on Women with Intent to Outrage her Modesty,1030,6,1036,1031,6,1037,80,0,80,297,2,299,2,0,2
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.4.1. Sexual Harassment,390,3,393,398,3,401,39,0,39,102,1,103,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.4.2. Assault on Women with Intent to Disrobe,82,1,83,80,1,81,2,0,2,5,0,5,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.4.3. Voyeurism,8,0,8,7,0,7,1,0,1,1,0,1,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.4.4. Stalking,41,0,41,38,0,38,1,0,1,5,0,5,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.4.5. Other Sexual Harassment,509,2,511,508,2,510,37,0,37,184,1,185,2,0,2
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.5. Insult to the Modesty of Women,37,0,37,28,0,28,15,0,15,14,0,14,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.6. Kidnapping & Abduction,166,3,169,152,3,155,10,0,10,53,1,54,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.6.1. Kidnaping & Abduction,50,1,51,45,1,46,2,0,2,18,1,19,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.6.2. Kidnaping & Abduction in order to Murder,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.6.3. Kidnapping for Ransom,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.6.4. Kidnapping & Abduction of Women to Compel her for Marriage,50,2,52,50,2,52,3,0,3,19,0,19,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.6.5. Other Kidnapping,63,0,63,56,0,56,5,0,5,16,0,16,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.7. Rape,1308,31,1339,1267,28,1295,128,1,129,509,3,512,1,0,1
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.8. Attempt to Commit Rape,16,0,16,14,0,14,0,0,0,4,0,4,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.9. Riots,702,24,726,680,21,701,18,1,19,285,0,285,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.10. Robbery,21,0,21,17,0,17,0,0,0,0,0,0,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.11. Dacoity,16,0,16,26,0,26,0,0,0,3,0,3,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.12. Arson,38,0,38,37,0,37,4,0,4,11,0,11,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.13. Other IPC Crimes *,3943,135,4078,3790,129,3919,470,4,474,1651,43,1694,5,0,5
2,SC / ST (Prevention of Atrocities) Act,2. SC / ST (Prevention of Atrocities) Act,1246,80,1326,1080,51,1131,66,0,66,825,23,848,16,0,16
Total of SC/ST (Prevention of Atrocities) Act (1+2),Total of SC/ST (Prevention of Atrocities) Act (1+2),Total of SC/ST (Prevention of Atrocities) Act (1+2),9402,305,9707,8991,261,9252,907,6,913,4062,75,4137,24,0,24
3,"Protection of Civil Rights Act, 1955","3. Protection of Civil Rights Act, 1955",34,5,39,11,1,12,0,0,0,0,0,0,0,0,0
Total Crime/Atrocities Against SCs (1+2+3),Total Crime/Atrocities Against SCs (1+2+3),Total Crime/Atrocities Against SCs (1+2+3),9436,310,9746,9002,262,9264,907,6,913,4062,75,4137,24,0,24
