S. No.,Category,State/UT,Personal Vendetta or Enmity,Property Dispute,Gain,Illicit Relationship,Love Affairs,Dowry,Water or Money Dispute,Road Rage,Extremism / Naxalism,Casteism,Robbery/ Extortion,Rape,Class Conflict,Witch Craft,Political Reasons,Lunacy,Honour Killing,Communalism,Child/ Human Sacrifice,Other Causes*,Total Motives
1,State,Andhra Pradesh,85,96,47,138,9,49,21,0,3,1,0,5,0,8,0,0,2,0,0,659,1123
2,State,Arunachal Pradesh,2,0,1,3,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,34,46
3,State,Assam,281,342,188,36,27,13,8,0,1,0,6,6,27,1,0,1,0,0,1,211,1149
4,State,Bihar,524,946,590,195,187,44,2,0,0,3,2,5,9,0,26,1,3,0,0,44,2581
5,State,Chhattisgarh,60,75,17,72,52,14,9,2,73,0,1,6,2,17,4,4,1,0,2,546,957
6,State,Goa,11,2,5,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,30
7,State,Gujarat,245,81,48,55,133,6,45,3,1,1,20,4,3,14,3,7,10,0,0,441,1120
8,State,Haryana,253,108,51,40,19,20,19,0,0,4,14,8,1,2,0,0,2,0,0,516,1057
9,State,Himachal Pradesh,13,4,2,8,4,0,5,0,0,0,0,1,0,0,0,0,0,0,0,64,101
10,State,Jammu & Kashmir,8,11,0,3,1,0,1,0,34,0,0,1,0,0,0,0,0,0,1,82,142
11,State,Jharkhand,429,293,509,35,46,37,7,0,43,4,6,4,7,27,2,5,0,6,0,54,1514
12,State,Karnataka,266,119,65,70,56,40,19,1,0,5,0,14,1,0,10,0,0,3,3,901,1573
13,State,Kerala,130,14,15,15,2,0,1,1,0,0,0,2,0,0,15,0,0,1,0,109,305
14,State,Madhya Pradesh,411,248,70,168,104,40,22,1,0,4,10,18,4,19,8,10,18,1,2,846,2004
15,State,Maharashtra,199,117,73,184,81,75,39,13,74,4,34,19,1,2,6,4,8,5,0,1361,2299
16,State,Manipur,14,1,0,2,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,55,78
17,State,Meghalaya,27,0,20,1,1,0,0,0,0,0,2,2,0,2,0,0,0,0,0,53,108
18,State,Mizoram,1,0,0,2,2,0,0,0,0,0,21,1,0,0,0,0,0,0,0,2,29
19,State,Nagaland,10,6,7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,11,36
20,State,Odisha,142,66,38,0,58,310,0,0,16,0,0,2,0,24,3,7,0,0,2,660,1328
21,State,Punjab,78,64,12,86,7,7,12,0,2,0,1,6,0,0,0,0,8,0,0,488,771
22,State,Rajasthan,11,22,34,8,38,49,0,0,0,0,1,1,16,1,0,1,0,3,0,1366,1551
23,State,Sikkim,3,1,7,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,17
24,State,Tamil Nadu,484,110,92,123,180,8,74,0,0,14,0,4,1,0,3,0,1,0,0,509,1603
25,State,Telangana,167,33,77,104,13,90,24,0,0,0,1,4,0,11,3,6,0,0,0,513,1046
26,State,Tripura,7,3,4,5,4,28,0,0,0,0,0,1,0,0,0,0,0,0,0,93,145
27,State,Uttar Pradesh,1010,536,172,284,398,145,534,489,0,271,123,54,60,3,29,27,16,1,0,737,4889
28,State,Uttarakhand,2,28,53,0,27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,83,194
29,State,West Bengal,244,60,59,5,14,375,0,0,79,0,2,11,0,3,1,0,0,0,0,1191,2044
Total (States),State,Total (States),5117,3386,2256,1645,1473,1350,843,512,327,312,249,179,132,134,113,77,69,20,11,11635,29840
30,UT,A & N Islands,1,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,14
31,UT,Chandigarh,0,0,0,2,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,19,26
32,UT,D&N Haveli,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
33,UT,Daman & Diu,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
34,UT,Delhi UT,50,37,8,19,16,4,4,1,0,0,6,3,2,0,0,0,2,0,1,375,528
35,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,UT,Puducherry,10,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,33
Total (UTs),UT,Total (UTs),62,38,14,26,20,4,7,1,0,0,7,3,2,0,0,0,2,0,1,423,610
Total (All-India),Total (All-India),Total (All-India),5179,3424,2270,1671,1493,1354,850,513,327,312,256,182,134,134,113,77,71,20,12,12058,30450
