Year,States,Incidence Published Earlier - Other SLL,Incidence Published Earlier - Total SLL,Incidence Revised Now - Other SLL,Incidence Revised Now - Total SLL
2014,Chhattisgarh,259990,285611,653,26274
2014,Uttar Pradesh,2272444,2393330,41461,162126
2014,Uttarakhand,166999,170767,125,3893
2014,All India,3368802,4377630,711608,1720100
2015,Chhattisgarh,215149,245223,1653,30563
2015,Uttar Pradesh,2386227,2549421,72776,232639
2015,Uttarakhand,83893,88618,170,4796
2015,All India,3259716,4376699,659618,1761276
