S. No.,City,Persons Arrested - Male,Persons Arrested - Female,Persons Arrested - Total,Persons Chargesheeted - Male,Persons Chargesheeted - Female,Persons Chargesheeted - Total,Persons Convicted - Male,Persons Convicted - Female,Persons Convicted - Total,Persons Acquitted - Male,Persons Acquitted - Female,Persons Acquitted - Total,Persons Discharged - Male,Persons Discharged - Female,Persons Discharged - Total
1,Ahmedabad (Gujarat),17699,3485,21184,18210,3441,21651,4987,490,5477,3542,824,4366,215,5,220
2,Bengaluru (Karnataka),5040,748,5788,4514,764,5278,1460,11,1471,1589,456,2045,36,2,38
3,Chennai (Tamil Nadu),90396,4247,94643,92952,439,93391,87410,142,87552,4520,26,4546,2,0,2
4,Coimbatore (Tamil Nadu),8451,93,8544,8474,100,8574,7950,87,8037,253,19,272,1,0,1
5,Delhi,10131,347,10478,8407,258,8665,2939,19,2958,1821,32,1853,134,0,134
6,Ghaziabad (Uttar Pradesh),5182,28,5210,3510,2,3512,2156,71,2227,112,0,112,0,0,0
7,Hyderabad (Telangana),2215,72,2287,1706,38,1744,1167,0,1167,641,4,645,0,0,0
8,Indore (Madhya Pradesh),4236,156,4392,4262,159,4421,4874,198,5072,285,3,288,0,0,0
9,Jaipur (Rajasthan),9410,342,9752,9292,355,9647,3445,51,3496,86,2,88,2,0,2
10,Kanpur (Uttar Pradesh),4487,2,4489,4642,5,4647,15948,0,15948,450,3,453,0,0,0
11,Kochi (Kerala),38802,19,38821,38825,20,38845,21465,34,21499,411,0,411,0,0,0
12,Kolkata (West Bengal),2432,54,2486,1684,64,1748,188,9,197,108,2,110,0,0,0
13,Kozhikode (Kerala),10020,22,10042,9884,23,9907,9630,15,9645,120,1,121,1,0,1
14,Lucknow (Uttar Pradesh),3164,0,3164,1975,0,1975,1078,0,1078,87,0,87,0,0,0
15,Mumbai (Maharashtra),23056,960,24016,23388,817,24205,10019,168,10187,3056,26,3082,1474,6,1480
16,Nagpur (Maharashtra),31339,387,31726,31357,276,31633,13959,19,13978,2966,35,3001,0,0,0
17,Patna (Bihar),2740,49,2789,2276,13,2289,109,0,109,595,3,598,0,0,0
18,Pune (Maharashtra),4159,376,4535,4544,384,4928,301,5,306,494,153,647,618,0,618
19,Surat (Gujarat),26042,15378,41420,26042,15378,41420,7006,182,7188,229,1151,1380,0,0,0
Total Cities,Total Cities,299001,26765,325766,295944,22536,318480,196091,1501,197592,21365,2740,24105,2483,13,2496
