SL. No.,Ranks,Killed,Injured
1,Constables,398,3132
2,Head Constables,45,553
3,Assistant Sub-Inspectors,16,93
4,Sub-Inspectors,42,488
5,Inspectors,12,115
6,Other Gazetted Officers,10,87
Total,Total,523,4468
