SL. No.,Crime Heads,Total number of persons under trial during the year including persons carried over from previous year,Number of persons against whom cases were compounded or withdrawn,Persons in whose cases trials were completed during the Year,Persons in custody or on bail during the stage of trial at the end of the year,Number of Persons convicted during the year,Percentage of persons in custody pending trial to total number of persons under trial,Percentage of persons convicted to total persons in whose cases trials were completed during the year
1,Arms Act,202155,320,57650,144170,40275,71.3,69.9
2,Opium Act,29816,86,11512,18210,8801,61.1,76.5
3,Gambling Act ,654982,1699,377666,275597,324214,42.1,85.9
4,Excise Act,271500,941,110206,160334,82094,59,74.5
5,Prohibition Act,659635,33162,260263,366206,126114,55.5,48.5
6,Explosives & Explosive Substances Act,5023,86,1393,4439,727,75,52.2
7,Suppression of Immoral Traffic in Women & Girls Act,22941,190,16377,6374,14681,27.8,89.6
8,Motor Vehicles Act,858579,3263,653765,201499,567523,23.5,86.8
9,Prevention of Corruption Act,1836,9,556,1261,328,68.7,59
10,Customs Act,136,NA,69,67,41,49.3,59.4
11,Indian Railways Act,51396,54,42415,8927,41207,17.4,97.2
12,Other Offences Under Local & Special Laws,1503565,21940,1165333,314809,1078138,20.9,92.5
13,Total,4262464,61750,2697205,1501893,2284143,35.2,84.7
