SL. No.,Year,Incidence of Crime,*Volume of Offences Per One Lakh of Population
1,1975,3205270,533.5
2,1976,3222910,525.5
3,1977,2699061,431.3
4,1978,2792223,437.4
5,1979,2823568,433.7
6,1980,2583700,389.3
7,1981,2546399,*372.3
