SL. No.,States/U.Ts,Cities,Murder,Culpable Homicide Not Amounting to Murder,Rape,Kidnapping & Abduction,Dacoity,Robbery,Burglary,Thefts,Riots,Criminal Breach of Trust,Cheating ,Counterfeiting,Total Cognizable Crimes Under IPC
1,Andhra Pradesh,Vijayawada Town,10,NA,1,12,NA,12,142,737,26,31,28,5,2255
2,Andhra Pradesh,Guntur,12,NA,2,6,1,4,162,460,11,26,29,NA,1674
3,Andhra Pradesh,Visakhapatnam Town,9,NA,4,13,3,11,199,703,81,25,37,NA,1085
4,Andhra Pradesh,WarangalTown,6,NA,2,4,5,11,192,213,61,20,4,NA,616
5,Andhra Pradesh,Rajahmundry Town,6,NA,1,2,NA,1,95,326,16,8,19,NA,619
6,Andhra Pradesh,Kakinada Town,10,NA,1,3,NA,3,99,331,4,4,9,NA,757
7,Andhra Pradesh,Eluru,3,NA,NA,2,NA,2,45,172,10,7,16,NA,349
8,Andhra Pradesh,Nellore,4,NA,2,2,1,5,78,218,14,10,13,NA,733
9,Andhra Pradesh,Bandar (Machilipatnan),2,NA,1,NA,NA,1,52,76,16,3,3,NA,892
10,Andhra Pradesh,Kurnool Town,9,NA,NA,NA,8,1,27,74,NA,NA,7,1,127
11,Andhra Pradesh,Tenali,6,NA,NA,4,NA,3,142,312,6,14,13,NA,963
12,Andhra Pradesh,Nizamabad,9,NA,NA,1,8,12,31,96,59,1,6,NA,365
1,Assam,Gauhati,12,1,2,42,4,12,440,1136,260,48,86,2,2045
1,Bihar,Patna,58,NA,6,59,21,50,275,1907,139,NA,86,NA,4961
2,Bihar,Biharsharif,20,NA,NA,NA,2,13,77,157,37,19,24,NA,803
3,Bihar,Gaya,13,NA,NA,2,NA,14,31,152,38,3,5,NA,258
4,Bihar,Munger,NA,NA,1,8,21,9,87,137,36,NA,11,NA,310
5,Bihar,Bhagalpur,9,NA,1,5,18,55,107,227,56,9,8,NA,1151
6,Bihar,Bokaro,15,4,1,12,26,26,107,488,98,11,8,NA,1150
7,Bihar,Darbhanga,2,1,3,10,7,8,125,211,94,11,11,NA,974
8,Bihar,Jamshedpur,52,9,7,22,17,53,153,898,89,15,23,NA,5387
9,Bihar,Dhanbad,9,NA,3,10,19,26,106,260,42,14,12,NA,771
10,Bihar,Muzaffarpur,19,3,3,16,66,32,81,363,102,6,52,NA,743
1,Gujarat,Rajkot City,12,NA,1,13,NA,11,169,455,23,28,16,NA,1869
2,Gujarat,Baroda City,23,NA,4,38,37,30,397,1816,216,45,61,NA,4712
3,Gujarat,Surat City,16,NA,2,27,2,25,225,1096,110,55,63,1,3101
4,Gujarat,Bhavnagar City,12,NA,NA,7,NA,3,97,253,67,19,11,NA,643
5,Gujarat,Jamnagar,15,NA,NA,6,NA,11,128,199,8,8,6,NA,867
6,Gujarat,Nadiad,7,NA,1,6,2,2,38,108,67,16,3,NA,426
1,Haryana,Haryana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
