SL. No.,States/U.Ts.,District,Murder,Culpable Homicide Not Amounting to Murder,Rape,Kidnapping & Abduction,Dacoity,Robbery,Burglary,Thefts,Riots,Criminal Breach of Trust,Cheating ,Counterfeiting,Total Cognizable Crimes Under IPC
1,Andhra Pradesh,Srikakulam,31,NA,7,NA,8,5,1129,247,230,29,12,NA,4231
2,Andhra Pradesh,Visakhapatnam,50,1,6,30,6,26,229,790,182,54,50,NA,1548
3,Andhra Pradesh,Vizianagaram,18,NA,1,8,NA,7,83,269,68,13,8,NA,2949
4,Andhra Pradesh,East Godavary ,37,NA,8,18,3,9,357,492,178,39,47,NA,8029
5,Andhra Pradesh,West Godavary ,66,1,18,17,10,6,5019,1416,53,47,49,NA,2269
6,Andhra Pradesh,Krishna,58,NA,17,26,8,28,478,1410,211,44,38,1,6422
7,Andhra Pradesh,Nellore,38,NA,11,7,18,14,343,882,194,17,21,NA,2199
8,Andhra Pradesh,Kurnool,110,1,1,74,36,14,246,451,202,14,12,1,4254
9,Andhra Pradesh,Ongole,53,NA,5,12,7,9,245,724,181,20,21,4,3251
10,Andhra Pradesh,Anantapur,62,8,8,6,15,3,279,1057,325,16,23,2,3619
11,Andhra Pradesh,Guntur,108,NA,19,21,7,29,503,1643,301,64,65,503,7024
12,Andhra Pradesh,Cuddapah,87,1,9,9,6,5,236,636,302,10,12,1,2441
13,Andhra Pradesh,Chittoor,74,1,4,25,15,17,542,1183,286,39,48,6,2625
14,Andhra Pradesh,R. R. District,43,4,10,13,42,31,277,413,210,26,42,NA,2118
15,Andhra Pradesh,Medak,46,7,3,10,5,16,95,204,134,7,6,NA,1254
16,Andhra Pradesh,Mehabubnagar,95,2,11,8,7,16,199,425,276,15,16,1,2425
17,Andhra Pradesh,Nalgonda,61,NA,13,11,20,13,295,419,299,14,11,1,2686
18,Andhra Pradesh,Nizamabad,43,2,2,4,21,41,173,308,122,5,16,NA,1295
19,Andhra Pradesh,Adilabad,47,NA,2,11,37,35,194,205,107,9,10,NA,1551
20,Andhra Pradesh,Warangal,67,NA,9,12,48,41,250,440,187,15,13,NA,1959
21,Andhra Pradesh,Khammam,42,NA,7,4,19,14,194,350,148,12,7,NA,1892
22,Andhra Pradesh,Karimnagar,72,NA,12,13,36,85,206,348,179,13,12,NA,2013
23,Andhra Pradesh,R.P. Vijyawada,3,NA,1,NA,NA,3,1,446,6,2,2,NA,514
24,Andhra Pradesh,R.P. Secunderabad,2,NA,NA,NA,1,2,NA,118,6,NA,1,NA,156
1,Assam,Goalpara,55,2,24,46,56,66,568,722,869,73,67,1,4119
2,Assam,Kamrup,77,3,41,82,77,56,1177,2545,1101,115,148,3,8450
3,Assam,Darrang,71,4,35,90,70,55,804,1448,658,66,63,NA,5927
4,Assam,Nowgaon,67,NA,36,89,53,78,791,1303,870,55,79,NA,5194
5,Assam,Sibsagar,95,5,46,125,43,172,729,1804,400,52,66,NA,6580
6,Assam,Dibrugarh,117,4,29,152,25,98,453,1241,398,47,53,NA,4603
7,Assam,North Lakhimpur,45,NA,34,63,26,87,293,431,346,27,36,NA,2410
8,Assam,Mikir Hills,15,NA,8,19,17,22,146,173,53,8,NA,NA,858
9,Assam,N.C. Hills,3,NA,1,6,2,3,20,75,19,10,1,NA,224
10,Assam,Cachar,63,NA,27,103,25,27,671,1295,1093,48,57,NA,5432
1,Bihar,Patna,98,15,14,89,94,115,486,3398,466,160,98,NA,7930
2,Bihar,Nalanda,120,7,8,43,49,36,410,776,561,19,24,NA,3368
3,Bihar,Bhojpur,112,14,20,51,137,98,414,1215,524,45,28,NA,3707
4,Bihar,Rohtas,112,11,10,55,172,89,634,950,432,38,34,NA,3453
5,Bihar,Gaya,106,20,22,47,107,71,414,787,551,43,39,NA,4116
6,Bihar,Aurangabad,49,3,5,21,54,20,247,500,307,8,17,NA,1715
7,Bihar,Nawada,51,1,2,14,67,16,108,389,282,13,10,NA,1537
8,Bihar,Saran,73,11,6,24,86,48,351,639,50,28,31,NA,2572
9,Bihar,Siwan,46,20,3,22,61,33,286,256,204,15,11,NA,1885
10,Bihar,Gopalganj,35,5,3,16,40,20,142,309,198,27,17,NA,1177
