SL. No. ,Category, States/U.Ts/Cities                           ,Arms Act - Incidence (I),Arms Act - Volume (V),Opium Act - Incidence (I),Opium Act - Volume (V),Gambling Act - Incidence (I),Gambling Act - Volume (V),Excise Act - Incidence (I),Excise Act - Volume (V),Prohibition Act - Incidence (I),Prohibition Act - Volume (V),Explosives and Explosive Substances Act - Incidence (I),Explosives and Explosive Substances Act - Volume (V),Suppression of Immoral Traffic in Women and Girls Act - Incidence (I),Suppression of Immoral Traffic in Women and Girls Act  - Volume (V),Motor Vehicles Act - Incidence (I),Motor Vehicles Act - Volume (V),Prevention of Corruption Act - Incidence (I),Prevention of Corruption Act - Volume (V),Customs Act - Incidence (I),Customs Act - Volume (V),Indian Railways Act - Incidence (I),Indian Railways Act - Volume (V),Other offences - Incidence (I),Other offences - Volume (V),Grand Total - Incidence (I),Grand Total - Volume (V)
1,State,Andhra Pradesh ,169,0.3,4,0,36932,68.9,2713,5.1,4,0,199,0.4,2127,4,98717,184.2,11,0,NA,NA,96,0.2,112877,210.6,253849,473.7
2,State,Assam,180,0.9,8,0,499,2.5,1870,9.4,232,1.2,123,0.6,1,0,489,2.5,NA,NA,NA,NA,45,0.2,860,4.3,4307,21.6
3,State,Bihar,1987,2.8,9,0,349,0.5,833,1.2,9,0,446,0.6,7,0,1547,2.2,8,0,1,0,257,0.4,2710,3.9,8163,11.7
4,State,Gujarat,406,1.2,NA,NA,20965,61.7,1,0,96484,284.1,21,0.1,4,0,61,0.2,NA,NA,NA,NA,488,1.4,25422,74.9,143852,423.6
5,State,Haryana,1349,10.5,2284,17.8,2276,17.7,10443,81.3,4,0,6,0,NA,NA,NA,NA,25,0.2,NA,NA,89,0.7,2183,17,18659,145.2
6,State,Himachal Pradesh,65,1.5,52,1.2,35,0.8,3285,77.5,NA,NA,3,0.1,NA,NA,NA,NA,NA,NA,NA,NA,3,0.1,430,10.1,3873,91.4
7,State,Jammu & Kashmir,78,1.3,2,0,127,2.1,42,0.7,NA,NA,9,0.2,NA,NA,NA,NA,9,0.2,NA,NA,2,0,1250,21,1519,25.5
8,State,Karnataka ,78,0.2,22,0.1,11108,30,2475,6.7,80,0.2,74,0.2,2145,5.8,189040,510.3,NA,NA,NA,NA,40,0.1,32101,86.7,237163,640.2
9,State,Kerala,104,0.4,NA,NA,526,2.1,NA,NA,NA,NA,94,0.4,15,0.1,14,0.1,1,0,3,0,63,0.2,2800,11,3620,14.3
10,State,Madhya Pradesh,3344,6.4,354,0.7,16868,32.4,11314,21.7,166,0.3,172,0.3,1,0,88942,170.6,12,0,NA,NA,8878,17,43871,84.1,73931,333.6
11,State,Maharashtra,855,1.4,6,0,62060,99,NA,NA,162526,259.1,30,0,908,1.4,45034,71.8,1,0,NA,NA,23931,38.2,318991,508.6,614342,979.6
12,State,Manipur,26,1.8,2,0.1,83,5.9,504,35.7,NA,NA,5,0.4,10,0.7,40,2.8,NA,NA,NA,NA,NA,NA,48,3.4,718,50.9
13,State,Meghalaya,27,2,NA,NA,558,42,26,2,2,0.2,6,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,8.7,735,55.3
14,State,Nagaland,13,1.7,10,1.3,1,0.1,72,9.3,NA,NA,5,0.6,NA,NA,361,46.7,NA,NA,NA,NA,2,0.3,31,4,495,64
15,State,Orissa,117,0.4,38,0.1,633,2.4,372,1.4,7,0,53,0.2,5,0,NA,NA,1,0,NA,NA,55,0.2,562,2.1,1843,7
16,State,Punjab,6632,39.8,9434,56.6,3461,20.8,27014,162.1,NA,NA,22,0.1,1,0,NA,NA,147,0.8,NA,NA,568,3.4,1313,7.9,48592,291.5
17,State,Rajasthan,1149,3.4,529,1.6,2059,6,435,1.3,4531,13.3,29,0.1,5,0,24240,71.7,NA,NA,NA,NA,420,1.2,11575,33.9,44972,131.9
18,State,Sikkim ,4,1.3,NA,NA,NA,NA,120,38.1,NA,NA,NA,NA,NA,NA,4187,1329.2,4,1.3,NA,NA,NA,NA,26,8.3,4341,1378.1
19,State,Tamil Nadu,124,0.3,9,0,56642,117.3,NA,NA,56206,116.4,166,0.3,9665,20,166190,344.1,27,0.1,10,0,1491,3.1,323992,670.8,614522,1272.4
20,State,Tripura,36,1.8,NA,NA,20,1,131,6.4,4,0.2,32,1.6,NA,NA,257,12.6,NA,NA,NA,NA,NA,NA,71,3.5,551,26.9
21,State,Uttar Pradesh,47615,42.9,997,0.9,9060,8.2,40753,36.9,5,0,610,0.6,595,0.5,44474,40.1,46,0,11,0,3053,2.8,29774,26.9,176993,159.6
22,State,West Bengal ,779,1.4,1,0,7920,14.5,3167,5.8,346,0.6,668,1.2,51,0.1,7882,14.5,1,0,3,0,2478,4.5,137542,252.4,160838,295.2
