SL. No.,Heads of Crime ,Persons Arrested,Percentage to Total Persons Arrested
1,Arms Act,72109,2.5
2,Opium Act,14556,0.5
3,Gambling Act ,400497,14.1
4,Excise Act,114934,4
5,Prohibition Act,288739,10.2
6,Explosives & Explosive Substances Act,3086,0.1
7,Suppression of Immoral Traffic Act,17220,0.6
8,Motor Vehicles Act,681606,24
9,Prevention of Corruption Act,659,Neg.
10,Customs Act,104,Neg.
11,Indian Railways Act,45073,1.6
12,Miscellaneous Act,1194942,42.2
13,Total,2833525,100
