SL. No.,Heads of Crime,Year - 1977,Year - 1978,Year - 1979,Year - 1980,Year - 1981
1,Murder ,1.5,1.4,1.5,1.6,1.6
2,Kidnapping & Abduction,1,1,1,1,1
3,Dacoity,1,1,1.1,1.1,1.1
4,Robbery,1.8,1.7,1.7,1.7,1.6
5,Burglary,15.3,13.7,12.6,12.2,11.4
6,Theft,34.1,32.5,32.2,31.5,30.5
7,Riots,6.3,7.2,7.4,7.8,7.9
8,Criminal Breach of Trust,1.8,1.7,1.6,1.5,1.5
9,Cheating ,1.5,1.5,1.4,1.3,1.3
10,Counterfeiting,0.1,0.1,0.1,0.1,0.1
11,Miscellaneous,35.6,38.2,39.4,40.2,42
Total,Total,100,100,100,100,100
