SL. No.,Crime Heads,Persons Arrested - 1980,Persons Arrested - 1981,Percentage Variation in 1981 Over 1980,Percentage to Total Persons Arrested During 1981
1,Total Cognizable Crimes,1949299,2013088,3.3,100
2,Murder ,53117,56060,5.5,2.8
3,Kidnapping & Abduction,16752,17468,4.3,0.9
4,Dacoity,57220,54053,-5.5,2.7
5,Robbery,27988,28169,0.6,1.4
6,Burglary,107570,105629,-1.8,5.2
7,Thefts,251367,252738,0.6,12.6
8,Riots,579190,573186,-1,28.5
9,Rape,6814,7407,8.7,0.4
10,Criminal Breach of Trust,16057,16946,5.5,0.8
11,Cheating ,15758,14988,-4.9,0.7
12,Counterfeiting,506,545,7.7,Neg.
13,Culpable Homicide Not Amounting to Murder,5928,6337,6.9,0.3
14,Miscellaneous,811032,879562,8.5,43.7
