SL. No.,Category,State/U.Ts./Cities,1976,1977,1978,1979,1980,Quinquennial Average of 1976 to 1980 (Q.A.),1981,"Percentage Variation in 1981 (+) Increase, (-) Decrease - Over - Quinquennial Average","Percentage Variation in 1981 (+) Increase, (-) Decrease - Over - 1980",*Volume of Crime in 1981 Per One Lakh of Population 
1,State,Andhra Pradesh ,61170,66852,68092,76709,69320,68429,75294,10,8.6,140.5
2,State,Assam,32896,36050,37140,40334,43773,38039,43797,15.1,0.1,220.1
3,State,Bihar,94782,96897,100121,101146,104225,99434,107006,7.6,2.7,153.3
4,State,Gujarat,55895,59915,61736,62508,61713,60353,78639,30.3,27.4,231.6
5,State,Haryana,9146,13039,15505,16297,16600,14117,16699,18.3,0.6,129.9
6,State,Himachal Pradesh,3780,4553,4581,4801,4864,4516,4197,-7.1,-13.7,99
7,State,Jammu & Kashmir,12319,14529,12443,14118,15075,13697,15973,16.6,5.9,268.3
8,State,Karnataka ,50640,69315,80136,75883,77443,70683,79605,12.6,2.8,214.9
9,State,Kerala,31868,41262,48618,43412,47641,42560,48064,12.9,0.9,189.2
10,State,Madhya Pradesh,122299,148125,164469,160787,169751,153086,169119,10.5,-0.4,324.4
11,State,Maharashtra,133440,145086,150626,154372,167347,150174,172976,15.2,3.4,275.8
12,State,Manipur,2984,3258,3363,3242,3505,3270,3278,0.2,-6.5,232.3
13,State,Meghalaya,1604,1705,1894,2280,2203,1937,2122,9.6,-3.7,159.8
14,State,Nagaland,824,844,957,834,919,876,993,13.4,8,128.5
15,State,Orissa,33400,35416,39589,42595,48081,39816,47780,20,-0.6,181.9
16,State,Punjab,11775,13994,12831,12128,11679,12481,13588,8.9,16.3,81.5
17,State,Rajasthan,50842,62244,63752,59877,60846,59512,67052,12.7,10.2,196.6
18,State,Sikkim ,230,193,217,318,281,248,295,18.9,5,93.7
19,State,Tamil Nadu,69806,90396,107973,104745,116110,97806,118471,21.1,2,245.3
20,State,Tripura,3010,3820,5355,5766,6098,4810,4178,-13.1,-31.5,204.1
21,State,Uttar Pradesh,195633,222621,217277,206230,198131,207978,185485,-10.8,-6.4,167.3
22,State,West Bengal ,84879,91450,93596,92367,93618,91182,89207,-2.2,-4.7,163.7
Total (States),State,Total (States),1063222,1221564,1290271,1280749,1319223,1235004,1343818,8.8,1.9,199.3
23,UT,A & N Islands,517,592,701,703,805,664,737,11,-8.4,392
24,UT,Arunachal Pradesh,399,476,443,615,852,557,841,51,-1.3,133.9
25,UT,Chandigarh,1312,2495,2609,2430,2118,2193,1683,-23.3,-20.5,374
26,UT,Delhi,23105,35856,43407,44078,37588,36806,30636,-16.8,-18.5,494.4
27,UT,D & N Haveli,146,109,220,191,177,169,192,13.6,8.5,184.6
28,UT,"Goa, Daman & Diu",2150,1890,2181,2209,2927,2271,3418,50.5,16.8,315.9
29,UT,Lakshadweep,14,15,20,6,15,14,12,-14.3,-20,30
30,UT,Mizoram,647,737,771,1277,1055,897,1506,67.9,42.7,308.6
31,UT,Pondicherry,2385,3270,4345,3910,3769,3536,2914,-17.6,-22.7,482.5
Total (UTs),UT,Total (UTs),30675,45440,54697,55419,49306,47107,41939,-11,-14.9,428.8
Total (All-India),Total (All-India),Total (All-India),1093897,1267004,1344968,1336168,1368529,1282111,1385757,8.1,1.3,202.6
1,City,Ahmedabad ,6231,7323,8035,8017,8678,7657,10502,37.1,21,518.6
2,City,Bangalore ,11002,20751,26063,22439,18307,19712,17122,-13.1,-6.5,689.8
3,City,Bombay,31376,36866,36160,36448,35695,35309,35263,-0.1,-1.2,428.6
4,City,Calcutta,12321,12577,13039,13104,13981,13004,13951,7.3,-0.2,423.8
5,City,Delhi,21464,33865,41061,41552,35648,34718,29341,-15.5,-17.7,513.5
6,City,Hyderabad,5174,5955,7772,8478,7412,6958,6870,-1.3,-7.3,320.7
7,City,Kanpur,8399,7752,11395,10546,6300,8878,5882,-33.8,-6.6,384.2
8,City,Madras,14940,18247,19089,17288,17279,17369,15693,-9.6,-9.2,480.5
9,City,Pune,NA,NA,NA,NA,NA,NA,8031,NA,NA,667.6
10,City,Jaipur,NA,NA,NA,NA,NA,NA,5577,NA,NA,576.7
11,City,Lucknow,NA,NA,NA,NA,NA,NA,10291,NA,NA,1148.5
12,City,Nagpur,NA,NA,NA,NA,NA,NA,5750,NA,NA,473.3
Total (Cities),City,Total (Cities),110907,143336,162614,157872,143300,143605,164273,14.4,14.6,498.4
