SL. No.,Category,States/U.Ts/Cities,Arms Act,Opium Act,Gambling Act,Excise Act,Prohibition Act,Explosive & Explosive Substances Act,Suppression Moter of Immoral Traffic Act,Motor Vehicles Act,Prevention of Corruption Act,Customs Act,Indian Railways Act,Other Offences,Total
1,State,Andhra Pradesh ,191,6,32998,2624,4,180,2095,93870,7,NA,366,113346,245687
2,State,Assam,177,6,1351,2182,329,148,3,988,NA,NA,30,1398,6612
3,State,Bihar,2851,3,1023,1189,36,566,44,21018,51,NA,443,3938,12161
4,State,Gujarat,505,NA,40198,NA,102957,32,15,66,NA,NA,727,36965,181465
5,State,Haryana,2339,2318,4762,10982,1,7,2,NA,25,NA,119,2628,23183
6,State,Himachal Pradesh,68,54,130,3503,NA,2,NA,NA,NA,NA,1,669,4427
7,State,Jammu & Kashmir,56,1,335,187,NA,4,NA,489,7,NA,3,1398,2480
8,State,Karnataka ,94,27,22975,2481,21,68,2621,188242,NA,72,56,36607,253264
9,State,Kerala,72,NA,3621,NA,NA,93,49,13,NA,NA,39,3194,7081
10,State,Madhya Pradesh,3585,374,48729,12029,NA,172,2,98717,6,NA,8965,48605,221184
11,State,Maharashtra,1109,6,101102,NA,129821,36,1419,44909,2,NA,24385,343467,646256
12,State,Manipur,19,2,273,526,NA,10,26,40,NA,NA,NA,67,963
13,State,Meghalaya,30,NA,696,30,1,9,NA,NA,NA,NA,NA,142,908
14,State,Nagaland,19,10,11,78,NA,8,NA,334,NA,NA,2,65,527
15,State,Orissa,128,32,2601,671,1,34,19,NA,2,NA,85,629,4202
16,State,Punjab,6572,9467,7473,27717,NA,21,3,NA,151,NA,719,3438,55561
17,State,Rajasthan,1206,685,4610,874,5497,37,12,27405,NA,NA,566,2747,43639
18,State,Sikkim ,4,NA,NA,120,NA,NA,NA,4187,4,NA,NA,26,4341
19,State,Tamil Nadu,150,3,61660,NA,49389,181,9670,163683,27,4,1461,325058,611286
20,State,Tripura,40,NA,85,131,4,46,NA,257,NA,NA,NA,73,636
21,State,Uttar Pradesh,47914,1043,38036,40616,4,563,943,44669,372,25,2328,41460,217973
22,State,West Bengal ,925,NA,19441,3382,674,827,64,8695,NA,3,4581,217206,255798
Total (States),State,Total (States),68054,14307,392110,109322,288739,3044,16987,678582,654,104,44876,1183126,2799635
23,UT,A & N Islands,NA,3,129,1334,NA,NA,NA,19,NA,NA,NA,346,1831
24,UT,Arunachal Pradesh,10,8,NA,NA,NA,12,NA,NA,NA,NA,NA,3,33
25,UT,Chandigarh,152,105,447,503,NA,11,NA,NA,1,NA,NA,281,1500
26,UT,D & N Haveli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
27,UT,Delhi,3869,399,5907,3616,NA,8,141,NA,4,NA,175,850,14969
28,UT,"Goa, Daman & Diu",1,NA,1611,59,NA,NA,54,76,NA,NA,22,586,2409
29,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
30,UT,Mizoram,8,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,290,304
31,UT,Pondicherry,15,4,293,100,NA,5,38,2929,NA,NA,NA,9458,12842
Total (UTs),UT,Total (UTs),4055,519,8387,5612,NA,42,233,3024,5,NA,197,11816,33890
Total (All-India),Total (All-India),Total (All-India),72109,14556,400497,114934,288739,3086,17220,681606,659,104,45073,1194942,2833525
1,City,Ahmedabad ,8,NA,12442,NA,13889,8,12,6,NA,NA,NA,7661,34026
2,City,Bangalore ,NA,6,1827,607,NA,12,450,69035,NA,NA,NA,980,72917
3,City,Bombay,62,NA,35031,NA,22933,NA,1365,44320,NA,NA,NA,287352,391063
4,City,Calcutta,123,NA,16087,3129,NA,234,61,4890,NA,NA,NA,206739,231263
5,City,Delhi,3810,395,5802,3523,NA,8,141,NA,4,NA,174,791,14648
6,City,Hyderabad,30,2,2016,2211,NA,3,99,66062,NA,NA,NA,30541,100964
7,City,Kanpur,3641,212,2855,2103,NA,9,91,2682,NA,NA,NA,2639,14232
8,City,Madras,1,2,10564,NA,2506,NA,1362,53444,NA,NA,NA,86429,154308
9,City,Pune,3,NA,1023,NA,8607,2,7,156,NA,NA,NA,9537,19335
10,City,Jaipur,137,7,674,10,282,1,7,312,NA,NA,NA,105,1535
11,City,Lucknow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,City,Nagpur,226,NA,7449,NA,4322,NA,NA,166,1,NA,NA,6739,18903
Total (Cities),City,Total (Cities),8041,624,95770,11583,52539,277,3595,241073,5,NA,174,639513,1053194
