SL. No.,Category,State/U.Ts/Cities,Total Cognizable Crime - Male,Total Cognizable Crime - Female,Murder - Male,Murder - Female,Culpable Homicide Not Amounting to Murder - Male,Culpable Homicide Not Amounting to Murder - Female,Rape - Male,Rape - Female,Kidnapping & Abduction - Male,Kidnapping & Abduction - Female,Dacoity - Male,Dacoity - Female,Robbery - Male,Robbery - Female,Burglary - Male,Burglary - Female,Thefts - Male,Thefts - Female,Riots - Male,Riots - Female,Criminal Breach of Trust - Male,Criminal Breach of Trust - Female,Cheating - Male,Cheating - Female,Counterfeiting - Male,Counterfeiting - Female
1,State,Andhra Pradesh ,108230,3576,4116,66,54,NA,260,NA,377,17,1728,7,712,NA,5824,57,12678,360,29937,664,1047,12,581,21,6,1
2,State,Assam,53094,1695,1019,4,29,NA,263,10,782,1,1556,NA,1027,NA,6240,38,8770,60,15182,235,557,NA,461,NA,1,NA
3,State,Bihar,192768,1395,5732,60,411,16,851,NA,1813,109,7492,146,2197,20,7071,36,26505,327,78710,624,1605,NA,1589,NA,26,NA
4,State,Gujarat,112233,4142,2537,102,13,1,107,8,732,51,1125,11,1252,16,5545,171,13218,580,16327,330,1387,14,871,16,1,NA
5,State,Haryana,25455,177,1087,7,190,3,118,NA,275,8,151,NA,185,NA,1877,NA,2952,48,1524,63,528,NA,386,NA,NA,NA
6,State,Himachal Pradesh,5680,835,86,17,26,3,36,1,89,3,4,NA,49,NA,405,8,562,22,808,242,76,NA,110,1,NA,NA
7,State,Jammu & Kashmir,23866,933,197,12,33,NA,143,2,464,13,44,NA,13,NA,1551,57,2462,53,6124,373,94,1,94,NA,NA,NA
8,State,Karnataka ,115013,3439,1859,100,41,2,125,NA,273,4,694,2,569,11,3990,44,10606,224,38710,1544,652,2,745,8,141,NA
9,State,Kerala,79690,2432,1471,23,12,1,80,NA,119,4,291,1,225,NA,1785,3,2678,38,27148,1101,197,2,316,5,98,2
10,State,Madhya Pradesh,213166,1837,5578,42,79,NA,1657,NA,1500,11,2516,NA,3580,42,12884,378,25504,241,35769,207,1306,8,1417,16,10,NA
11,State,Maharashtra,223886,10279,3891,188,49,2,760,16,928,55,2988,54,4162,65,16320,611,37988,2074,58021,2776,2588,21,2054,36,25,NA
12,State,Manipur,3878,11,78,NA,6,NA,25,NA,229,NA,68,NA,92,NA,194,NA,558,1,673,9,72,NA,94,NA,7,NA
13,State,Meghalaya,3104,69,138,7,1,NA,17,NA,42,NA,89,NA,69,NA,278,2,625,22,642,16,21,NA,49,NA,NA,NA
14,State,Nagaland,1166,1,96,1,11,NA,10,NA,21,NA,21,NA,59,NA,224,NA,487,NA,194,NA,14,NA,28,NA,1,NA
15,State,Orissa,82713,268,1324,17,49,NA,185,NA,193,5,1685,2,1491,5,6556,31,15693,92,23776,73,451,NA,378,NA,5,NA
16,State,Punjab,23805,240,1287,37,251,10,144,5,459,27,NA,NA,31,NA,979,5,1891,22,325,NA,811,15,457,5,3,NA
17,State,Rajasthan,100876,4971,2244,63,58,NA,329,5,1547,48,634,1,1333,12,4015,334,7303,571,37912,2077,498,3,727,7,4,NA
18,State,Sikkim ,238,4,11,1,3,2,10,NA,3,NA,NA,NA,8,NA,19,NA,46,NA,20,1,9,NA,7,NA,4,NA
19,State,Tamil Nadu,172057,4530,3070,153,12,NA,225,NA,697,19,626,NA,442,2,5907,98,19926,665,65312,1669,712,4,892,11,104,NA
20,State,Tripura,7319,328,196,21,1,NA,33,NA,84,NA,317,NA,190,NA,226,NA,1587,19,1665,20,30,NA,33,NA,1,NA
21,State,Uttar Pradesh,257103,873,15288,103,3599,15,1261,NA,4677,99,25846,82,7712,3,16971,110,27713,398,57139,170,2526,3,2115,15,39,NA
22,State,West Bengal ,132156,1061,3294,31,867,5,599,NA,1185,38,5675,7,2262,NA,3524,2,22723,328,60735,252,1286,8,1080,18,49,NA
Total (States),State,Total (States),1937496,43096,54599,1055,5795,60,7238,47,16489,512,53550,323,27660,176,102385,1985,242475,6145,556653,12446,16467,93,14484,159,525,3
23,UT,A & N Islands,1106,33,6,NA,1,NA,1,NA,9,NA,NA,NA,7,NA,55,NA,60,1,557,24,3,NA,2,NA,NA,NA
24,UT,Arunachal Pradesh,781,2,13,NA,4,NA,8,NA,46,NA,19,NA,31,NA,53,1,165,NA,36,NA,7,1,5,NA,NA,NA
25,UT,Chandigarh,2981,26,10,NA,23,NA,4,NA,30,6,NA,NA,9,NA,81,2,305,3,33,NA,91,NA,85,6,NA,NA
26,UT,D & N Haveli,207,13,3,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,18,1,33,1,24,2,13,NA,1,NA,NA,NA
27,UT,Delhi,18045,122,229,3,427,4,70,NA,320,13,121,1,174,NA,524,3,2310,34,824,5,155,2,167,4,8,NA
28,UT,"Goa, Daman & Diu",4014,323,67,7,14,4,5,NA,24,1,27,NA,77,2,389,13,603,43,1243,142,55,4,39,1,2,NA
29,UT,Lakshadweep,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,7,NA,14,NA,2,NA,NA,NA,NA,NA
30,UT,Mizoram,1567,307,42,1,5,NA,29,NA,8,NA,3,NA,29,NA,32,NA,212,9,27,16,39,1,24,NA,7,NA
31,UT,Pondicherry,2737,204,25,NA,NA,NA,5,NA,7,NA,9,NA,2,1,84,NA,325,7,1132,8,13,NA,11,NA,NA,NA
Total (UTs),UT,Total (UTs),31466,1030,395,11,474,8,122,NA,447,20,179,1,330,3,1239,20,4020,98,3890,197,378,8,334,11,17,NA
Total (All-India),Total (All-India),Total (All-India),1968962,44126,54994,1066,6269,68,7360,47,16936,532,53729,324,27990,179,103624,2005,246495,6243,560543,12643,16845,101,14818,170,542,3
1,City,Ahmedabad ,15851,394,110,10,1,NA,5,NA,158,8,106,1,66,NA,511,14,1359,145,2999,113,95,NA,84,1,NA,NA
2,City,Bangalore ,8641,198,31,1,2,NA,22,NA,44,NA,22,NA,233,3,407,9,1438,72,1273,32,63,1,151,3,93,NA
3,City,Bombay,29089,454,479,5,5,NA,82,NA,200,17,214,NA,568,NA,1399,13,7587,179,2195,21,603,5,517,9,18,NA
