SL. No.,Category,States/UTs/Cities,Murder - Incidence (I),Murder - Volume (V),Culpable Homicide Not Amounting to Murder - Incidence (I),Culpable Homicide Not Amounting to Murder - Volume (V),Rape - Incidence (I),Rape - Volume (V),Kidnapping & Abduction - Incidence (I),Kidnapping & Abduction - Volume (V),Dacoity - Incidence (I),Dacoity - Volume (V),Robbery - Incidence (I),Robbery - Volume (V),Burglary - Incidence (I),Burglary - Volume (V),Thefts - Incidence (I),Thefts - Volume (V),Riots - Incidence (I),Riots - Volume (V),Criminal Breach of Trust - Incidence (I),Criminal Breach of Trust - Volume (V),Cheating - Incidence (I),Cheating - Volume (V),Counterfeiting - Incidence (I),Counterfeiting - Volume (V),Others -  Incidence (I),Others - Volume (V),Total Cognizable Crimes - Incidence (I),Total Cognizable Crimes - Volume (V)
1,State,Andhra Pradesh ,1342,2.5,41,0.1,192,0.4,310,0.6,392,0.7,519,1,7162,13.4,18423,34.4,4801,8.9,581,1.1,775,1.4,23,0,40733,76,75294,140.5
2,State,Assam,608,3.1,18,0.1,281,1.4,775,3.9,394,2,664,3.3,5652,28.4,11037,55.5,5807,29.2,501,2.5,570,2.9,4,0,17486,87.9,43797,220.1
3,State,Bihar,2461,3.5,356,0.5,516,0.7,1205,1.7,3448,4.9,1933,2.8,12587,18,29705,42.5,16868,24.1,1491,2.1,1232,1.8,9,0,35195,50.4,107006,153.3
4,State,Gujarat,1025,3,5,0,92,0.3,571,1.7,282,0.8,942,2.8,6406,18.9,20927,61.6,3138,9.2,1335,3.9,694,2,7,0,43215,127.2,78639,231.6
5,State,Haryana,371,2.9,96,0.7,80,0.6,200,1.6,38,0.3,87,0.7,2656,20.7,4094,31.9,243,1.9,353,2.7,343,2.7,2,0,8136,63.3,16699,129.9
6,State,Himachal Pradesh,48,1.1,14,0.3,17,0.4,79,1.9,1,0,22,0.5,533,12.6,614,14.5,202,4.8,78,1.8,90,2.1,1,0,2498,58.9,4197,99
7,State,Jammu & Kashmir,90,1.5,7,0.1,141,2.4,475,8,10,0.2,22,0.4,1347,22.6,3184,53.5,1822,30.6,135,2.3,160,2.7,3,0.1,8577,144.1,15973,268.3
8,State,Karnataka ,942,2.5,28,0.1,106,0.3,323,0.9,231,0.6,723,2,9559,25.8,21514,58.1,5686,15.3,976,2.6,1422,3.8,167,0.5,37928,102.4,79605,214
9,State,Kerala,539,2.1,13,0.1,75,0.3,144,0.6,54,0.2,172,0.7,4568,18,3953,15.6,5657,22.3,316,1.2,498,2,109,0.4,31966,125.8,48064,189.2
10,State,Madhya Pradesh,2417,4.6,57,0.1,1066,2,975,1.9,629,1.2,2939,5.6,25433,48.8,52415,100.5,6224,11.9,1302,2.5,1418,2.7,26,0,74218,142.3,169119,324.4
11,State,Maharashtra,1811,2.9,27,0,516,0.8,865,1.4,676,1.1,3660,5.8,19803,31.6,68377,109,9120,14.5,2851,4.5,2419,3.9,27,0,62824,100.2,172976,275.8
12,State,Manipur,123,8.7,4,0.3,14,1,184,13,53,3.8,149,10.6,218,15.5,661,46.8,168,11.9,51,3.6,85,6,9,0.6,1559,110.5,3278,232.3
13,State,Meghalaya,82,6.2,1,0.1,13,1,25,1.9,29,2.2,57,4.3,249,18.8,613,46.2,160,12,21,1.6,44,3.3,NA,NA,828,62.3,2122,159.8
