SL. No.,Nature of Property Stolen & Recovered,Number of Cases in which Property was Stolen,Value of Property Stolen in Rs. Lakhs,Value of Property Recovered in Rs. Lakh,Percentage of Value of Property Recovered to Value of Property Stolen
1,Wire,11425,187.45,41.24,22
2,Cattle,19727,240.73,126.96,52.7
3,Cycles,58003,247.17,56.55,22.9
4,Motor Vehicles & Accessories,13988,2768.19,1375.65,49.7
5,Fire Arms,1140,24.57,10.57,43
6,Explosives,90,0.64,0.04,6.2
7,Others,304137,6657.64,1710.6,25.7
8,Total,408510,10126.39,3321.61,32.8
