SL. No.,Category,States/U.Ts/Cities,Residential Premises - Number of Cases Reported,Residential Premises - Value of Property Stolen,Highways - Number of Cases Reported,Highways - Value of Property Stolen ,Railways - Number of Cases Reported,Railways - Value of Property Stolen ,Rivers & Sea - Number of Cases Reported,Rivers & Sea - Value of Property Stolen ,Banks - Number of Cases Reported,Banks - Value of Property Stolen ,Commercial Establishment - Number of Cases Reported,Commercial Establishment - Value of Property Stolen ,Other Places - Number of Cases Reported,Other Places - Value of Property Stolen ,Total - Number of Cases Reported,Total - Value of Property Stolen 
1,State,Andhra Pradesh ,231,25.26,62,4.08,1,0.02,NA,NA,NA,NA,1,0.01,97,1,392,30.37
2,State,Assam,349,13.2,1,0.04,NA,NA,NA,NA,NA,NA,9,0.05,35,0.52,394,13.81
3,State,Bihar,2923,53.54,168,5.54,49,2.66,1,0.08,2,5.6,17,5.83,289,6.2,3448,79.37
4,State,Gujarat,55,2.54,21,4.97,1,0.03,NA,NA,2,0.12,2,0.02,209,21.48,282,29.24
5,State,Haryana,10,1.18,2,0.25,1,0.41,NA,NA,NA,NA,NA,NA,25,3.53,38,5.37
6,State,Himachal Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA
7,State,Jammu and Kashmir,2,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0.08,10,0.25
8,State,Karnataka ,85,7.2,18,1.52,2,NA,NA,NA,NA,NA,NA,NA,126,5.57,231,14.29
9,State,Kerala,7,0.94,9,0.68,NA,NA,NA,NA,1,2.77,1,0.01,36,7.02,54,11.42
10,State,Madhya Pradesh,471,13.02,47,8.68,8,1.15,NA,NA,NA,NA,5,0.86,82,40.53,613,64.24
11,State,Maharashtra,209,14.76,80,7.39,18,0.3,NA,NA,NA,NA,13,1.02,356,15.44,676,38.91
12,State,Manipur,8,0.75,9,0.37,NA,NA,NA,NA,2,1.89,NA,NA,34,1.63,53,4.64
13,State,Meghalaya,22,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,29,2.64
14,State,Nagaland,1,0.01,4,0.31,NA,NA,NA,NA,NA,NA,NA,NA,4,0.18,9,0.5
15,State,Orissa,334,161.04,1,0.6,12,1.18,NA,NA,NA,NA,13,1.3,56,2.53,416,166.65
16,State,Punjab,NA,NA,NA,.,NA,NA,NA,NA,NA,NA,NA,NA,1,0.13,1,0.13
17,State,Rajasthan,67,2818,6,0.99,9,2.36,NA,NA,NA,NA,NA,NA,70,25.28,152,56.81
18,State,Sikkim ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,State,Tamil Nadu,19,8.86,7,0.53,1,0.02,NA,NA,NA,NA,1,0.06,18,0.99,46,10.4
20,State,Tripura,125,2.77,3,0.04,NA,NA,NA,NA,NA,NA,NA,NA,12,0.56,140,3.37
21,State,Uttar Pradesh,4682,233.31,208,12.66,60,3.75,2,1.51,2,0.67,1,1.25,1174,40.09,6129,293.24
