SL. No.,Category,States/U.Ts./Cities,Murder,Culpable Homicide Not Amounting to Murder,Rape,Kidnapping & Abduction,Dacoity,Robbery,Burglary,Thefts,Riots,Criminal Breach of Trust,Cheating ,Counterfeiting,Total
1,State,Andhra Pradesh ,7,NA,2,2,1,7,180,416,64,NA,NA,NA,825
2,State,Assam,77,6,36,50,154,55,529,887,1198,11,14,NA,3744
3,State,Bihar,57,1,23,16,124,43,336,908,1806,2,1,NA,3728
4,State,Gujarat,255,NA,11,106,68,105,631,2071,2140,67,66,NA,10913
5,State,Haryana,70,13,14,17,8,12,185,292,165,4,6,NA,1656
6,State,Himachal Pradesh,9,2,6,6,NA,8,93,93,171,2,4,NA,783
7,State,Jammu and Kashmir,34,NA,22,74,6,2,126,401,406,21,14,NA,1313
8,State,Karnataka ,35,NA,4,3,3,28,288,642,454,10,18,NA,4192
9,State,Kerala,16,1,1,1,9,4,53,82,317,NA,NA,NA,589
10,State,Madhya Pradesh,449,7,239,110,118,299,1647,3374,2191,53,56,NA,16849
11,State,Maharashtra,312,4,124,98,256,449,2106,6021,3548,110,115,NA,20372
12,State,Manipur,47,NA,4,20,30,52,64,96,125,7,3,NA,669
13,State,Meghalaya,2,NA,NA,3,9,5,16,41,35,NA,NA,NA,113
14,State,Nagaland,NA,NA,NA,NA,NA,3,29,61,12,NA,NA,NA,105
15,State,Orissa,8,NA,1,5,21,17,168,374,24,2,NA,NA,701
16,State,Punjab,23,5,7,8,NA,NA,22,61,2,NA,3,NA,234
17,State,Rajasthan,8,NA,1,6,2,8,9,38,216,NA,NA,NA,368
18,State,Sikkim ,1,NA,2,2,NA,3,4,14,NA,NA,NA,NA,31
19,State,Tamil Nadu,55,7,12,16,1,17,666,2090,345,7,2,NA,3690
20,State,Tripura,79,NA,5,7,15,5,19,118,98,NA,2,NA,1772
21,State,Uttar Pradesh,312,158,86,59,275,169,382,490,1496,13,14,NA,3454
22,State,West Bengal ,72,23,22,30,131,83,155,1034,1252,1,2,NA,3481
Total (States),State,Total (States),1928,227,622,639,1231,1374,7708,19604,16065,310,320,NA,79582
23,UT,A & N Islands,3,1,NA,1,NA,3,33,27,59,NA,NA,NA,187
24,UT,Arunachal Pradesh,NA,NA,NA,6,NA,3,20,27,3,1,NA,NA,27
25,UT,Chandigarh,1,NA,NA,6,NA,1,14,32,5,3,NA,NA,108
26,UT,D & N Haveli,NA,NA,NA,NA,NA,NA,1,5,2,NA,NA,NA,19
27,UT,Delhi,53,46,7,55,16,23,164,484,23,2,NA,NA,1060
28,UT,"Goa, Daman & Diu",18,NA,1,3,5,12,66,152,253,3,5,NA,645
29,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,1,3,1,NA,NA,NA,6
30,UT,Mizoram,5,NA,4,NA,NA,8,9,83,41,NA,8,NA,466
31,UT,Pondicherry,2,NA,1,1,NA,NA,7,17,68,1,1,NA,221
Total (UTs),UT,Total (UTs),82,47,13,72,21,50,315,830,455,10,14,NA,2739
Total (All-India),Total (All-India),Total (All-India),2010,274,635,711,1252,1424,8023,20434,16520,320,334,NA,82321
1,City,Ahmedabad ,19,NA,NA,32,13,17,66,395,778,12,11,NA,2195
2,City,Bangalore ,NA,NA,NA,NA,NA,27,180,207,86,5,15,NA,827
3,City,Bombay,NA,NA,17,4,2,1,43,341,NA,5,NA,NA,509
4,City,Calcutta,NA,NA,NA,NA,NA,3,NA,93,NA,NA,NA,NA,121
5,City,Delhi,53,46,7,55,16,23,164,484,23,2,NA,NA,1060
6,City,Hyderabad,NA,NA,NA,NA,NA,5,22,62,29,NA,NA,NA,118
7,City,Kanpur,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2
8,City,Madras,NA,7,3,11,NA,9,48,489,43,6,NA,NA,821
9,City,Pune,23,NA,15,9,7,19,106,495,134,19,10,NA,1296
10,City,Jaipur,16,NA,1,9,2,14,13,43,138,2,2,NA,331
11,City,Lucknow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,City,Nagpur,29,NA,13,18,7,67,105,391,133,6,19,NA,1135
Total (Cities),City,Total (Cities),140,53,56,138,47,185,747,3002,1364,57,57,NA,8415
