SL. No.,Heads of Crime ,Number of New Offenders Arrested,Number of Offenders Who have been Arrested in the Past - Once,Number of Offenders Who have been Arrested in the Past - Twice,Number of Offenders Who have been Arrested in the Past - Three times or more,Number of Offenders Who have been Arrested in the Past - Total*
1,Murder ,51505,3324,692,307,55828
2,Culpable Homicide Not Amounting to Murder,5288,402,180,36,5906
3,Rape,7015,285,30,7,7337
4,Kidnapping & Abduction,16017,783,228,107,17135
5,Dacoity,44417,5216,2661,1637,53931
6,Robbery,24467,2326,891,311,27995
7,Burglary,89066,9898,4153,1985,105102
8,Thefts,211170,24342,9397,5485,250394
9,Riots,548474,19374,3337,1172,572357
10,Criminal Breach of Trust,15664,954,118,53,16789
11,Cheating ,13895,711,170,41,14817
12,Counterfeiting,526,5,5,1,537
13,Total,1864103,91464,26691,12663,1994921
