SL. No.,Year,Estimated Population in Millions (Mid-Year),Total Cognizable Crime Under the Indian Penal Code,Rate of Crime Per One Lakh of Population
1,1971,551.2,952581,172.8
2,1972,563.5,984773,174.8
3,1973,575.5,1077181,187.8
4,1974,588.3,1192277,202.7
5,1975,600.8,1160520,193.2
6,1976,613.6,1093897,178.4
7,1977,625.8,1267004,202.5
8,1978,638.4,1344968,210.7
9,1979,651,1336168,205.2
10,1980,663.6,1368529,206.2
11,1981**,684,1385757,202.6
Percentage Change in 1981 Over 1971,Percentage Change in 1981 Over 1971,24.1,45.5,17.2
