SL. No.,Category,State/U.Ts,Area in Square Kms.,Estimated Mid-Year Population (in 000),Total Cognizable Crimes Under IPC,Actual Police Strength - Civil,Actual Police Strength - Armed,Actual Police Strength - Total,Number of Policemen Per 100 SQ. KM. Area,"Number of Policemen Per 10,000 of Population",Number of IPC Cases Per Civil Policeman,Percentage of civil police of total police
1,State,Andhra Pradesh ,276814,53593,75294,29653,20532,50185,18.1,9.4,2.5,59.1
2,State,Assam,78523,19903,43797,20518,10607,31125,39.6,15.6,2.1,65.9
3,State,Bihar,173876,69823,107006,52287,13127,65414,37.6,9.4,2,79.9
4,State,Gujarat,195984,33961,78639,41610,10060,51670,26.4,15.2,1.9,80.5
5,State,Haryana,44222,12851,16699,13440,4458,17898,40.5,13.9,1.2,75.1
6,State,Himachal Pradesh,55673,4238,4197,5288,2698,7986,14.3,18.8,0.8,66.2
7,State,Jammu and Kashmir,222236,5954,15973,14888,5045,19933,9,33.5,1.1,74.7
8,State,Karnataka ,191773,37044,79605,34727,3360,38087,19.9,10.3,2.3,91.2
9,State,Kerala,38861,25403,48064,19226,2596,21822,56.1,8.6,2.5,88.1
10,State,Madhya Pradesh,442841,52139,169119,51088,20593,71681,16.2,13.7,3.7,71.3
11,State,Maharashtra,307762,62715,172976,87115,11125,98240,31.9,15.7,2,88.7
12,State,Manipur,22356,1411,3278,3311,3729,7040,31.5,49.9,1,47
13,State,Meghalaya,22489,1328,2122,3685,990,4675,20.8,35.2,0.6,78.8
14,State,Nagaland,16527,773,993,3136,6080,9216,55.8,119.2,0.3,34
15,State,Orissa,155782,26272,47780,21167,6322,27489,17.6,10.5,2.3,77
16,State,Punjab,50362,16670,13588,24433,5072,29505,58.6,17.7,0.6,82.8
17,State,Rajasthan,342214,34108,67052,38728,6900,45628,13.3,13.4,1.7,84.9
18,State,Sikkim ,7299,315,295,1244,456,1700,23.3,54,0.2,73.2
19,State,Tamil Nadu,130069,48298,118471,44465,5451,49916,38.4,10.3,2.7,89.8
20,State,Tripura,10477,2047,4178,3155,2927,6082,58.1,29.7,1.3,51.9
21,State,Uttar Pradesh,294413,110886,185485,108581,25852,134423,45.7,12.1,1.7,80.8
22,State,West Bengal ,87853,54486,89207,42866,28366,71232,81.1,13.1,2.1,60.2
Total (States),State,Total (States),3168409,674218,1343818,664601,196346,860947,27.2,12.8,2,77.2
23,UT,A & N Islands,8293,188,737,1679,233,1912,23.1,101.7,0.4,87.8
24,UT,Arunachal Pradesh,83578,628,841,1459,545,2004,2.4,31.9,0.6,72.8
25,UT,Chandigarh,114,450,1683,1196,942,2138,1875.4,47.5,1.4,55.9
26,UT,D & N Haveli,491,104,192,143,NA,143,39.1,13.8,1.3,100
27,UT,Delhi,1485,6196,30636,18524,5474,23998,1616,38.7,1.7,77.2
28,UT,"Goa, Daman & Diu",3813,1082,3418,1746,705,2451,64.3,22.7,2,71.2
29,UT,Lakshadweep,32,40,12,276,NA,276,862.5,69,0.04,100
30,UT,Mizoram,21087,488,1506,1604,867,2471,11.7,50.6,0.9,64.9
31,UT,Pondicherry,480,604,2914,904,586,1490,310.4,24.7,3.2,60.7
Total (UTs),UT,Total (UTs),119373,9780,41939,27931,9352,36883,30.9,37.7,1.5,74.6
Total (All-India),Total (All-India),Total (All-India),3287782,683998,1385757,692132,205698,897830,27.3,13.1,2,77.1
