SL. No.,Category,States/U.Ts/Cities,IPC Cognizable Offences Reported - Murder,IPC Cognizable Offences Reported - Culpable Homicide Not Amounting to Murder,IPC Cognizable Offences Reported - Rape,IPC Cognizable Offences Reported - Kidnapping & Abduction,IPC Cognizable Offences Reported - Dacoity,IPC Cognizable Offences Reported - Robbery,IPC Cognizable Offences Reported - Burglary,IPC Cognizable Offences Reported - Thefts,IPC Cognizable Offences Reported - Riots,IPC Cognizable Offences Reported - Criminal Breach of Trust,IPC Cognizable Offences Reported - Cheating ,IPC Cognizable Offences Reported - Counterfeiting,IPC Cognizable Offences Reported - Total
1,State,Andhra Pradesh ,3,NA,2,2,1,7,168,399,43,NA,NA,NA,708
2,State,Assam,116,6,36,77,74,72,587,1028,1158,18,19,NA,3739
3,State,Bihar,37,1,11,10,70,32,233,574,646,2,1,NA,1808
4,State,Gujarat,143,NA,11,74,29,74,425,1539,792,53,49,NA,6573
5,State,Haryana,52,12,11,12,6,11,147,259,53,NA,5,4,602
6,State,Himachal Pradesh,6,2,6,6,NA,7,66,72,82,2,3,NA,541
7,State,Jammu and Kashmir,9,NA,6,17,2,2,30,64,353,1,4,NA,488
8,State,Karnataka ,24,NA,2,3,2,15,226,513,146,10,16,NA,2871
9,State,Kerala,8,1,1,1,2,2,33,45,106,NA,NA,NA,727
10,State,Madhya Pradesh,225,3,148,83,48,200,1302,2518,843,47,46,NA,11358
11,State,Maharashtra,312,4,124,98,256,449,2106,6021,3548,110,115,NA,20372
12,State,Manipur,31,NA,4,12,15,32,50,70,30,5,3,NA,365
13,State,Meghalaya,2,NA,NA,3,9,5,14,34,26,NA,NA,NA,95
14,State,Nagaland,NA,NA,NA,NA,NA,3,29,31,12,NA,NA,NA,105
15,State,Orissa,2,NA,1,1,9,15,119,277,17,3,NA,NA,506
16,State,Punjab,23,4,7,8,NA,NA,21,55,2,NA,3,NA,211
17,State,Rajasthan,76,NA,18,44,9,32,162,437,778,3,6,NA,2394
18,State,Sikkim ,1,NA,2,2,NA,3,4,14,NA,NA,NA,1,31
19,State,Tamil Nadu,49,7,12,10,1,12,601,1981,150,7,2,NA,3207
20,State,Tripura,8,NA,2,3,5,2,8,25,15,NA,1,NA,69
21,State,Uttar Pradesh,12,7,15,1,6,5,21,134,20,NA,NA,NA,255
22,State,West Bengal ,28,12,6,20,57,43,123,779,969,1,1,NA,2645
Total (States),State,Total (States),1167,59,425,487,601,1023,6475,16869,9789,262,274,5,59220
23,UT,A & N Islands,1,1,NA,1,NA,3,32,27,14,NA,NA,NA,130
24,UT,Arunachal Pradesh,NA,NA,NA,1,NA,2,13,22,3,1,NA,9,51
25,UT,Chandigarh,1,NA,NA,5,NA,1,8,23,2,3,NA,NA,82
26,UT,D & N Haveli,NA,NA,NA,NA,NA,NA,1,3,1,NA,NA,NA,14
27,UT,Delhi,50,32,7,29,8,9,136,379,19,2,NA,NA,727
28,UT,"Goa, Daman & Diu",4,NA,1,3,4,14,43,103,121,3,5,NA,404
29,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,4
30,UT,Mizoram,3,NA,4,NA,NA,5,4,72,5,NA,5,NA,211
31,UT,Pondicherry,2,NA,1,1,NA,NA,7,17,24,1,1,NA,176
Total (UTs),UT,Total (UTs),61,33,13,40,12,34,245,647,190,10,11,10,1799
Total (All-India),Total (All-India),Total (All-India),1228,92,438,527,613,1057,6720,17516,9979,272,285,15,61019
1,City,Ahmedabad ,12,NA,NA,26,6,12,53,292,382,10,11,NA,1580
2,City,Bangalore ,NA,NA,NA,NA,NA,14,145,188,12,5,13,NA,626
3,City,Bombay,NA,NA,4,17,2,1,37,297,NA,5,NA,NA,446
4,City,Calcutta,NA,NA,NA,NA,NA,7,NA,93,NA,NA,NA,NA,116
5,City,Delhi,50,32,7,29,8,9,136,379,19,2,NA,NA,727
6,City,Hyderabad,NA,NA,NA,NA,5,22,62,29,NA,NA,NA,NA,118
7,City,Kanpur,NA,NA,NA,NA,NA,NA,35,2,NA,NA,NA,NA,2
8,City,Madras,NA,7,3,5,NA,4,77,420,26,6,NA,NA,644
9,City,Pune,20,NA,8,9,3,13,15,381,55,19,9,NA,941
10,City,Jaipur,8,NA,1,10,1,5,NA,29,148,2,2,NA,245
11,City,Lucknow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,City,Nagpur,17,NA,6,12,3,43,68,309,28,5,14,NA,733
Total (Cities),City,Total (Cities),107,39,29,108,28,130,628,2419,670,54,49,NA,6106
