SL. No.,Crime Heads,1975,1976,1977,1978,1979,1980,1981,Percentage Change Over 1980 
1,Arms Act,48134,52846,57225,57903,61776,67726,69662,2.9
2,Opium Act,12364,14301,12102,12792,12923,14529,14347,-1.2
3,Gambling Act ,173126,146306,192284,235790,217501,213340,235824,10.5
4,Excise Act,90507,100381,90461,103250,123979,112981,110518,-2.2
5,Prohibition Act,186438,692685,660211,686784,608810,487683,320606,-34.3
6,Explosives and Explosive Substances Act,1961,3080,1903,1803,1771,2399,2818,17.5
7,Suppression of Immoral Traffic in Women and Girls Act,14708,16150,13924,15448,14196,14308,15658,9.4
8,Motor Vehicles Act,757797,713820,593742,714482,774015,645226,674498,4.5
9,Prevention of Corruption Act,489,367,807,1245,541,257,302,17.5
10,Customs Act,89,103,258,195,131,507,28,-94.5
11,Indian Railways Act,34739,36534,28036,24944,28692,33200,42128,26.9
12,Other Offences under Local and Special Laws declared to be Cognizable but not included above,1384918,1446337,1048108,937587,979233,991544,1060010,6.9
13,Total,3205270,3222910,2699061,2792223,2823568,2583700,2546399,-1.4
