SL. No.,Years,7-12 Years,7-12 Year - Percentage to Total,12-16 Years,12-16 Year - Percentage to Total,16-18 Years,16-18 Year - Percentage to Total,18-21 Years,18-21 Year - Percentage to Total,Overall Age  Groups
1,1971,5527,5.3,12708,12.3,13940,13.5,71244,68.9,103419
2,1974,8872,6.3,19644,14,22077,15.7,90046,64,140639
3,1975,14781,10.4,23113,16.3,20866,14.7,83134,58.6,141899
4,1976,19706,14.7,24073,18,19960,14.9,70234,52.4,133973
5,1977,15113,8.4,21391,14,24011,16.4,88407,61.2,148922
6,1978,11955,7.4,18954,11.8,25488,15.8,104522,65,160919
7,1979,10539,6.2,18315,10.8,26226,15.4,114963,67.6,170043
8,1980,10457,5.6,20048,10.7,36899,19.7,120181,64,187585
9,1981,9485,5,17649,9.3,33969,17.8,129464,67.9,190567
Percentage Change in 1981 Over 1971,Percentage Change in 1981 Over 1971,71.6,NA,38.9,NA,143.7,NA,81.7,NA,84.3
Percentage Change in 1981 Over 1980,Percentage Change in 1981 Over 1980,-9.3,NA,-12,NA,-7.9,NA,7.7,NA,1.6
