SL. No.,Category,States/U.Ts/Cities,Murder - 1980,Murder - 1981,Murder - Percentage Variation,Kidnapping & Abduction - 1980,Kidnapping & Abduction - 1981,Kidnapping & Abduction - Percentage Variation,Dacoity - 1980,Dacoity - 1981,Dacoity - Perentage Variation,Robbery - 1980,Robbery - 1981,Robbery - Percentage Variation,Burglary - 1980,Burglary - 1981,Burglary - Percentage Variation ,Thefts - 1980,Thefts - 1981,Thefts - Percentage Variation,Riots - 1980,Riots - 1981,Riots - Percentage Variation,Criminal Breach of Trust - 1980,Criminal Breach of Trust - 1981,Criminal Breach of Trust - Percentage Variation,Cheating  - 1980,Cheating  - 1981,Cheating  - Percentage Variation,Counterfeiting - 1980,Counterfeiting - 1981,Counterfeiting - Percentage Variation,Total Cognizable Crime - 1980,Total Cognizable Crime - 1981,Total Cognizable Crime - Percentage Variation
1,State,Andhra Pradesh ,1393,1342,-3.7,335,310,-7.5,349,392,12.3,459,519,13.1,7150,7162,0.2,18467,18423,-0.2,3868,4801,24.1,722,581,-19.5,837,775,-7.4,33,23,-30.3,69320,75294,8.6
2,State,Assam,642,608,-5.3,565,775,372,363,394,8.5,522,664,27.2,5467,5652,3.4,10895,11037,1.3,7124,5807,-18.5,517,501,-3.1,492,570,15.8,4,4,NA,43773,43797,0.1
3,State,Bihar,2267,2461,8.6,1240,1205,-2.8,2864,3448,20.4,157,1933,23,12544,12587,0.3,29571,29705,0.4,16795,16868,0.4,1539,1491,-3.1,1127,1232,9.3,23,9,-60.9,104225,107006,2.7
4,State,Gujarat,993,1025,3.2,580,571,-1.6,165,282,70.9,972,942,-3.1,6664,6406,-3.9,21232,20927,-1.4,1782,3138,76.1,1464,1335,-8.8,808,694,-14.1,4,7,75,61713,78639,27.4
5,State,Haryana,363,371,2.2,197,200,1.5,35,38,8.6,64,87,35.9,2823,2656,-5.9,4513,4094,-9.3,229,243,6.1,448,353,-21.2,322,343,6.5,1,2,100,16600,16699,0.6
6,State,Himachal Pradesh,71,48,-32.4,100,79,-21,6,1,-83.3,38,22,-47.1,649,533,-17.9,752,614,-18.4,272,202,-25.7,84,78,-7.2,88,90,2.3,NA,1,NA,4864,4197,-13.7
7,State,Jammu & Kashmir,100,90,-10,473,475,0.4,13,10,-23.1,22,22,0,1684,1347,-20,2875,3184,10.7,1709,1822,6.6,134,135,0.7,136,160,17.6,NA,3,NA,15075,15973,6
8,State,Karnataka ,870,942,8.3,286,323,12.9,259,231,-10.8,655,723,10.4,9868,9559,-3.1,22051,21514,-2.4,5692,5686,-0.1,967,976,0.9,1324,1422,7.4,330,167,-49.4,77443,79605,2.8
9,State,Kerala,500,539,7.8,134,144,7.5,41,54,31.7,174,172,-1.2,4540,4568,0.6,3925,3953,0.7,5676,5657,-0.3,288,316,9.7,475,498,4.8,78,109,39.7,47641,48064,0.9
10,State,Madhya Pradesh,2392,2417,1,1188,975,-17.9,687,629,-8.4,3001,2939,-2.1,27514,25433,-7.6,55401,52415,-5.4,5471,6224,13.8,1209,1302,7.7,1443,1418,-1.7,19,26,36.8,169751,169119,-0.1
11,State,Maharashtra,1643,1811,10.2,853,865,1.4,689,676,-1.9,3222,3660,13.6,20126,19803,-1.6,57462,68377,19,8202,9120,11.2,2905,2851,-1.9,2251,2419,7.5,28,27,-3.6,167347,172976,3.4
12,State,Manipur,86,123,43,179,184,2.8,89,53,-40.4,151,149,-1.3,274,218,-20.4,851,661,-22.3,213,168,-71.1,63,51,-19,83,85,2.4,7,9,28.6,3505,3278,-6.4
13,State,Meghalaya,87,82,-5.7,32,25,-21.9,24,29,20.8,54,57,5.6,179,249,39.1,678,613,-9.6,165,160,-3,22,21,-4.6,34,44,29.4,NA,NA,NA,2203,2122,-3.75
14,State,Nagaland,21,28,33.3,12,17,41.7,14,9,-35.7,34,54,58.8,291,286,-1.7,440,486,10.4,27,37,-37,23,29,26.1,35,32,-8.6,NA,1,NA,919,993,8
15,State,Orissa,502,541,7.8,201,210,4.5,391,416,6.4,784,1091,39.2,8092,7691,-5,15402,14611,-5.1,3339,3313,-0.8,582,558,-4.1,325,342,5.2,9,13,44.4,48081,47780,-0.6
16,State,Punjab,620,555,-10.5,256,279,9,1,1,NA,21,21,0,1207,1212,0.4,2299,2315,0.7,129,119,-7.8,466,681,46.1,338,335,-0.9,3,1,-66.7,11679,13588,16.3
17,State,Rajasthan,830,882,6.3,1532,1674,9.3,116,152,31,1216,1247,2.5,6736,6891,2.3,13807,14016,1.5,8510,10138,19.1,1053,1151,9.3,1462,1691,15.7,6,NA,NA,60846,67052,10.2
18,State,Sikkim ,6,8,33.3,2,3,50,NA,NA,NA,1,9,800,49,33,-32.7,92,99,7.6,1,3,200,11,9,-18.2,4,7,75,NA,2,NA,281,295,5
19,State,Tamil Nadu,1289,1391,7.9,750,711,-5.2,82,46,-43.9,336,294,-12.5,10206,9959,-2.4,34376,33135,-3.6,10606,12406,17,1313,1252,-4.6,1213,1169,-3.6,97,211,117.5,116110,118471,2
20,State,Tripura,201,93,-53.7,52,51,-1.9,157,160,1.9,143,126,-11.9,955,853,-10.7,1709,2393,40.2,499,416,-16.6,36,24,-33.3,44,38,-13.6,1,3,200,6098,4178,-31.5
21,State,Uttar Pradesh,5680,5693,0.2,2746,2978,8.4,7309,6129,-16.1,8301,6606,-20.4,30492,26718,-12.4,71007,63761,-10.2,11339,10136,-10.6,4592,4700,2.4,2427,2599,7.1,101,311,207.9,198131,185485,-6.4
22,State,West Bengal ,1300,1393,7.2,1014,954,-5.9,1446,1411,-2.4,1350,1337,-1,5298,4763,-10,36859,34587,-6.2,14611,13190,-9.7,1389,1439,3.6,1107,1041,-6,61,42,-31.2,93618,89207,-4.7
Total (States),State,Total (States),21856,22443,2.7,12727,13008,2.2,15100,14561,-3.6,23091,22674,-1.8,162808,154579,-5.1,404664,40090,-0.9,106259,109654,3.2,19827,19834,0.03,16375,17004,3.8,805,971,20.6,1319723,1343818,1.9
23,UT,A & N Islands,14,6,-57.2,7,9,28.6,NA,NA,NA,7,5,-28.6,83,79,-4.8,176,210,19.3,55,43,-21.8,13,10,-23.1,6,1,-83.3,NA,NA,NA,805,737,-8.4
24,UT,Arunachal Pradesh,11,17,54.5,12,20,66.7,8,5,-37.5,13,24,84.6,111,94,-15.3,222,215,-3.2,18,17,-5.6,13,14,7.7,7,11,57.1,NA,NA,NA,852,841,-1.3
25,UT,Chandigarh,14,9,-35.7,21,30,42.8,NA,NA,NA,14,5,-64.3,138,87,-37,1160,843,-27.3,17,21,23.5,46,50,8.7,63,70,11.1,NA,NA,NA,2118,1683,-20.5
26,UT,D & N Haveli,7,2,-71.4,1,3,200,1,1,NA,3,3,0,39,25,-35.9,46,44,-4.4,6,4,-33.3,4,12,200,3,5,66.7,NA,NA,NA,177,192,8.5
27,UT,Delhi,182,199,9.3,775,726,-6.3,75,47,-37.3,296,187,-36.8,2682,1734,-35.3,22276,17253,-22.6,201,165,-17.9,667,537,-19.5,872,589,-32.5,23,16,-30.4,37588,30636,-18.5
28,UT,"Goa, Daman & Diu",20,21,5,10,19,90,1,7,600,35,59,68.6,499,655,31.3,888,1044,17.6,176,243,38.1,55,53,-3.6,40,43,7.5,1,12,1100,2927,3418,16.8
29,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,-20,8,3,-62.5,1,2,100,1,1,NA,NA,NA,NA,NA,NA,NA,15,12,-20
30,UT,Mizoram,32,19,-40.6,8,5,-37.5,5,4,-20,28,33,17.8,64,46,-28.1,181,254,40.3,NA,5,500,20,26,30,26,20,-23.1,NA,5,NA,1055,1506,42.7
31,UT,Pondicherry,13,11,-15.4,34,13,-61.8,4,1,-75,6,6,0,266,237,-10.9,1415,1273,-10,224,207,-7.6,38,42,10.5,24,24,NA,1,NA,NA,3769,2914,-22.7
Total (UTs),UT,Total (UTs),293,284,-3.1,868,825,-5,94,65,-30.9,402,322,-19.9,3887,2961,-23.8,26372,21139,-19.8,698,707,1.3,857,745,-13.1,1041,763,-26.7,25,33,32,49306,41939,-15
Total (All-India),Total (All-India),Total (All-India),22149,22727,2.6,13595,13833,1.8,15194,14626,-3.7,23493,22996,-2.1,166695,157540,-5.5,431036,422059,-2.1,106957,110361,3.2,20684,20579,-0.5,17416,17767,2,830,1004,21,1368529,1385757,1.3
1,City,Ahmedabad ,62,57,-8.1,98,115,17.3,26,45,73.1,59,46,-22,475,529,11.4,2585,2672,3.4,438,891,103.4,124,95,-23.4,117,88,-24.8,4,NA,-100,8678,10502,21
2,City,Bangalore ,58,38,-34.5,36,63,75,13,11,-15.4,269,344,27.9,1883,1710,-9.2,8527,8021,-5.9,290,384,32.4,306,256,-16.3,540,592,9.6,145,93,-35.9,18307,17122,-6.5
3,City,Bombay,217,228,5.1,219,190,-13.2,56,48,-14.3,382,443,16,2344,1872,-20.1,17616,17073,-3.1,233,296,27,926,843,-9,1041,930,-10.7,20,9,-55,35695,35263,-1.2
4,City,Calcutta,117,100,-14.5,146,138,-5.5,62,63,1.6,330,374,13.3,829,908,9.5,6659,6513,-2.2,984,886,-10,332,347,4.5,450,414,-8,41,28,-31.7,13981,13951,-0.2
5,City,Delhi,163,176,8,730,690,-5.5,67,44,-34.3,274,174,36.5,2528,1645,-34.9,21339,16787,-21.3,180,140,-22.2,646,521,-19.4,861,474,-45,23,16,-30.4,35648,29341,-17.7
