SL. No.,Year,Total Value of Property Stolen (Rs. in Lakhs),Percentage of Value of Property Recovered to Value of Property Stolen
1,1976,9760.2,35.9
2,1977,8320.3,25
3,1978,9897.7,26.7
4,1979,10690.1,27.7
5,1980,15617.2,22.8
6,1981,16241.7,32.9
