SL. No.,State/UT/City,1987,1988,1989,1990,1991,Quinquennial Avg. 1987-1991 (Q.A.),1992,Percentage Change in 1992 (+) Increase/(-) Decrease Over - Quinquennial Avg.,Percentage Change in 1992 (+) Increase/(-) Decrease Over - 1991
1,Andhra Pradesh,94279,86099,98112,104299,101676,96893,99332,2.5,-2.3
2,Arunachal Pradesh,1355,1764,2002,2187,1861,1834,1822,-0.7,-2.1
3,Assam,37244,37684,39499,37503,35144,37415,40812,9.1,16.1
4,Bihar,107245,113640,114305,124414,119932,115907,131007,13,9.2
5,Goa,4551,3969,4225,3738,3805,4058,3968,-2.2,4.3
6,Gujarat,84714,87732,95194,107262,124472,99875,128155,28.3,3
7,Haryana,22918,25542,28332,28713,28584,26818,30246,12.8,5.8
8,Himachal Pradesh,6479,6521,7168,8316,9209,7539,8864,17.6,-3.7
9,Jammu & Kashmir,19158,19868,21442,15047,15545,18212,15505,-14.9,-0.3
10,Karnataka,79456,86998,92440,100740,104489,92825,99679,7.4,-4.6
11,Kerala,56806,64086,67051,68698,74103,66149,71919,8.7,-2.9
12,Madhya Pradesh,181103,180630,195183,209556,218431,196981,201381,2.2,-7.8
13,Maharashtra,184596,183357,189055,185652,192295,186991,196370,5,2.1
14,Manipur,1841,2379,2445,2260,2100,2205,2387,8.3,13.7
15,Meghalaya,2440,1735,1751,1716,1726,1874,2421,29.2,40.3
16,Mizoram,1157,1267,1638,1612,1781,1491,1702,14.2,-4.4
17,Nagaland,1624,1408,1591,1827,1641,1618,1605,-0.8,-2.2
18,Orissa,42603,41068,44321,47947,52081,45604,50438,10.6,-3.2
19,Punjab,15017,14275,14166,16131,16081,15134,12380,-18.2,-23
20,Rajasthan,79851,88146,99617,103228,113617,96892,123426,27.4,8.6
21,Sikkim,354,333,380,373,469,382,557,45.8,18.8
22,Tamil Nadu,114470,128725,126075,128529,133284,126217,128665,1.9,-3.5
23,Tripura,4631,5520,5363,5652,5594,5352,5085,-5,-9.1
24,Uttar Pradesh,168791,160253,172880,193985,208561,180894,216339,19.6,3.7
25,West Bengal,62947,63380,68409,66644,69073,66091,72171,9.2,4.5
Total (States),Total (States),1375630,1406379,1492644,1566029,1635554,1495247,1646236,10.1,0.7
26,A & N Islands,741,897,1144,919,551,850,625,-26.5,13.4
27,Chandigarh,1621,1734,1705,1784,1629,1695,1377,-18.8,-15.5
28,D & N Haveli,541,551,352,480,437,472,327,-30.7,-25.2
29,Daman & Diu,116,120,147,204,257,169,205,21.3,-20.2
30,Delhi,25846,28013,30523,31848,34876,30221,36302,20.1,4.1
31,Lakshadweep,31,30,91,30,54,47,46,-2.1,-14.8
32,Pondicherry,2466,2632,3238,3155,5017,3302,4223,27.9,-15.8
Total (UTs),Total (UTs),31362,33977,37200,38420,42821,36756,43105,17.3,0.7
Total (All -India),Total (All -India),1406992,1440356,1529844,1604449,1678375,1532003,1689341,10.3,0.7
33,Ahmedabad,11037,12294,13364,14847,18017,13912,19875,42.9,10.3
34,Bangalore,21817,21998,23107,23033,25311,23053,26247,13.9,3.7
35,Bhopal,*,*,*,*,*,*,7459,NA,NA
36,Bombay,36018,35802,37309,38302,39897,37466,40979,9.4,2.7
37,Calcutta,13219,13652,13738,12975,13803,13477,14110,4.7,2.2
38,Coimbatore,*,*,*,*,*,*,3621,NA,NA
39,Delhi,23837,25530,28467,29510,32462,27961,33055,18.2,1.8
40,Hyderabad,7498,7469,8063,8767,10736,8507,10306,21.1,-4
41,Indore,*,*,*,*,*,*,10813,NA,NA
42,Jaipur,5667,6860,6269,6901,8241,6788,9413,38.7,14.2
43,Kanpur,7231,5926,5526,5769,7712,6433,8112,26.1,5.2
44,Kochi,*,*,*,*,*,*,3320,NA,NA
45,Lucknow,3418,4642,5336,7461,6794,5530,7684,39,13.1
46,Ludhiana,*,*,*,*,*,*,759,NA,NA
47,Madras,13827,13947,14168,12372,12633,13389,13174,-1.6,4.3
48,Madurai,*,*,*,*,*,*,3375,NA,NA
49,Nagpur,8783,8249,9368,9598,9987,9197,10416,13.3,4.3
50,Patna,*,*,*,*,*,*,7235,NA,NA
51,Pune,9163,10051,10380,10292,11411,10259,11396,11.1,-0.1
52,Surat,*,*,*,*,*,*,4867,NA,NA
53,Vadodara,*,*,*,*,*,*,7159,NA,NA
54,Varanasi,*,*,*,*,*,*,2994,NA,NA
55,Vishakhapatnam,*,*,*,*,*,*,3898,NA,NA
