SL. No.,Year,Incidence of - Juveniles Crimes,Incidence of - Total Cognizable Crimes,Percentage of Juvenile Crimes to Total Crimes,Estimated Mid-Year Population (In Lakhs),Rate (Crimes Per Lakh of Population)
1,1982,59345,1353904,4.4,7052,8.4
2,1983,55473,1349866,4.1,7204,7.7
3,1984,42803,1358660,3.2,7356,5.8
4,1985,49317,1384731,3.6,7509,6.6
5,1986,55887,1405835,4,7661,7.3
6,1987,52610,1406992,3.7,7814,6.7
7,1988,24827,1440356,1.7,7966,3.1
8,1989,18457,1529844,1.2,8118,2.3
9,1990,15230,1604449,0.9,8270,1.8
10,1991,12588,1678375,0.8,8496,1.5
11,1992,11100,1689341,0.7,8677,1.3
