SL. No.,State/UT/City,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Number,Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
1,Andhra Pradesh,591,195.5,184,51,1,0,5,0.6,3,0.1,6,2.2,56,6.2,846,255.6
2,Arunachal Pradesh,15,2.1,1,0,0,0,0,0,0,0,6,1.1,5,0.1,27,3.4
3,Assam,435,97.4,33,18.8,1,0,1,0,3,0.4,39,19.1,158,95.6,670,231.3
4,Bihar,2244,177.6,543,80.1,0,0,78,3.7,25,25.9,32,3.4,365,19.1,3287,309.7
5,Goa,4,2.3,0,0,0,0,0,0,0,0,0,0,2,0.2,6,2.5
6,Gujarat,203,902.4,44,17.6,0,0,2,1.7,0,0,60,117.9,169,2576.3,478,3615.9
7,Haryana,26,22.4,4,1.3,0,0,0,0,0,0,2,0.9,23,5.2,55,29.8
8,Himachal Pradesh,0,0,1,0.1,0,0,0,0,0,2.1,0,0,6,4.2,7,4.3
9,Jammu & Kashmir,16,5.6,7,7.1,0,0,0,0,2,0,0,0,28,60,53,74.9
10,Karnataka,164,35.6,45,1.2,0,0,0,0,0,0,5,0.2,285,165.4,499,202.4
11,Kerala,31,32.5,2,0.8,0,0,0,0,0,0,2,2.5,90,26.3,125,62
12,Madhya Pradesh,175,150.1,18,1.9,0,0,2,0.3,0,5.3,44,57.9,318,120.8,557,331
13,Maharashtra,280,156.3,182,67.5,0,0,5,4.8,1,0,89,59.5,417,375.9,974,669.4
14,Manipur,1,0.2,4,2.2,0,0,0,0,0,0.1,0,0,7,0.4,12,2.8
15,Meghalaya,25,41.5,8,2.5,0,0,0,0,1,0,2,0.3,30,2.7,66,47.1
16,Mizoram,3,0,2,0.1,0,0,0,0,0,2.3,0,0,4,0.6,9,0.7
17,Nagaland,3,1.1,12,5.2,0,0,0,0,1,0,12,1.9,9,0.4,37,10.9
18,Orissa,138,109.7,16,1.4,0,0,1,0,0,0,0,0,180,111.1,335,222.3
19,Punjab,26,16.8,0,0,0,0,0,0,0,0,0,0,12,25.3,38,42.1
20,Rajasthan,46,17.5,8,0.9,0,0,2,0.3,0,0,2,2.6,46,16.8,104,38.1
21,Sikkim,1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3
22,Tamil Nadu,89,36.8,61,134.7,1,0.1,3,0.4,0,0,2,0.3,11,10,167,182.4
23,Tripura,96,4.6,17,2.1,0,0,0,0,1,0.4,17,0.5,17,1.1,148,8.7
24,Uttar Pradesh,1494,319.9,380,134,0,0,45,7.4,4,11,16,6.3,271,88.7,2210,567.3
