SL. No.,Place of Occurrence,Dacoity - Number,Dacoity - Value,Robbery - Number,Robbery - Value,Burglary - Number,Burglary - Value,Theft - Number,Theft - Value
1,Residential Premises,6542,2452.2,7259,1023.7,102347,8583.2,143076,12279
2,Highways,1640,560.9,7354,979.8,72,8.1,8914,781.2
3,River & Sea,3,0.1,22,3,75,9.4,453,25.3
4,Railways,150,22.2,489,37.1,150,13.1,16547,809
5,Banks,54,73.4,65,71.1,69,5.8,80,34.9
6,Commercial Establishments,369,294.7,949,193.6,6171,890.1,15786,1889.2
7,Other Places,2550,3730,10306,1992.9,18377,2124.9,165726,14298.6
8,Total,11308,7133.6,26444,4301.2,127281,11634.6,350582,30117.1
