SL. No.,Crime Head,Total Number of Persons Under Arrest* Including those from Previous Year,Persons Released Before Trial - Number,Persons Released Before Trial - Percentage to Total,Persons Chargesheeted - Number,Persons Chargesheeted - Percentage to Total,Persons Under Investigation at the End of the Year - Number,Persons Under Investigation at the End of the Year - Percentage to Total
1,Murder,120239,5357,4.5,82242,68.4,32640,27.1
2,Attempt to Commit Murder,100012,2528,2.5,69634,69.6,27850,27.8
3,C.H. Not Amounting to Murder,12875,691,5.4,9052,70.3,3132,24.3
4,Rape,21483,785,3.7,15816,73.6,4882,22.7
5,Kidnapping & Abduction,39164,3068,7.8,24851,63.5,11245,28.7
5,I) Of Women & Girls,24533,2204,9,15752,64.2,6577,26.8
5,II) Of Others,14631,864,5.9,9099,62.2,4668,31.9
6,Dacoity,53659,6124,11.4,27020,50.4,20515,38.2
7,Preparation & Assembly for Dacoity,8938,257,2.9,5957,66.6,2724,30.5
8,Robbery,42367,4458,10.5,27278,64.4,10631,25.1
9,Burglary,105197,10329,9.8,78591,74.7,16277,15.5
10,Theft,270627,27633,10.2,197215,72.9,45779,16.9
11,Riots,722830,51750,7.2,474663,65.7,196417,27.2
12,Criminal Breach of Trust,24018,1675,7,14751,61.4,7592,31.6
13,Cheating,35805,2213,6.2,21601,60.3,11991,33.5
14,Counterfeiting,2307,288,12.5,759,32.9,1260,54.6
15,Other IPC Crimes,1522610,95264,6.3,1249916,82.1,177430,11.7
16,Total Cognizable Crimes Under IPC,3082131,212420,6.9,2299346,74.6,570365,18.5
