SL. No.,Crime Head,1988,1989,1990,1991,1992
1,Murder,2.3,2.3,2.3,2.2,2.2
2,Attempt to Commit Murder,2.6,2.6,2.4,2.5,2.5
3,C.H. Not Amounting to Murder,2.2,2.1,2.3,2.4,2
4,Rape,1.4,1.4,1.4,1.4,1.4
5,Kidnapping & Abduction,1.3,1.3,1.4,1.1,1.4
5,I) Of Women & Girls,1.3,1.2,1.3,1.3,1.3
5,II) Of Others,1.5,1.5,1.6,1.7,1.7
6,Dacoity,3.5,3.4,3.2,3.2,3.2
7,Preparation & Assembly for Dacoity,4.1,3.9,4,4.6,5
8,Robbery,1.3,1.3,1.3,1.3,1.2
9,Burglary,0.8,0.7,0.7,0.7,0.7
10,Theft,0.7,0.7,0.6,0.8,0.7
11,Riots,5.7,5.5,5.5,5.2,5.1
12,Criminal Breach of Trust,1,1,1,0.9,0.9
13,Cheating,0.9,0.9,0.9,0.9,0.9
14,Counterfeiting,0.5,0.3,0.4,0.3,0.2
15,Other IPC Crimes,1.7,1.4,1.5,1.4,1.5
16,Total Cognizable Crimes Under IPC,1.7,1.5,1.5,1.5,1.5
1,Arms Act,1.1,1,1.1,1.1,1.1
2,Narcotic Drugs & Psychotropic Substances Act,0.9,1.1,1.1,1,1.1
3,Gambling Act,2.1,2.3,2.2,2.2,2.1
4,Excise Act,1.1,1,1.1,1.1,1.1
5,Prohibition Act,1,1,1,1,1
6,Explosive & Explosive Substances Act,1.2,1.5,1,1.2,0.8
7,Immoral Traffic (P) Act,1.1,1.3,1.2,1,1.1
8,Indian Railways Act,0.9,1,1,1,1.1
9,Registration of Foreigners Act,0.7,1.4,1.8,1.3,1.7
10,Protection Of Civil Rights Act,2.1,2.2,2.1,2.5,1.9
11,Indian Passport Act,1.3,1.3,1.6,2.2,1.5
12,Essential Commodities Act,1.2,1.1,1.3,1.3,1.3
13,Terrorist & Disruptive Activites Act,2.4,2.1,1,1.3,0.6
14,Antiquity & Art Treasure Act,0.1,0.5,1.9,5.9,1.4
15,Dowry Prohibition Act,2,2.1,2.1,2.5,2.3
16,Other LSL Crimes,1,1,1.1,1.1,1.2
17,Total Cognizable Crimes Under LSL,1,1.1,1.1,1.2,1.2
