SL. No.,Event,Number of Occasions of Police Firing,Civilians - Killed,Civilians - Injured,Policemen - Killed,Policemen - Injured
1,Riot Control,1543,534,2124,8,1498
2,Anti-Dacoity Operations,216,198,34,2,110
3,Against Extremists and Terrorists,1660,1893,1098,245,722
4,Against Others,829,511,250,54,352
5,Total,4248,3136,3506,309,2682
