SL. No.,State/UT,Area (In Sqr. Kms.),Estimated Mid-Year Population (in 000),Total Cognizable Crimes (IPC),Actual Police Strength - Civil,Actual Police Strength - Armed,Actual Police Strength - Total,Percentage of Civil Police to Total Police,Number of Policemen Per 100 Sqr. Kms. Area,"Number of Policemen per 1,000 of Population",IPC Cases Per Civil Policemen - All Ranks,IPC Cases Per Civil Policemen - I.O. Only
1,Andhra Pradesh,275045,68131,99332,57944,9442,67386,86,24.5,1,1.7,20.3
2,Arunachal Pradesh,83743,893,1822,2474,1462,3936,62.9,4.7,4.4,0.7,5.1
3,Assam,78438,23084,40812,25550,18886,44436,57.5,56.7,1.9,1.6,9.3
4,Bihar,173877,88976,131007,58284,16784,75068,77.6,43.2,0.8,2.2,11.7
5,Goa,3702,1201,3968,2059,583,2642,77.9,71.4,2.2,1.9,12.3
6,Gujarat,196024,42332,128155,47037,11913,58950,79.8,30.1,1.4,2.7,58.8
7,Haryana,44212,16965,30246,22411,3693,26104,85.9,59,1.5,1.3,12
8,Himachal Pradesh,55673,5303,8864,8401,2956,11357,74,20.4,2.1,1.1,7.8
9,Jammu & Kashmir,222236,7953,15505,18767,11488,30255,62,13.6,3.8,0.8,5.6
10,Karnataka,191791,45953,99679,32957,16896,49853,66.1,26,1.1,3,24.4
11,Kerala,38863,29656,71919,31293,2521,33814,92.5,87,1.1,2.3,31.9
12,Madhya Pradesh,443446,68026,201381,61921,26752,88673,69.8,20,1.3,3.3,25.4
13,Maharashtra,307713,81026,196370,120502,13752,134254,89.8,43.6,1.7,1.6,14.6
14,Manipur,22327,1895,2387,4863,6492,11355,42.8,50.9,6,0.5,2.9
15,Meghalaya,22429,1830,2421,5501,1625,7126,77.2,31.8,3.9,0.4,2.5
16,Mizoram,21081,719,1702,2630,2274,4904,53.6,23.3,6.8,0.6,3.2
17,Nagaland,16579,1261,1605,7574,8448,16022,47.3,96.6,12.7,0.2,2.4
18,Orissa,155707,32455,50438,25655,7203,32858,78.1,21.1,1,2,10.4
19,Punjab,50362,20703,12380,49228,8543,57771,85.2,114.7,2.8,0.3,2.4
20,Rajasthan,342239,45306,123426,42344,8498,50842,83.3,14.9,1.1,2.9,26.6
21,Sikkim,7096,424,557,1909,739,2648,72.1,37.3,6.3,0.3,2.7
22,Tamil Nadu,130058,56626,128665,55571,8096,63667,87.3,49,1.1,2.3,31
23,Tripura,10486,2843,5085,4382,5130,9512,46.1,90.7,3.3,1.2,5.3
24,Uttar Pradesh,294411,142507,216339,131495,34207,165702,79.4,56.3,1.2,1.6,17.1
25,West Bengal,88752,69662,72171,56442,21226,77668,72.7,87.5,1.1,1.3,6.4
Total (States),Total (States),3276290,855730,1646236,877194,249609,1126803,77.8,34.4,1.3,1.9,15.9
26,A & N Islands,8249,294,625,1886,440,2326,81.1,28.2,8,0.3,2
27,Chandigarh,114,682,1377,2687,1370,4057,66.2,3558.8,6,0.5,3.9
28,D & N Haveli,491,144,327,225,0,225,100,45.8,1.6,1.5,25.2
29,Daman & Diu,112,105,205,227,0,227,100,202.7,2.3,0.9,13.7
30,Delhi,1483,9871,36302,36064,10002,46066,78.3,3106.3,4.7,1,5
31,Lakshadweep,32,53,46,318,0,318,100,993.8,6.4,0.1,0.9
32,Pondicherry,492,830,4223,1069,824,1893,56.5,384.8,2.3,4,37.7
Total (UTs),Total (UTs),10973,11979,43105,42476,12636,55112,77.1,502.3,4.6,1,5.3
Total (All -India),Total (All -India),3287263,867709,919670,919670,262245,1181915,77.8,36,1.4,1.8,15.1
