SL. No.,State/UT/City,DG/IG/DIG/SP - Sanctioned,DG/IG/DIG/SP - Actual,ASP & DSP - Sanctioned,ASP & DSP - Actual,"Inspector, SI & A.S.I. - Sanctioned","Inspector, SI & A.S.I. - Actual",Officers Below A.S.I. - Sanctioned,Officers Below A.S.I. - Actual,Grand Total - Sanctioned,Grand Total - Actual
1,Andhra Pradesh,170,166,289,266,5435,4899,58116,52613,64010,57944
2,Arunachal Pradesh,15,15,36,36,393,357,2122,2066,2566,2474
3,Assam,160,160,161,161,4551,4395,21034,20834,25906,25550
4,Bihar,212,193,392,380,11676,11181,47645,46530,59925,58284
5,Goa,9,8,15,16,228,217,1882,1818,2134,2059
6,Gujarat,100,115,175,196,3152,2181,47324,44545,50751,47037
7,Haryana,63,45,114,84,2806,2513,22721,19769,25704,22411
8,Himachal Pradesh,88,88,81,76,1190,1105,7576,7132,8935,8401
9,Jammu & Kashmir,91,93,172,164,2802,2760,15923,15750,18988,18767
10,Karnataka,140,138,170,156,4556,4091,39064,28572,43930,32957
11,Kerala,66,66,164,155,2297,2256,29326,28816,31853,31293
12,Madhya Pradesh,261,261,566,566,7933,7933,53161,53161,61921,61921
13,Maharashtra,162,162,370,362,13434,13407,106671,106571,120637,120502
14,Manipur,35,32,50,45,1064,822,3962,3964,5111,4863
15,Meghalaya,31,25,29,22,1054,957,5126,4497,6240,5501
16,Mizoram,21,19,36,34,573,536,2066,2041,2696,2630
17,Nagaland,38,38,32,32,703,669,6845,6835,7618,7574
18,Orissa,132,132,192,187,5238,4828,21346,20508,26908,25655
19,Punjab,131,155,240,230,5939,5195,45421,43648,51731,49228
20,Rajasthan,260,229,322,269,5567,4633,51019,37213,57168,42344
21,Sikkim,24,21,38,15,216,207,1666,1666,1944,1909
22,Tamil Nadu,163,148,378,253,5681,4148,55416,51022,61638,55571
23,Tripura,35,25,67,43,1301,955,3717,3359,5120,4382
24,Uttar Pradesh,335,328,924,753,13042,12213,118254,118201,132555,131495
25,West Bengal,148,139,276,221,12018,11321,46998,44761,59440,56442
Total (States),Total (States),2890,2801,5289,4722,112849,103779,814401,765892,935429,877194
26,A & N Islands,3,3,12,9,349,307,1567,1567,1931,1886
27,Chandigarh,4,4,9,10,416,354,2175,2319,2604,2687
28,D & N Haveli,0,0,1,1,14,13,229,211,244,225
29,Daman & Diu,1,1,2,1,26,15,235,210,264,227
30,Delhi,53,52,157,136,8376,7273,31689,28603,40275,36064
31,Lakshadweep,1,1,1,1,53,49,312,267,367,318
32,Pondicherry,3,3,12,12,119,112,966,942,1100,1069
Total (UTs),Total (UTs),65,64,194,170,9353,8123,37173,34119,46785,42476
Total (All -India),Total (All -India),2955,2865,5483,4892,122202,111902,851574,800011,982214,919670
33,Ahmedabad,13,13,12,14,623,641,6156,6062,6804,6730
34,Bangalore,11,11,18,18,1026,993,6616,6613,7671,7635
35,Bhopal,2,2,13,13,285,285,2367,2367,2667,2667
36,Bombay,33,31,85,84,4515,4319,21020,20434,25653,24868
37,Calcutta,23,20,92,83,2963,2840,11113,10849,14191,13792
38,Coimbatore,4,4,9,9,124,124,1802,1345,1939,1482
39,Delhi,53,52,157,136,8376,7273,31689,28603,40275,36064
40,Hyderabad,19,18,34,34,620,605,5317,5172,5990,5829
41,Indore,2,4,9,9,278,278,2484,2484,2773,2775
42,Jaipur,7,7,13,13,462,460,4530,4503,5012,4983
43,Kanpur,2,2,16,10,523,492,4936,4793,5477,5303
44,Kochi,1,1,6,6,89,89,1149,1121,1245,1217
45,Lucknow,4,4,13,13,426,399,2849,2773,3292,3189
46,Ludhiana,4,5,8,8,250,262,2883,2878,3145,3153
47,Madras,11,11,46,46,873,796,9634,8246,10564,9099
48,Madurai,12,12,1,1,147,143,2059,1861,2219,2017
49,Nagpur,5,5,12,12,573,573,4604,4604,5194,5194
50,Patna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,Pune,6,6,12,12,467,449,3433,3383,3918,3850
52,Surat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,Vadodara,5,5,7,7,211,154,1957,1929,2180,2095
54,Varanasi,2,2,5,5,131,115,1451,1251,1589,1373
55,Vishakhapatnam,2,2,4,4,100,103,1009,978,1115,1087
