SL. No.,State/UT/City,DG/IG/DIG/SP - Sanctioned,DG/IG/DIG/SP - Actual,ASP & DSP - Sanctioned,ASP & DSP - Actual,"Inspector, SI & A.S.I. - Sanctioned","Inspector, SI & A.S.I. - Actual",Officers Below A.S.I. - Sanctioned,Officers Below A.S.I. - Actual,Grand Total - Sanctioned,Grand Total - Actual
1,Andhra Pradesh,17,15,33,30,731,679,9050,8718,9831,9442
2,Arunachal Pradesh,4,1,12,4,49,48,1451,1409,1516,1462
3,Assam,48,48,124,124,740,676,18778,18038,19690,18886
4,Bihar,23,22,62,62,1096,1080,16150,15620,17331,16784
5,Goa,1,0,3,2,35,35,559,546,598,583
6,Gujarat,11,0,34,0,401,255,11815,11658,12261,11913
7,Haryana,7,6,16,13,299,284,4405,3390,4727,3693
8,Himachal Pradesh,3,3,16,13,145,137,2940,2803,3104,2956
9,Jammu & Kashmir,29,27,96,81,644,620,10734,10760,11503,11488
10,Karnataka,7,9,19,33,252,717,5645,16137,5923,16896
11,Kerala,15,15,32,30,264,258,6313,2218,6624,2521
12,Madhya Pradesh,58,58,107,107,2522,2522,24065,24065,26752,26752
13,Maharashtra,12,12,44,38,889,802,13266,12900,14211,13752
14,Manipur,25,17,54,24,255,201,6950,6250,7284,6492
15,Meghalaya,4,4,17,8,76,68,1971,1545,2068,1625
16,Mizoram,8,5,19,16,104,75,2433,2178,2564,2274
17,Nagaland,13,13,80,73,326,298,8064,8064,8483,8448
18,Orissa,17,17,82,82,436,381,6949,6723,7484,7203
19,Punjab,55,13,87,87,616,436,10821,8007,11579,8543
20,Rajasthan,17,16,44,44,299,237,9029,8201,9389,8498
21,Sikkim,1,1,5,3,30,11,845,724,881,739
22,Tamil Nadu,14,14,39,39,748,339,7822,7704,8623,8096
23,Tripura,10,9,42,22,251,143,5768,4956,6071,5130
24,Uttar Pradesh,45,44,138,79,1239,1228,34501,32856,35923,34207
25,West Bengal,46,29,101,87,847,779,20667,20331,21661,21226
Total (States),Total (States),490,398,1306,1101,13294,12309,240991,235801,256081,249609
26,A & N Islands,1,1,1,1,17,490,490,421,509,440
27,Chandigarh,0,0,2,1,46,1469,1469,1335,1517,1370
28,D & N Haveli,0,0,0,0,0,0,0,0,0,0
29,Daman & Diu,0,0,0,0,0,0,0,0,0,0
30,Delhi,11,10,30,29,547,10038,10038,9410,10626,10002
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,0,0,2,2,30,796,796,793,828,824
Total (UTs),Total (UTs),12,11,35,33,640,12793,12793,11959,13480,12636
Total (All -India),Total (All -India),502,409,1341,1134,13934,253784,253784,247760,269561,262245
33,Ahmedabad,1,1,3,3,28,36,2480,2621,2512,2661
34,Bangalore,2,2,10,10,164,157,3256,3232,3432,3401
35,Bhopal,0,0,0,0,0,0,0,0,0,0
36,Bombay,0,0,0,0,370,362,7257,7065,7627,7427
37,Calcutta,9,7,34,32,320,305,7410,7201,7773,7545
38,Coimbatore,0,0,0,0,0,0,0,0,0,0
39,Delhi,11,10,30,29,547,553,10038,9410,10626,10002
40,Hyderabad,3,4,6,6,129,113,2274,2033,2412,2156
41,Indore,0,0,0,0,0,0,0,0,0,0
42,Jaipur,0,0,0,0,0,0,0,0,0,0
43,Kanpur,0,0,0,0,0,0,0,0,0,0
44,Kochi,1,1,1,1,30,27,771,572,803,601
45,Lucknow,0,0,0,0,34,31,1898,1866,1932,1897
46,Ludhiana,0,0,0,0,0,0,0,0,0,0
47,Madras,0,0,0,0,0,0,0,0,0,0
48,Madurai,0,0,0,0,0,0,0,0,0,0
49,Nagpur,0,0,0,0,0,0,0,0,0,0
50,Patna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,Pune,0,0,0,0,80,76,1486,1482,1566,1558
52,Surat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,Vadodara,0,0,0,0,6,6,499,476,505,482
54,Varanasi,0,0,0,0,0,0,0,0,0,0
55,Vishakhapatnam,0,0,2,1,28,28,639,604,669,633
