SL. No.,State/UT/City,Murder - Incidence,Murder - Rate,Attempt to Commit Murder - Incidence,Attempt to Commit Murder - Rate,C.H. Not Amounting to Murder - Incidence,C.H. Not Amounting to Murder - Rate,Rape - Incidence,Rape - Rate,Kidnapping and Abduction - Total - Incidence,Kidnapping and Abduction - Total - Rate,Kidnapping and Abduction - Of Women & Girls - Incidence,Kidnapping and Abduction - Of Women & Girls - Rate,Kidnapping and Abduction - Of Others - Incidence,Kidnapping and Abduction - Of Others - Rate,Dacoity - Incidence,Dacoity - Rate,Preparation & Assembly for Dacoity - Incidence,Preparation & Assembly for Dacoity - Rate,Robbery - Incidence,Robbery - Rate,Burglary - Incidence,Burglary - Rate,Theft - Incidence,Theft - Rate,Riots - Incidence,Riots - Rate,Criminal Breach of Trust - Incidence,Criminal Breach of Trust - Rate,Cheating - Incidence,Cheating - Rate,Counterfeiting - Incidence,Counterfeiting - Rate,Other IPC Crimes - Incidence,Other IPC Crimes - Rate,Total Cognizable Crimes Under IPC - Incidence,Total Cognizable Crimes Under IPC - Rate
1,Andhra Pradesh,2780,4.1,1512,2.2,74,0.1,773,1.1,955,1.4,561,0.8,394,0.6,846,1.2,4,0,1219,1.8,7248,10.6,19769,29,3902,5.7,692,1,1976,2.9,443,0.7,57139,83.9,99332,145.8
2,Arunachal Pradesh,55,6.2,39,4.4,3,0.3,25,2.8,54,6.1,33,3.7,21,2.4,27,3,0,0,54,6.1,224,25.2,283,31.8,19,2.1,36,4,18,2,2,0.2,983,110.4,1822,204.7
3,Assam,1111,4.8,281,1.2,60,0.3,533,2.3,1201,5.2,1020,4.4,181,0.8,670,2.9,13,0.1,1041,4.5,4025,17.4,8736,37.9,6763,29.3,488,2.1,535,2.3,35,0.2,15320,66.4,40812,176.8
4,Bihar,5112,5.7,4907,5.5,631,0.7,1120,1.3,2734,3.1,968,1.1,1766,2,3287,3.7,283,0.3,3508,3.9,7694,8.6,23443,26.3,15067,16.9,1485,1.7,1580,1.8,14,0,60142,67.6,131007,147.2
5,Goa,34,2.8,10,0.8,7,0.6,12,1,18,1.5,11,0.9,7,0.6,6,0.5,0,0,25,2.1,523,43.6,1072,89.3,257,21.4,61,5.1,47,3.9,11,0.9,1885,157.1,3968,330.7
6,Gujarat,1622,3.8,923,2.2,11,0,346,0.8,1138,2.7,972,2.3,166,0.4,478,1.1,0,0,1148,2.7,6902,16.3,23623,55.8,3280,7.7,2960,7,3881,9.2,181,0.4,81662,192.9,128155,302.8
7,Haryana,587,3.5,339,2,90,0.5,219,1.3,336,2,231,1.4,105,0.6,55,0.3,25,0.1,246,1.4,2640,15.6,4016,23.7,530,3.1,350,2.1,487,2.9,20,0.1,20306,119.7,30246,178.2
8,Himachal Pradesh,131,2.5,57,1.1,24,0.5,83,1.6,166,3.1,150,2.8,16,0.3,7,0.1,0,0,34,0.6,958,18.1,1026,19.4,570,10.8,122,2.3,140,2.6,9,0.2,5537,104.5,8864,167.2
9,Jammu & Kashmir,689,8.7,573,7.2,18,0.2,119,1.5,348,4.4,302,3.8,46,0.6,53,0.7,0,0,77,1,1820,22.9,2589,32.6,728,9.2,99,1.2,168,2.1,0,0,8224,103.4,15505,195
10,Karnataka,1465,3.2,535,1.2,76,0.2,175,0.4,431,0.9,277,0.6,154,0.3,499,1.1,3,0,585,1.3,8847,19.3,16696,36.3,10191,22.2,618,1.3,1485,3.2,2200,4.8,55873,121.6,99679,216.9
11,Kerala,544,1.8,360,1.2,37,0.1,227,0.8,120,0.4,86,0.3,34,0.1,125,0.4,0,0,211,0.7,4140,14,3876,13.1,6564,22.1,263,0.9,1120,3.8,133,0.4,54199,182.7,71919,242.5
12,Madhya Pradesh,3545,5.2,3345,4.9,208,0.3,2733,4,1081,1.6,976,1.4,105,0.2,557,0.8,137,0.2,2328,3.4,20525,30.2,37024,54.4,4732,7,831,1.2,1662,2.4,47,0.1,122626,180.3,201381,296
13,Maharashtra,3206,4,1533,1.9,132,0.2,991,1.2,1243,1.5,773,1,470,0.6,974,1.2,98,0.1,3924,4.8,17177,21.2,58510,72.2,5582,6.9,2326,2.9,3129,3.9,321,0.4,97224,120,196370,242.3
14,Manipur,141,7.5,89,4.7,0,0,18,1,156,8.3,90,4.8,66,3.5,12,0.6,0,0,60,3.2,100,5.3,352,18.6,128,6.8,24,1.3,113,6,22,1.2,1172,62,2387,126.3
15,Meghalaya,112,6.1,42,2.3,3,0.2,33,1.8,23,1.3,9,0.5,14,0.8,66,3.6,1,0.1,86,4.7,255,13.9,693,37.9,102,5.6,16,0.9,38,2.1,2,0.1,949,51.9,2421,132.3
16,Mizoram,29,4,12,1.7,7,1,35,4.9,1,0.1,0,0,1,0.1,9,1.3,0,0,35,4.9,270,37.5,582,80.8,0,0,37,5.1,59,8.2,5,0.7,621,86.3,1702,236.4
17,Nagaland,70,5.6,26,2.1,6,0.5,10,0.8,25,2,8,0.6,17,1.3,37,2.9,0,0,130,10.3,298,23.7,328,26,21,1.7,58,4.6,39,3.1,10,0.8,547,43.4,1605,127.4
18,Orissa,760,2.3,866,2.7,114,0.4,326,1,397,1.2,397,1.2,0,0,335,1,0,0,914,2.8,4764,14.7,10412,32.1,2569,7.9,425,1.3,376,1.2,33,0.1,28147,86.7,50438,155.4
19,Punjab,1875,9.1,1800,8.7,112,0.5,66,0.3,257,1.2,103,0.5,154,0.7,38,0.2,24,0.1,159,0.8,1219,5.9,1546,7.5,35,0.2,120,0.6,338,1.6,12,0.1,4779,23.1,12380,59.8
20,Rajasthan,1473,3.3,1445,3.2,80,0.2,848,1.9,2435,5.4,2241,4.9,194,0.4,104,0.2,17,0,1228,2.7,7955,17.6,15645,34.5,18424,40.7,1060,2.3,4377,9.7,179,0.4,68156,150.5,123426,272.5
21,Sikkim,17,4,3,0.7,1,0.2,11,2.6,6,1.4,6,1.4,0,0,1,0.2,0,0,5,1.2,72,17.1,138,32.9,9,2.1,7,1.7,16,3.8,0,0,271,64.5,557,132.6
22,Tamil Nadu,1569,2.8,1413,2.5,23,0,256,0.5,859,1.5,825,1.5,34,0.1,167,0.3,0,0,502,0.9,7442,13.1,25990,45.9,6587,11.6,650,1.1,1330,2.3,999,1.8,80878,142.8,128665,227.2
23,Tripura,267,9.4,88,3.1,1,0,76,2.7,90,3.2,55,1.9,35,1.2,148,5.2,10,0.4,241,8.5,518,18.2,1058,37.3,344,12.1,14,0.5,22,0.8,3,0.1,2205,77.6,5085,179
24,Uttar Pradesh,10559,7.4,9804,6.9,1728,1.2,1757,1.2,4352,3.1,2550,1.8,1802,1.3,2210,1.6,496,0.3,7591,5.3,18400,12.9,49956,35.1,10604,7.4,3799,2.7,3894,2.7,246,0.2,90943,63.8,216339,151.8
