SL. No.,State/UT/City,Killed - In Dacoity Operation or Other Raids,Killed - In Riotous Mobs,Killed - By Other Criminals,Killed - On Border Duties,Killed - In Accidents,Killed - Total,Injured - In Dacoity Operation or Other Raids,Injured - In Riotous Mobs,Injured - By Other Criminals,Injured - On Border Duties,Injured - In Accidents,Injured - Total
1,Andhra Pradesh,31,0,17,2,7,57,62,161,21,1,22,267
2,Arunachal Pradesh,0,0,0,0,3,3,0,2,0,0,0,2
3,Assam,0,1,24,0,3,28,3,26,28,0,1,58
4,Bihar,4,8,5,0,8,25,5,28,2,3,19,57
5,Goa,0,0,0,0,0,0,0,16,5,0,0,21
6,Gujarat,0,1,3,0,18,22,9,212,35,4,41,301
7,Haryana,4,1,7,1,14,27,0,13,2,1,16,32
8,Himachal Pradesh,0,0,1,0,3,4,0,0,1,0,3,4
9,Jammu & Kashmir,0,0,109,0,3,112,0,17,486,0,1,504
10,Karnataka,0,5,17,0,7,29,20,686,41,6,32,785
11,Kerala,0,0,0,2,0,2,0,608,63,0,40,711
12,Madhya Pradesh,0,3,30,2,21,56,11,309,66,13,3,402
13,Maharashtra,12,4,11,2,28,57,43,1352,267,0,78,1740
14,Manipur,0,0,13,0,0,13,0,9,18,0,0,27
15,Meghalaya,0,1,1,0,0,2,0,12,0,0,0,12
16,Mizoram,0,0,0,0,2,2,1,0,0,0,0,1
17,Nagaland,1,0,7,0,0,8,0,0,14,0,0,14
18,Orissa,0,1,0,0,2,3,0,79,10,0,2,91
19,Punjab,28,0,121,10,45,204,37,0,161,0,28,226
20,Rajasthan,0,0,2,1,17,20,2,110,14,0,26,152
21,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0
22,Tamil Nadu,19,1,1,1,20,42,7,316,34,4,104,465
23,Tripura,2,3,7,1,1,14,14,23,17,0,0,54
24,Uttar Pradesh,11,6,8,14,27,66,30,111,53,58,18,270
25,West Bengal,0,0,0,0,2,2,112,323,24,0,74,533
Total (States),Total (States),112,35,384,36,231,798,356,4413,1362,90,508,6729
26,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0
27,Chandigarh,0,0,1,0,0,1,0,0,1,0,8,9
28,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0
29,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0
30,Delhi,0,0,0,0,6,6,0,146,14,0,25,185
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,0,0,0,0,3,3,0,0,9,0,0,9
Total (UTs),Total (UTs),0,0,1,0,9,10,0,146,24,0,33,203
Total (All -India),Total (All -India),112,35,385,36,240,808,356,4559,1386,90,541,6932
33,Ahmedabad,0,0,0,0,1,1,0,29,0,0,2,31
34,Bangalore,0,0,1,0,3,4,7,176,18,0,11,212
35,Bhopal,0,2,0,0,0,2,0,41,0,0,0,41
36,Bombay,3,3,2,0,1,9,22,360,41,0,5,428
37,Calcutta,0,0,0,0,1,1,5,106,0,0,69,180
38,Coimbatore,0,0,0,0,0,0,0,13,1,0,0,14
39,Delhi,0,0,0,0,6,6,0,146,14,0,25,185
40,Hyderabad,2,0,0,0,0,2,0,12,0,0,0,12
41,Indore,0,0,10,0,0,10,0,2,0,0,0,2
42,Jaipur,0,0,0,0,8,8,0,0,0,0,20,20
43,Kanpur,0,1,0,0,2,3,0,13,0,0,0,13
44,Kochi,0,0,0,0,0,0,0,40,4,0,19,63
45,Lucknow,0,0,0,0,1,1,0,2,9,0,0,11
46,Ludhiana,0,0,5,0,1,6,0,0,3,0,0,3
47,Madras,19,0,0,0,4,23,2,0,7,2,56,67
48,Madurai,0,0,0,0,3,3,2,0,10,0,7,19
49,Nagpur,0,0,0,0,0,0,0,57,11,0,0,68
50,Patna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,Pune,0,0,1,0,0,1,0,8,4,0,2,14
52,Surat,0,0,0,0,0,0,0,41,0,0,0,41
53,Vadodara,0,0,0,0,1,1,0,29,0,0,8,37
54,Varanasi,0,0,0,0,0,0,0,0,0,0,0,0
55,Vishakhapatnam,0,0,0,0,0,0,0,0,2,0,2,4
