SL. No.,State/UT/City,Arrested & Sent to Courts,Sent to Home After Advice or Admonition,Released or Probation and Placed Under Case of - Parents/ Guardians,Released or Probation and Placed Under Case of - Fit Instt.,Sent to Special Homes,Dealt with Fine,Acquitted or Other Wise Disposed of,Pending Disposal
1,Andhra Pradesh,2015,143,192,104,16,690,461,409
2,Arunachal Pradesh,26,0,12,0,0,4,8,2
3,Assam,276,0,169,2,9,0,25,71
4,Bihar,1554,404,249,221,54,137,181,308
5,Goa,27,0,1,1,0,0,6,19
6,Gujarat,3013,96,579,150,118,207,395,1468
7,Haryana,184,2,12,0,5,73,16,76
8,Himachal Pradesh,77,2,0,0,0,0,3,72
9,Jammu & Kashmir,14,0,0,0,0,0,0,14
10,Karnataka,507,51,63,7,127,11,30,218
11,Kerala,156,4,6,0,2,6,44,94
12,Madhya Pradesh,3534,502,294,141,337,166,353,1741
13,Maharashtra,3712,424,359,44,79,186,337,2283
14,Manipur,7,0,0,0,7,0,0,0
15,Meghalaya,79,11,35,22,0,0,0,11
16,Mizoram,60,0,5,44,11,0,0,0
17,Nagaland,50,0,30,0,2,0,10,8
18,Orissa,94,0,11,15,20,0,0,48
19,Punjab,3,0,0,0,1,0,0,2
20,Rajasthan,682,5,41,49,40,9,32,506
21,Sikkim,23,23,0,0,0,0,0,0
22,Tamil Nadu,4758,251,1987,203,261,834,50,1172
23,Tripura,31,0,0,0,0,0,31,0
24,Uttar Pradesh,123,4,6,2,25,0,1,85
25,West Bengal,43,0,17,0,5,0,6,15
Total (States),Total (States),21048,1922,4068,1005,1119,2323,1989,8622
26,A & N Islands,7,0,0,0,0,0,5,2
27,Chandigarh,4,1,0,0,0,0,0,3
28,D & N Haveli,4,0,4,0,0,0,0,0
29,Daman & Diu,8,0,2,0,0,0,2,4
30,Delhi,260,3,6,0,37,1,22,191
31,Lakshadweep,0,0,0,0,0,0,0,0
32,Pondicherry,27,7,11,0,5,0,0,4
Total (UTs),Total (UTs),310,11,23,0,42,1,29,204
Total (All -India),Total (All -India),21358,1933,4091,1005,1161,2324,2018,8826
33,Ahmedabad,375,5,73,10,54,10,86,137
34,Bangalore,272,22,28,3,99,8,15,97
35,Bhopal,0,0,0,0,0,0,0,0
36,Bombay,377,93,85,20,17,45,33,84
37,Calcutta,13,0,0,0,5,0,6,2
38,Coimbatore,90,70,1,7,0,0,0,12
39,Delhi,219,3,6,0,34,1,21,154
40,Hyderabad,68,37,0,12,0,0,19,0
41,Indore,41,13,0,0,0,8,9,11
42,Jaipur,68,0,8,55,5,0,0,0
43,Kanpur,5,0,0,0,0,0,0,5
44,Kochi,1,0,0,0,0,0,0,1
45,Lucknow,23,0,0,0,23,0,0,0
46,Ludhiana,0,0,0,0,0,0,0,0
47,Madras,221,0,45,31,21,66,0,58
48,Madurai,200,139,1,0,0,42,0,18
49,Nagpur,54,0,15,0,9,0,0,30
50,Patna,NA,NA,NA,NA,NA,NA,NA,NA
51,Pune,130,12,50,0,3,0,0,65
52,Surat,323,69,39,16,4,67,67,61
53,Vadodara,24,0,0,0,0,7,0,17
54,Varanasi,0,0,0,0,0,0,0,0
55,Vishakhapatnam,66,0,14,12,13,0,14,13
