SL. No.,State/UT,District,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction Total,Kidnapping & Abduction Of Women & Girls,Kidnapping & Abduction Of Others,Dacoity,Preparation & Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Other IPC Crimes,Total Cognizable Crimes Under IPC
3,Madhya Pradesh,Bastar,107,68,0,54,25,25,0,4,2,36,341,500,50,21,26,0,2028,3262
4,Madhya Pradesh,Bhind,74,97,3,10,30,15,15,0,9,59,291,453,85,9,15,1,1961,3097
5,Madhya Pradesh,Bhopal,157,159,20,43,27,27,0,270,2,94,575,1324,305,27,101,12,6036,9152
6,Madhya Pradesh,Bilaspur,150,101,7,109,49,49,0,12,3,101,1344,2058,389,34,96,1,4884,9338
7,Madhya Pradesh,Chhatarpur,53,51,1,47,18,13,5,2,4,39,349,278,68,7,34,0,1191,2142
8,Madhya Pradesh,Chhindwara,80,33,0,54,3,3,0,7,0,19,180,315,7,6,14,0,1813,2531
9,Madhya Pradesh,Damoh,49,40,0,25,12,12,0,2,1,18,196,240,40,5,22,0,1624,2274
10,Madhya Pradesh,Dantewara,164,71,0,30,8,8,0,24,0,12,136,187,62,1,5,0,753,1453
11,Madhya Pradesh,Datiya,29,25,0,9,4,3,1,2,2,15,91,114,37,2,11,0,696,1037
12,Madhya Pradesh,Dewas,60,41,6,54,22,22,0,4,2,28,528,889,105,20,26,0,2279,4064
13,Madhya Pradesh,Dhar,92,93,1,88,58,56,2,13,2,102,453,1495,196,24,31,2,4621,7271
14,Madhya Pradesh,Durg,76,111,12,146,42,32,10,8,1,119,938,1584,111,33,99,4,4620,7904
15,Madhya Pradesh,Guna,73,82,2,113,14,14,0,5,5,55,675,938,126,29,36,0,3236,5389
16,Madhya Pradesh,Gwalior,112,110,21,68,27,18,9,6,20,79,456,1124,159,17,110,4,5050,7363
17,Madhya Pradesh,Hoshangabad,72,66,5,71,19,19,0,8,0,52,331,412,66,8,15,0,2116,3241
18,Madhya Pradesh,Indore,142,266,1,58,50,50,0,13,0,108,1401,3534,177,81,74,0,8267,14172
19,Madhya Pradesh,Jabalpur,116,179,20,94,42,42,0,2,3,127,927,1617,127,29,93,0,6100,9476
20,Madhya Pradesh,Jhabua,210,209,2,27,100,99,1,20,1,62,283,589,91,7,19,1,2089,3710
21,Madhya Pradesh,Khandwa,43,44,5,46,31,29,2,15,2,20,369,718,62,15,25,0,2372,3767
22,Madhya Pradesh,Khargon,102,88,5,50,47,47,0,6,6,49,339,1058,151,20,29,0,4295,6245
23,Madhya Pradesh,Mandla,52,29,2,45,8,8,0,0,1,19,316,287,22,17,42,0,1827,2667
24,Madhya Pradesh,Mandsaur,56,59,6,51,22,15,7,5,6,34,756,1234,161,48,27,6,2501,4972
25,Madhya Pradesh,Muraina,69,91,1,47,30,26,4,4,9,61,282,636,108,13,32,0,3624,5007
26,Madhya Pradesh,Narasinghpur,47,50,1,67,14,14,0,5,2,33,193,366,38,8,15,0,1591,2430
27,Madhya Pradesh,Panna,35,16,1,21,8,5,3,10,6,21,131,131,41,4,13,0,975,1413
28,Madhya Pradesh,Raigarh,72,32,0,37,21,21,0,7,2,37,354,505,98,9,52,0,1474,2700
29,Madhya Pradesh,Raipur,113,113,10,180,33,33,0,7,2,100,1038,1920,318,63,113,9,5821,9840
30,Madhya Pradesh,Raisen,42,53,0,55,14,13,1,1,3,27,229,342,72,16,12,0,1563,2429
31,Madhya Pradesh,Rajgarh,65,91,1,66,12,6,6,8,1,59,202,543,105,16,13,0,1888,3070
32,Madhya Pradesh,Rajnandgaon,34,29,1,67,7,7,0,7,0,61,307,443,35,24,26,0,1581,2622
33,Madhya Pradesh,Ratlam,64,47,0,46,25,18,7,1,4,29,344,607,45,28,33,0,2070,3343
34,Madhya Pradesh,Riwa,52,47,10,43,19,14,5,2,6,39,462,623,78,14,27,0,2232,3654
35,Madhya Pradesh,Sagar,74,137,0,93,10,9,1,6,5,27,408,637,96,11,37,0,3427,4968
36,Madhya Pradesh,Sarguja,159,41,6,85,39,38,1,15,2,115,640,774,147,18,52,1,2408,4502
37,Madhya Pradesh,Satna,43,35,14,43,13,7,6,3,4,50,504,691,113,9,27,4,2142,3695
38,Madhya Pradesh,Shahdol,61,24,1,39,17,17,0,2,1,21,555,619,50,17,31,0,2247,3685
39,Madhya Pradesh,Shajapur,50,49,0,57,15,11,4,3,6,51,289,612,135,19,21,0,1541,2848
40,Madhya Pradesh,Shivpuri,54,47,2,52,17,15,2,6,2,34,288,325,81,7,19,0,2138,3072
41,Madhya Pradesh,Sidhi,36,23,2,18,19,14,5,6,2,29,479,422,71,4,12,0,1415,2538
42,Madhya Pradesh,Sihore,38,42,3,69,24,24,0,4,2,19,258,598,97,18,8,0,1936,3116
43,Madhya Pradesh,Sivni,39,26,2,38,7,7,0,0,0,8,151,220,26,10,16,0,1400,1943
44,Madhya Pradesh,Tikamgarh,39,34,1,39,7,7,0,6,2,17,175,216,28,4,16,0,1554,2138
45,Madhya Pradesh,Ujjain,106,130,0,45,30,24,6,7,2,1116,992,1816,150,21,50,0,3392,6857
46,Madhya Pradesh,Vidisha,38,72,4,100,14,14,0,2,0,28,214,411,72,9,17,1,2135,3117
47,Madhya Pradesh,Bhopal Rly.,4,13,1,2,2,1,1,2,0,27,22,791,13,2,15,0,311,1205
48,Madhya Pradesh,Indore Rly.,2,7,6,3,4,4,0,0,0,9,0,247,16,0,5,0,182,481
49,Madhya Pradesh,Jabalpur Rly.,1,2,0,3,1,1,0,0,0,9,9,317,5,0,1,0,122,470
50,Madhya Pradesh,Raipur Rly.,2,3,0,1,1,1,0,0,0,8,20,316,7,6,2,1,136,503
51,Madhya Pradesh,Total,3545,3345,208,2733,1081,976,105,557,137,2328,20525,37024,4732,831,1662,47,122626,201381
1,Maharashtra,Ahmednagar,80,61,0,32,17,15,2,36,0,99,410,1119,195,78,60,3,3080,5270
2,Maharashtra,Akola,91,52,0,25,51,48,3,92,0,96,643,2280,173,55,78,34,3981,7651
3,Maharashtra,Amravati,99,54,6,58,41,10,31,27,2,131,926,3297,101,45,77,7,3383,8254
4,Maharashtra,Aurangabad Commr.,24,20,1,11,21,17,4,15,0,42,430,881,149,24,69,4,1177,2868
5,Maharashtra,Aurangabad Rural,54,17,0,14,14,10,4,31,0,43,220,632,122,15,18,0,1842,3022
6,Maharashtra,Beed,83,41,0,21,26,23,3,32,2,130,407,975,394,38,70,12,2537,4768
7,Maharashtra,Bhandara,87,38,2,60,18,18,0,17,0,41,405,973,45,45,43,2,2574,4350
8,Maharashtra,Bombay Commr.,487,289,5,104,341,154,187,139,52,1219,2708,15977,446,729,1181,96,17206,40979
9,Maharashtra,Buldhana,63,31,0,15,18,18,0,16,1,33,281,1211,91,30,30,5,2467,4292
10,Maharashtra,Chandrapur,58,19,0,46,22,18,4,17,1,80,341,999,78,36,49,0,2287,4033
11,Maharashtra,Dhule,104,33,1,22,19,10,9,30,0,58,334,1074,194,60,41,4,2149,4123
12,Maharashtra,Gadchiroli,55,14,1,17,12,0,12,14,0,19,93,188,42,10,13,1,735,1214
13,Maharashtra,Jalgaon,110,56,1,12,21,18,3,34,0,74,310,1033,109,86,68,12,2483,4409
14,Maharashtra,Jalna,58,21,0,6,19,15,4,21,0,53,318,745,118,18,15,0,1880,3272
15,Maharashtra,Kolhapur,98,29,25,22,37,18,19,14,2,47,357,915,281,95,101,7,1779,3809
16,Maharashtra,Latur,56,26,0,14,25,2,23,21,2,53,221,509,148,20,32,5,1631,2763
17,Maharashtra,Nagpur Commr.,131,47,1,48,79,65,14,23,2,342,876,3645,182,124,195,45,4676,10416
18,Maharashtra,Nagpur Rural,92,46,1,49,16,12,4,14,0,67,451,1680,216,31,23,0,3316,6002
19,Maharashtra,Nanded,74,81,1,16,32,27,5,56,1,159,615,1272,252,50,40,1,2462,5112
20,Maharashtra,Nasik Commr.,25,16,0,5,15,10,5,7,0,32,253,666,37,37,71,0,981,2145
21,Maharashtra,Nasik Rural,83,47,0,18,15,7,8,28,0,42,379,824,180,59,62,0,3563,5300
22,Maharashtra,Osmanabad,40,21,0,17,15,15,0,21,3,50,248,646,126,11,24,0,1303,2525
23,Maharashtra,Parbhani,65,36,0,12,33,25,8,19,1,95,320,913,172,21,35,0,2756,4478
24,Maharashtra,Pune Commr.,105,39,2,51,65,53,12,16,5,114,1001,3190,171,84,175,30,6348,11396
25,Maharashtra,Pune Rural,108,37,10,31,27,21,6,30,2,57,383,761,126,27,30,7,2086,3722
26,Maharashtra,Raigad,59,18,0,10,10,1,9,16,0,24,146,297,86,25,23,4,1066,1784
27,Maharashtra,Ratnagiri,37,20,0,18,12,12,0,7,0,14,275,297,78,27,14,3,867,1669
28,Maharashtra,Sangli,73,19,0,27,19,11,8,15,0,46,345,967,143,62,70,1,1788,3575
29,Maharashtra,Satara,72,17,28,17,10,10,0,18,1,29,351,732,146,24,73,0,2549,4067
30,Maharashtra,Sindhudurg,15,8,1,7,10,4,6,2,0,22,166,223,27,16,18,2,612,1129
31,Maharashtra,Solapur Commr.,33,18,5,8,11,7,4,4,1,30,111,265,39,18,30,7,666,1246
32,Maharashtra,Solapur Rural,59,40,17,21,16,13,3,22,0,61,177,405,132,23,24,5,1536,2568
33,Maharashtra,Thane Commr.,189,96,4,33,66,37,29,38,14,168,1173,1971,376,127,113,6,2762,7136
34,Maharashtra,ThaneRural,154,41,16,46,39,1,38,46,2,135,648,816,195,57,30,4,2487,4716
35,Maharashtra,Wardha,61,29,2,32,20,18,2,6,0,58,354,1039,60,21,38,7,1589,3316
36,Maharashtra,Yavatmal,69,47,2,43,23,23,0,15,1,57,500,1379,81,43,58,2,2189,4509
37,Maharashtra,Bombay Rly.,10,3,0,0,3,3,0,1,2,46,1,2067,21,40,24,1,158,2377
38,Maharashtra,Nagpur Rly.,5,4,0,2,3,3,0,12,0,29,0,914,30,11,10,2,161,1183
39,Maharashtra,Pune Rly.,10,2,0,1,2,1,1,2,1,29,0,733,20,4,4,2,112,922
40,Maharashtra,Total,3206,1533,132,991,1243,773,470,974,98,3924,17177,58510,5582,2326,3129,321,97224,196370
1,Manipur,Bishnupur,4,3,0,4,16,0,16,0,0,6,16,37,6,2,15,0,169,278
2,Manipur,Chandel,16,5,0,0,26,0,26,1,0,7,3,22,4,0,2,2,53,141
3,Manipur,Churachandpur,13,7,0,2,7,6,1,0,0,4,6,49,5,2,25,2,33,155
4,Manipur,Imphal,58,65,0,7,62,51,11,6,0,24,46,143,58,16,35,9,517,1046
5,Manipur,Senapati,17,0,0,3,0,0,0,2,0,2,1,30,23,0,1,1,63,143
6,Manipur,Tamenglong,2,0,0,0,0,0,0,0,0,1,5,7,7,0,0,0,30,52
7,Manipur,Thoubal,18,5,0,2,43,31,12,2,0,11,13,48,23,4,30,7,235,441
8,Manipur,Ukhrul,13,4,0,0,2,2,0,1,0,5,10,16,2,0,5,1,72,131
9,Manipur,Total,141,89,0,18,156,90,66,12,0,60,100,352,128,24,113,22,1172,2387
1,Meghalaya,Garo Hills East,6,0,0,1,0,0,0,3,0,12,16,19,7,1,1,1,51,118
2,Meghalaya,Garo Hills South,0,0,0,1,0,0,0,2,0,1,3,18,12,0,0,0,16,53
3,Meghalaya,Garo Hills West,11,11,0,4,5,1,4,19,1,20,68,222,25,3,7,0,244,640
4,Meghalaya,Jaintia Hills,33,1,0,6,3,0,3,5,0,12,9,32,0,2,2,1,90,196
5,Meghalaya,Khasi Hills East,33,21,1,10,11,6,5,21,0,19,144,325,50,6,24,0,385,1050
6,Meghalaya,Khasi Hills West,18,6,1,7,1,1,0,2,0,13,3,25,8,2,2,0,50,138
7,Meghalaya,Ri-Bhoi,11,3,1,4,3,1,2,14,0,9,12,52,0,2,2,0,113,226
8,Meghalaya,Total,112,42,3,33,23,9,14,66,1,86,255,693,102,16,38,2,949,2421
1,Mizoram,Aizawl,19,11,4,25,0,0,0,7,0,30,237,497,0,25,53,4,364,1276
2,Mizoram,Chhimtuipui,6,0,3,2,0,0,0,2,0,0,9,19,0,1,2,0,155,199
3,Mizoram,Lunglei,4,1,0,8,1,0,1,0,0,5,24,66,0,11,4,1,102,227
4,Mizoram,Total,29,12,7,35,1,0,1,9,0,35,270,582,0,37,59,5,621,1702
1,Nagaland,Dimapur,21,8,0,3,12,5,7,13,0,68,121,130,9,21,15,2,175,598
2,Nagaland,Kohima,10,7,3,2,7,2,5,2,0,20,67,69,5,14,7,1,65,279
3,Nagaland,Mokokchung,7,0,0,0,0,0,0,3,0,9,32,20,1,1,5,3,40,121
4,Nagaland,Mon,9,2,1,3,1,1,0,14,0,4,17,15,0,2,2,1,48,119
5,Nagaland,Peren,4,2,0,0,1,0,1,0,0,1,7,9,3,0,0,0,22,49
6,Nagaland,Phek,10,1,0,1,0,0,0,4,0,9,11,15,3,5,0,1,59,119
7,Nagaland,Tuensang,6,2,0,1,1,0,1,0,0,6,21,11,0,3,8,2,39,100
8,Nagaland,Wokha,2,3,2,0,3,0,3,1,0,10,17,34,0,2,0,0,56,130
9,Nagaland,Zunheboto,1,1,0,0,0,0,0,0,0,3,5,25,0,10,2,0,43,90
10,Nagaland,Total,70,26,6,10,25,8,17,37,0,130,298,328,21,58,39,10,547,1605
1,Orissa,Balasore,44,85,6,33,51,51,0,39,0,35,321,665,276,26,35,6,2263,3885
2,Orissa,Berhampur,8,30,2,5,10,10,0,7,0,28,163,310,98,14,11,1,700,1387
3,Orissa,Bhubaneswar,19,52,0,9,48,48,0,14,0,108,483,1396,73,79,70,4,1985,4340
4,Orissa,Bolangir,28,27,0,13,10,10,0,5,0,28,199,305,112,17,19,0,1065,1828
5,Orissa,Cuttack (R ),52,141,6,23,41,41,0,57,0,95,466,1072,307,33,25,0,3377,5695
6,Orissa,Cuttack (S),44,35,17,14,22,22,0,30,0,100,414,889,131,41,37,0,2065,3839
7,Orissa,Dhenkanal,49,55,5,16,12,12,0,22,0,58,284,595,163,25,13,0,1477,2774
8,Orissa,Gajapati,18,12,2,3,14,14,0,1,0,9,37,60,54,4,1,0,308,523
9,Orissa,Ganjam,31,45,6,8,10,10,0,8,0,33,168,295,133,10,13,0,1313,2073
10,Orissa,Kalahandi,13,14,2,9,18,18,0,5,0,35,153,254,111,23,11,0,1086,1734
11,Orissa,Keonjhar,45,17,2,14,11,11,0,4,0,15,121,303,58,9,13,0,1129,1741
12,Orissa,Koraput,129,72,23,45,25,25,0,32,0,90,388,685,343,25,21,4,2120,4002
13,Orissa,Mayurbhanj,58,29,5,52,32,32,0,27,0,26,231,377,96,15,14,17,1486,2465
14,Orissa,Phulbani,25,11,5,15,11,11,0,7,0,31,157,230,57,8,4,0,790,1351
15,Orissa,Puri,47,111,21,16,33,33,0,40,0,80,390,1005,245,32,31,0,2857,4908
16,Orissa,Rourkela,17,35,0,8,14,14,0,4,0,36,188,406,63,9,18,1,790,1589
17,Orissa,Sambalpur,70,71,8,18,21,21,0,13,0,54,438,879,170,46,26,0,2234,4048
18,Orissa,Sundargarh,58,20,4,19,9,9,0,16,0,26,136,263,47,4,7,0,937,1546
19,Orissa,SRP(Cuttack),3,4,0,3,2,2,0,1,0,10,14,190,21,4,6,0,90,348
20,Orissa,SRP(Rourkela),2,0,0,3,3,3,0,3,0,17,13,233,11,1,1,0,75,362
21,Orissa,Total,760,866,114,326,397,397,0,335,0,914,4764,10412,2569,425,376,33,28147,50438
1,Punjab,Amritsar,136,119,5,5,31,11,20,9,1,67,116,195,0,11,133,2,198,1028
2,Punjab,Barnala,88,56,2,2,5,1,4,0,0,0,11,22,0,5,2,0,124,317
3,Punjab,Batala,123,123,3,0,12,4,8,1,0,1,22,28,0,5,8,0,110,436
4,Punjab,Bhatinda,107,89,5,5,11,1,10,0,0,2,38,37,4,5,8,0,224,535
5,Punjab,Faridkot,92,178,7,1,18,7,11,1,3,6,63,99,8,11,21,0,336,844
6,Punjab,Fatehgarh Sahib,15,16,2,1,8,3,5,1,0,1,19,29,0,1,0,0,110,203
7,Punjab,Ferozepur,73,92,7,8,18,5,13,0,0,0,63,101,2,12,16,0,345,737
8,Punjab,Gurdaspur,46,51,4,3,5,5,0,1,0,0,61,62,0,5,6,0,209,453
9,Punjab,Hoshiarpur,46,57,3,3,7,2,5,2,0,7,60,39,4,0,17,0,271,516
10,Punjab,Jagraon,94,106,3,3,7,0,7,3,4,4,20,21,0,4,3,0,102,374
11,Punjab,Jalandhar,153,116,12,8,29,17,12,8,7,26,230,286,10,12,30,5,541,1473
12,Punjab,Kapurthala,36,61,2,4,9,5,4,3,0,2,38,52,0,5,8,0,154,374
13,Punjab,Khanna,46,37,0,3,8,2,6,2,1,4,20,46,0,1,1,0,133,302
14,Punjab,Ludhiana,107,101,8,7,25,14,11,1,8,6,119,156,3,11,27,0,360,939
15,Punjab,Majitha,174,147,8,3,13,2,11,2,0,11,20,44,1,2,3,0,131,559
16,Punjab,Mansa,72,53,6,1,4,1,3,0,0,0,21,13,1,0,4,0,106,281
17,Punjab,Patiala,115,77,23,1,18,11,7,1,0,3,140,160,0,12,16,4,639,1209
18,Punjab,Ropar,65,32,5,1,14,5,9,0,0,47,91,79,0,3,15,0,320,629
19,Punjab,Sangrur,122,84,6,5,9,5,4,0,0,1,41,41,0,10,13,0,194,526
20,Punjab,Tarn Taran,165,205,1,2,6,2,4,3,0,14,26,36,2,5,7,1,172,645
21,Punjab,Total,1875,1800,112,66,257,103,154,38,24,159,1219,1546,35,120,338,12,4779,12380
1,Rajasthan,Ajmer,47,64,6,17,93,93,0,1,0,34,264,476,554,34,191,5,2220,4006
2,Rajasthan,Alwar,83,45,9,36,108,88,20,8,2,61,428,906,1271,38,247,4,2759,6005
3,Rajasthan,Banswara,36,35,3,61,98,90,8,15,0,67,183,222,754,15,74,3,2264,3830
4,Rajasthan,Baran,41,57,4,24,51,51,0,8,0,43,268,288,245,21,66,3,1555,2674
5,Rajasthan,Barmer,36,10,1,12,21,15,6,0,0,20,127,253,158,15,89,7,1178,1927
6,Rajasthan,Bharatpur,92,18,5,34,108,82,26,21,10,59,274,795,1029,36,156,2,3030,5669
7,Rajasthan,Bhilwara,31,20,4,43,202,202,0,0,0,28,296,580,809,45,366,7,2905,5336
8,Rajasthan,Bikaner,34,76,0,26,35,35,0,0,0,6,181,497,137,18,102,0,2370,3482
9,Rajasthan,Bundi,56,75,0,18,86,68,18,1,0,54,230,280,358,20,64,1,1613,2856
10,Rajasthan,Chittorgarh,49,47,6,49,222,215,7,5,0,73,595,798,909,47,253,2,3717,6772
11,Rajasthan,Churu,23,38,1,28,17,12,5,1,1,6,107,237,129,22,96,2,1732,2440
12,Rajasthan,Dausa,18,0,0,10,34,34,0,0,0,7,101,258,606,15,34,0,1052,2135
13,Rajasthan,Dholpur,45,34,1,18,71,56,15,12,2,32,161,292,605,15,58,1,1310,2657
14,Rajasthan,Dungarpur,22,15,0,30,65,65,0,2,0,29,146,197,366,37,27,2,1700,2638
15,Rajasthan,Ganganagar,162,156,2,81,98,82,16,2,0,41,430,547,320,88,410,2,5582,7921
16,Rajasthan,Jaipur,89,71,2,38,202,170,32,7,2,116,909,2930,2625,208,590,65,6863,14717
17,Rajasthan,Jaisalmer,4,13,0,0,2,0,2,0,0,10,35,157,55,7,11,0,335,629
18,Rajasthan,Jalore,20,21,2,10,34,25,9,0,0,27,79,129,186,22,39,7,1389,1965
19,Rajasthan,Jhalawar,65,65,0,46,69,69,0,2,0,48,238,308,275,14,61,2,1328,2521
20,Rajasthan,Jhunjhunu,39,0,3,13,25,25,0,1,0,10,123,263,557,15,82,3,1535,2669
21,Rajasthan,Jodhpur,51,109,1,28,58,46,12,3,0,88,447,792,527,74,294,13,3000,5485
22,Rajasthan,Kota,64,231,7,48,135,126,9,3,0,62,607,1044,545,46,219,12,3111,6134
23,Rajasthan,Nagour,49,39,0,25,36,36,0,0,0,28,124,384,509,15,108,2,2245,3564
24,Rajasthan,Pali,40,9,4,13,75,75,0,0,0,30,165,322,380,34,106,10,2165,3353
25,Rajasthan,Rajsanand,24,10,2,10,97,97,0,1,0,20,121,155,257,23,74,1,1189,1984
26,Rajasthan,Sawal Madhopur,68,49,0,37,131,131,0,7,0,56,361,619,1550,31,125,5,2391,5430
27,Rajasthan,Sikar,53,6,6,20,28,20,8,1,0,19,179,343,1031,21,150,6,1626,3489
28,Rajasthan,Sirohi,24,17,3,11,22,22,0,2,0,22,88,112,148,13,34,8,1170,1674
29,Rajasthan,Tonk,31,53,4,27,65,65,0,0,0,18,127,309,625,17,58,0,1827,3161
30,Rajasthan,Udaipur,72,54,4,34,141,141,0,0,0,97,558,659,885,50,187,2,2711,5454
31,Rajasthan,G.R.P,5,8,0,1,6,5,1,1,0,17,3,493,19,4,6,2,284,849
32,Rajasthan,Total,1473,1445,80,848,2435,2241,194,104,17,1228,7955,15645,18424,1060,4377,179,68156,123426
1,Sikkam,East,8,0,1,4,3,3,0,1,0,1,27,78,3,6,14,0,161,307
2,Sikkam,North,2,1,0,1,0,0,0,0,0,0,4,7,2,0,1,0,14,32
3,Sikkam,South,2,2,0,5,1,1,0,0,0,2,30,31,0,0,0,0,62,135
4,Sikkam,West,5,0,0,1,2,2,0,0,0,2,11,22,4,1,1,0,34,83
5,Sikkam,Total,17,3,1,11,6,6,0,1,0,5,72,138,9,7,16,0,271,557
1,Tamil Nadu,Chengai MGR (East),76,89,0,14,10,8,2,16,0,26,616,1745,78,2,9,4,4695,7380
2,Tamil Nadu,Chengai MGR (West),59,33,0,11,39,39,0,0,0,15,422,1176,420,7,22,11,5452,7667
3,Tamil Nadu,Chidambaranar,87,63,0,13,21,21,0,8,0,28,188,638,161,17,28,22,2775,4049
4,Tamil Nadu,Coimbatore Rural,59,33,2,7,20,18,2,20,0,33,357,1031,463,32,94,14,2986,5151
5,Tamil Nadu,Coimbatore Urban,13,33,0,1,5,5,0,2,0,15,269,1176,119,37,54,94,1470,3288
6,Tamil Nadu,Cuddalore,47,72,1,21,41,41,0,5,0,8,265,972,485,15,32,24,7585,9573
7,Tamil Nadu,Dharmapuri,97,47,0,10,29,29,0,18,0,14,295,598,289,8,21,15,2103,3544
8,Tamil Nadu,Dindigal Anna,38,83,0,13,62,62,0,3,0,17,319,699,80,19,59,4,2966,4362
9,Tamil Nadu,Kamarajar,51,38,0,9,28,28,0,0,0,0,198,750,265,19,8,34,2098,3498
10,Tamil Nadu,Kanyakummari,43,43,0,5,28,28,0,0,0,5,132,413,94,22,25,4,2396,3210
11,Tamil Nadu,Madras,106,169,7,17,35,35,0,4,0,116,667,5464,174,188,516,323,5388,13174
12,Tamil Nadu,Madurai Rural,94,60,2,19,100,70,30,9,0,34,329,894,396,33,34,11,3813,5828
13,Tamil Nadu,Madurai Urban,33,54,0,1,18,18,0,0,0,17,227,1092,13,17,61,103,1665,3301
14,Tamil Nadu,N.A. Ambedkar,46,24,2,10,25,25,0,18,0,24,287,802,725,23,89,9,3286,5370
15,Tamil Nadu,Nagai Quaid-e-milleth,59,70,0,6,57,57,0,0,0,6,307,732,251,19,30,21,4355,5913
16,Tamil Nadu,Pasumpon M. Thevar,13,20,0,5,20,20,0,4,0,19,178,320,75,16,18,1,2144,2833
17,Tamil Nadu,Periyar,69,28,0,5,28,28,0,13,0,0,261,920,145,30,30,38,3129,4696
18,Tamil Nadu,Pudukottai,30,12,0,4,28,28,0,1,0,4,101,287,95,8,11,3,1379,1963
19,Tamil Nadu,Ramnathapuram,30,62,0,8,5,5,0,2,0,8,99,313,93,3,5,4,1721,2353
20,Tamil Nadu,Salem,142,94,7,13,66,66,0,17,0,39,379,1281,498,9,3,56,374,2978
21,Tamil Nadu,T.V.M. Sambuvarayar,39,24,1,9,25,25,0,2,0,5,162,540,530,16,15,19,1730,3117
22,Tamil Nadu,Thanjavur,53,25,1,2,31,31,0,0,0,8,301,854,217,9,46,109,3077,4736
23,Tamil Nadu,The Nilgiris,5,12,0,4,0,0,0,2,0,5,231,262,87,3,0,0,299,910
24,Tamil Nadu,Tin. Katttaboman,100,69,0,28,50,50,0,8,0,25,323,740,108,16,33,22,5584,7106
25,Tamil Nadu,Trichy,119,83,0,8,58,58,0,8,0,24,369,1077,244,53,63,37,4438,6581
26,Tamil Nadu,Villupuram,58,68,0,12,29,29,0,4,0,5,153,591,450,22,18,16,3590,5016
27,Tamil Nadu,Madras Rly.,0,0,0,0,1,1,0,3,0,2,4,511,16,7,4,1,216,765
28,Tamil Nadu,Trichy Rly.,0,5,0,1,0,0,0,0,0,0,3,112,16,0,2,0,164,303
29,Tamil Nadu,Total,1569,1413,23,256,859,825,34,167,0,502,7442,25990,6587,650,1330,999,80878,128665
1,Tripura,North,93,29,0,27,26,10,16,30,10,68,111,222,112,2,9,2,630,1371
2,Tripura,South,56,17,0,17,19,13,6,64,0,90,102,181,78,5,2,1,579,1211
3,Tripura,West,118,42,1,32,45,32,13,54,0,83,305,655,154,7,11,0,996,2503
4,Tripura,Total,267,88,1,76,90,55,35,148,10,241,518,1058,344,14,22,3,2205,5085
1,Uttar Pradesh,Agra,181,196,38,47,173,136,37,76,1,218,635,1714,415,166,233,3,2960,7056
2,Uttar Pradesh,Aligarh,361,351,49,47,120,64,56,108,6,239,456,1283,410,86,89,0,2745,6350
3,Uttar Pradesh,Allahabad,375,517,44,42,154,129,25,67,12,332,818,1888,441,166,261,20,3713,8850
4,Uttar Pradesh,Almora,28,21,8,6,11,0,11,4,0,40,113,147,45,18,6,0,256,703
5,Uttar Pradesh,Azamgarh,112,117,47,9,31,19,12,27,1,67,214,428,179,47,84,4,1148,2515
6,Uttar Pradesh,Badaun,334,277,59,40,176,58,118,39,1,257,220,964,164,60,26,1,1584,4202
7,Uttar Pradesh,Bahraich,102,85,17,23,69,68,1,44,7,120,367,619,188,47,36,0,1041,2765
8,Uttar Pradesh,Ballia,63,59,20,6,12,8,4,17,3,36,261,289,131,0,0,0,988,1885
9,Uttar Pradesh,Banda,133,111,40,30,41,13,28,23,1,113,271,348,137,21,42,0,1085,2396
10,Uttar Pradesh,Barabanki,148,105,22,46,47,3,44,24,7,145,462,666,145,68,22,0,1346,3253
11,Uttar Pradesh,Bareilly,326,283,74,57,154,97,57,41,10,228,491,1264,139,101,75,3,1931,5177
12,Uttar Pradesh,Basti,79,60,15,20,37,37,0,27,1,36,250,396,148,39,51,1,1074,2234
13,Uttar Pradesh,Bijnor,193,177,21,47,87,54,33,15,2,91,186,599,189,41,79,1,1387,3115
14,Uttar Pradesh,Bulandshahar,418,439,57,77,151,72,79,88,5,243,499,1153,382,89,77,13,1667,5358
15,Uttar Pradesh,Chamoli,20,19,5,5,6,1,5,4,0,10,66,72,29,11,8,0,177,432
16,Uttar Pradesh,Dehradun,47,35,20,20,41,30,11,12,0,34,189,435,101,27,33,2,669,1665
17,Uttar Pradesh,Deoria,134,164,40,28,52,35,17,62,27,109,305,556,197,69,56,11,1616,3426
18,Uttar Pradesh,Etah,323,279,15,27,105,36,69,31,0,92,156,348,181,43,51,0,1635,3286
19,Uttar Pradesh,Etawah,222,160,12,23,99,42,57,87,7,198,277,699,264,57,109,0,3157,5371
20,Uttar Pradesh,Faizabad,131,179,43,30,62,62,0,183,15,186,476,846,250,71,86,22,1823,4403
21,Uttar Pradesh,Fathegarh,288,286,38,34,136,45,91,35,2,88,392,575,242,46,61,0,2140,4363
22,Uttar Pradesh,Fatehpur,126,77,33,22,24,22,2,7,0,26,143,251,46,37,18,0,826,1636
23,Uttar Pradesh,Ferozabad,148,96,17,29,74,74,0,26,7,64,149,340,142,35,50,0,1217,2394
24,Uttar Pradesh,Ghaziabad,458,393,32,38,148,60,88,60,10,354,895,2571,315,161,120,2,2115,7672
