SL. No.,Crime Head,Male,Female,Total,Percentage to Total - Male,Percentage to Total - Female
1,Arms Act,67901,76,67977,99.9,0.1
2,Narcotic Drugs & Psychotropic Substances Act,23539,851,24390,96.5,3.5
3,Gambling Act,353563,4121,357684,98.8,1.2
4,Excise Act,94093,5819,99912,94.2,5.8
5,Prohibition Act,505931,124736,630667,80.2,19.8
6,Explosive & Explosive Substances Act,6902,40,6942,99.4,0.6
7,Immoral Traffic (P) Act,2857,11032,13889,20.6,79.4
8,Indian Railways Act,27918,196,28114,99.3,0.7
9,Registration of Foreigners Act,3010,411,3421,88,12
10,Protection Of Civil Rights Act,8216,265,8481,96.9,3.1
11,Indian Passport Act,1594,126,1720,92.7,7.3
12,Essential Commodities Act,9370,78,9448,99.2,0.8
13,Terrorist & Disruptive Activites Act,2558,55,2613,97.9,2.1
14,Antiquity & Art Treasure Act,56,0,56,100,0
15,Dowry Prohibition Act,3857,894,4751,81.2,18.8
16,Other LSL Crimes,3013999,41779,3055778,98.6,1.4
17,Total Cognizable Crimes Under LSL,4125364,190479,4315843,95.6,4.4
