SL. No.,State/UT/City,Murder - 1991,Murder - 1992,Murder - Percentage Variation,Attempt to Commit Murder - 1991,Attempt to Commit Murder - 1992,Attempt to Commit Murder - Percentage Variation,C.H. Not Amounting to Murder - 1991,C.H. Not Amounting to Murder - 1992,C.H. Not Amounting to Murder - Percentage Variation,Rape - 1991,Rape - 1992,Rape - Percentage Variation,Kidnapping & Abduction - Total - 1991,Kidnapping & Abduction - Total - 1992,Kidnapping & Abduction - Total - Percentage Variation,Kidnapping & Abduction - Of Women & Girls - 1991,Kidnapping & Abduction - Of Women & Girls - 1992,Kidnapping & Abduction - Of Women & Girls - Percentage Variation,Kidnapping & Abduction - Of Others - 1991,Kidnapping & Abduction - Of Others - 1992,Kidnapping & Abduction - Of Others - Percentage Variation,Dacoity - 1991,Dacoity - 1992,Dacoity - Percentage Variation,Preparation and Assembly for Dacoity - 1991,Preparation and Assembly for Dacoity - 1992,Preparation and Assembly for Dacoity - Percentage Variation,Robbery - 1991,Robbery - 1992,Robbery - Percentage Variation,Burglary - 1991,Burglary - 1992,Burglary - Percentage Variation,Theft - 1991,Theft - 1992,Theft - Percentage Variation,Riots - 1991,Riots - 1992,Riots - Percentage Variation,Criminal Breach of Trust - 1991,Criminal Breach of Trust - 1992,Criminal Breach of Trust - Percentage Variation,Cheating - 1991,Cheating - 1992,Cheating - Percentage Variation,Counterfeiting - 1991,Counterfeiting - 1992,Counterfeiting - Percentage Variation,Other IPC Crimes - 1991,Other IPC Crimes - 1992,Other IPC Crimes - Percentage Variation,Total Cognizable Crimes Under IPC - 1991,Total Cognizable Crimes Under IPC - 1992,Total Cognizable Crimes Under IPC - Percentage Variation
1,Andhra Pradesh,2794,2780,-0.5,1645,1512,-8.1,71,74,4.2,664,773,16.4,879,955,8.6,458,561,22.5,421,394,-6.4,1033,846,-18.1,9,4,-55.6,1254,1219,-2.8,8012,7248,-9.5,20576,19769,-3.9,5384,3902,-27.5,629,692,10,1512,1976,30.7,291,443,52.2,56923,57139,0.4,101676,99332,-2.3
2,Arunachal Pradesh,55,55,0,34,39,14.7,8,3,-62.5,33,25,-24.2,48,54,12.5,35,33,-5.7,13,21,61.5,30,27,-10,0,0,NA,52,54,3.8,191,224,17.3,290,283,-2.4,17,19,11.8,37,36,-2.7,32,18,-43.8,0,2,@,1034,983,-4.9,1861,1822,-2.1
3,Assam,976,1111,13.8,229,281,22.7,18,60,233.3,486,533,9.7,1118,1201,7.4,1012,1020,0.8,106,181,70.8,599,670,11.9,24,13,-45.8,747,1041,39.4,3590,4025,12.1,8236,8736,6.1,4045,6763,67.2,446,488,9.4,506,535,5.7,14,35,150,14110,15320,8.6,35144,40812,16.1
4,Bihar,4430,5112,15.4,4006,4907,22.5,522,631,20.9,878,1120,27.6,2172,2734,25.9,1236,968,-21.7,936,1766,88.7,3182,3287,3.3,266,283,6.4,3276,3508,7.1,8130,7694,-5.4,21645,23443,8.3,14536,15067,3.7,1201,1485,23.6,1310,1580,20.6,7,14,100,54371,60142,10.6,119932,131007,9.2
5,Goa,38,34,-10.5,7,10,42.9,8,7,-12.5,16,12,-25,20,18,-10,14,11,-21.4,6,7,16.7,3,6,100,0,0,NA,21,25,19,600,523,-12.8,1098,1072,-2.4,178,257,44.4,70,61,-12.9,67,47,-29.9,43,11,-74.4,1636,1885,15.2,3805,3968,4.3
6,Gujarat,1591,1622,1.9,900,923,2.6,25,11,-56,304,346,13.8,1145,1138,-0.6,980,972,-0.8,165,166,0.6,455,478,5.1,1,0,-100,1189,1148,-3.4,6848,6902,0.8,25005,23623,-5.5,2898,3280,13.2,3114,2960,-4.9,4179,3881,-7.1,79,181,129.1,76739,81662,6.4,124472,128155,3
7,Haryana,593,587,-1,340,339,-0.3,113,90,-20.4,150,219,46,293,336,14.7,248,231,-6.6,45,105,133.3,43,55,27.9,12,25,108.3,232,246,6,2334,2640,13.1,3965,4016,1.3,366,530,44.8,174,350,101.1,390,487,24.9,5,20,300,19574,20306,3.7,28584,30246,5.8
8,Himachal Pradesh,103,131,27.2,57,57,0,12,24,100,91,83,-8.8,174,166,-4.6,150,150,0,24,16,-33.3,15,7,-53.3,0,0,NA,42,34,-19,973,958,-1.5,1124,1026,-8.7,551,570,3.4,117,122,4.3,145,140,-3.4,3,9,200,5802,5537,-4.6,9209,8864,-3.7
9,Jammu & Kashmir,550,689,25.3,605,573,-5.3,14,18,28.6,124,119,-4,415,348,-16.1,379,302,-20.3,36,46,27.8,26,53,103.8,0,0,NA,59,77,30.5,1877,1820,-3,2458,2589,5.3,791,728,-8,114,99,-13.2,199,168,-15.6,0,0,NA,8313,8224,-1.1,15545,15505,-0.3
10,Karnataka,1421,1465,3.1,536,535,-0.2,35,76,117.1,168,175,4.2,425,431,1.4,240,277,15.4,185,154,-16.8,337,499,48.1,3,3,0,513,585,14,9293,8847,-4.8,19360,16696,-13.8,9054,10191,12.6,607,618,1.8,1343,1485,10.6,1622,2200,35.6,59772,55873,-6.5,104489,99679,-4.6
