SL. No.,State/UT/City,7-12 Years - Boys,7-12 Years - Girls,12-16 Years - Boys,12-16 Years - Girls,16-18 Years - Girls Only,Overall Age Group - Boys,Overall Age Group - Girls,Total (Boys + Girls)
1,Andhra Pradesh,142,6,1100,27,227,1242,260,1502
2,Arunachal Pradesh,3,0,21,2,0,24,2,26
3,Assam,36,2,211,12,5,247,19,266
4,Bihar,49,29,1105,50,63,1154,142,1296
5,Goa,3,0,15,3,6,18,9,27
6,Gujarat,133,13,887,129,291,1020,433,1453
7,Haryana,17,0,116,1,33,133,34,167
8,Himachal Pradesh,9,0,35,4,23,44,27,71
9,Jammu & Kashmir,0,0,14,0,0,14,0,14
10,Karnataka,18,0,339,12,23,357,35,392
11,Kerala,2,1,146,6,1,148,8,156
12,Madhya Pradesh,373,28,2592,113,35,2965,276,3241
13,Maharashtra,287,30,2209,98,252,2496,380,2876
14,Manipur,0,0,7,0,0,7,0,7
15,Meghalaya,2,0,74,0,0,76,0,76
16,Mizoram,32,0,5,0,7,37,7,44
17,Nagaland,2,0,23,0,5,25,5,30
18,Orissa,25,1,68,0,0,93,1,94
19,Punjab,0,0,2,0,1,2,1,3
20,Rajasthan,87,16,329,30,173,416,219,635
21,Sikkim,2,0,15,0,0,17,0,17
22,Tamil Nadu,68,9,399,16,236,467,261,728
23,Tripura,5,0,5,0,21,10,21,31
24,Uttar Pradesh,2,0,45,3,0,47,3,50
25,West Bengal,5,0,27,0,8,32,8,40
Total (States),Total (States),1302,135,9789,506,1510,11091,2151,13242
26,A & N Islands,0,0,2,1,2,2,3,5
27,Chandigarh,0,0,4,0,0,4,0,4
28,D & N Haveli,0,0,4,0,0,4,0,4
29,Daman & Diu,2,1,4,1,0,6,2,8
30,Delhi,34,3,170,9,21,204,33,237
31,Lakshadweep,0,0,0,0,0,0,0,0
32,Pondicherry,1,2,18,5,1,19,8,27
Total (UTs),Total (UTs),37,6,202,16,24,239,46,285
Total (All -India),Total (All -India),1339,141,9991,522,1534,11330,2197,13527
33,Ahmedabad,15,1,113,37,91,128,129,257
34,Bangalore,0,0,163,7,11,163,18,181
35,Bhopal,0,0,0,0,0,0,0,0
36,Bombay,0,0,260,14,20,260,34,294
37,Calcutta,2,0,9,0,0,11,0,11
38,Coimbatore,1,0,15,1,0,16,1,17
39,Delhi,29,0,148,9,17,177,26,203
40,Hyderabad,7,0,56,0,0,63,0,63
41,Indore,28,0,0,6,7,28,13,41
42,Jaipur,4,0,47,6,11,51,17,68
43,Kanpur,0,0,0,3,0,0,3,3
44,Kochi,1,0,0,0,0,1,0,1
45,Lucknow,0,0,23,0,0,23,0,23
46,Ludhiana,0,0,0,0,0,0,0,0
47,Madras,27,0,72,0,0,99,0,99
48,Madurai,5,0,46,0,0,51,0,51
49,Nagpur,1,0,26,0,0,27,0,27
50,Patna,NA,NA,NA,NA,NA,NA,NA,NA
51,Pune,25,1,97,1,6,122,8,130
52,Surat,7,0,36,1,7,43,8,51
53,Vadodara,0,0,14,0,2,14,2,16
54,Varanasi,0,0,0,0,0,0,0,0
55,Vishakhapatnam,28,1,8,17,12,36,30,66
